number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
0	0.016624010631145776	2020-10-10 13:11:09.985430	2020-10-10 13:25:49.832503	0 days 00:14:39.847073000	3	0.05	1	1200	9.591892758387187e-05	COMPLETE
1	0.01987160959680141	2020-10-10 13:25:49.833115	2020-10-10 13:39:06.632628	0 days 00:13:16.799513000	5	0.35000000000000003	3	400	0.0005870958838244351	COMPLETE
2	0.018193026158917828	2020-10-10 13:39:06.633260	2020-10-10 14:02:41.420109	0 days 00:23:34.786849000	3	0.35000000000000003	1	1800	0.0001871718711436126	COMPLETE
3	0.017919727610292868	2020-10-10 14:02:41.420727	2020-10-10 14:21:03.100452	0 days 00:18:21.679725000	5	0.0	1	300	0.000904604104739436	COMPLETE
4	0.019856137770939388	2020-10-10 14:21:03.118605	2020-10-10 14:31:00.128443	0 days 00:09:57.009838000	5	0.05	2	1600	0.0013201710948599846	COMPLETE
5	0.016946861391862526	2020-10-10 14:31:00.129260	2020-10-10 15:11:55.515205	0 days 00:40:55.385945000	3	0.0	2	2200	0.000193856988452511	COMPLETE
6	0.017044521497004233	2020-10-10 15:11:55.515882	2020-10-10 15:30:37.403953	0 days 00:18:41.888071000	4	0.1	1	500	1.0214724480032861e-05	COMPLETE
7	0.019671074498149945	2020-10-10 15:30:37.423338	2020-10-10 15:44:06.094654	0 days 00:13:28.671316000	4	0.2	3	800	0.0005989974554779156	COMPLETE
8	0.01736452271098625	2020-10-10 15:44:06.095422	2020-10-10 17:09:22.281813	0 days 01:25:16.186391000	6	0.30000000000000004	2	2400	0.00017997826457430072	COMPLETE
9	0.01678480299790889	2020-10-10 17:09:22.306036	2020-10-10 17:33:22.667264	0 days 00:24:00.361228000	5	0.0	3	1500	0.00025445453857015303	COMPLETE
10	0.017494029799605158	2020-10-10 17:33:22.668904	2020-10-10 17:45:07.341108	0 days 00:11:44.672204000	2	0.5	1	1000	3.190522765187859e-05	COMPLETE
11	0.016555692882305476	2020-10-10 17:45:07.341775	2020-10-10 17:59:58.528895	0 days 00:14:51.187120000	2	0.15000000000000002	3	1200	5.465509432146659e-05	COMPLETE
12	0.016711137075679793	2020-10-10 17:59:58.529507	2020-10-10 18:20:37.228339	0 days 00:20:38.698832000	2	0.15000000000000002	3	1100	4.349819510023293e-05	COMPLETE
13	0.016850820929189603	2020-10-10 18:20:37.245418	2020-10-10 18:32:03.209884	0 days 00:11:25.964466000	3	0.2	2	1200	5.955410664474743e-05	COMPLETE
14	0.016692347333383026	2020-10-10 18:32:03.210513	2020-10-10 18:43:11.420902	0 days 00:11:08.210389000	2	0.1	2	800	1.6329607534568828e-05	COMPLETE
