number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	0.011723421932112552	2020-10-12 10:02:10.355182	2020-10-12 10:02:30.584051	0 days 00:00:20.228869000	0.35000000000000003	0.000137410956360976	pyramid_2	8	3	COMPLETE
1	0.012146586263760832	2020-10-12 10:02:30.584666	2020-10-12 10:02:39.085895	0 days 00:00:08.501229000		0.0487539122759003		6	1	COMPLETE
2	0.011811586521654472	2020-10-12 10:02:39.086405	2020-10-12 10:03:07.399324	0 days 00:00:28.312919000	0.4	8.681989796230874e-05	pyramid_2	7	3	COMPLETE
3	0.012164332554064225	2020-10-12 10:03:07.399858	2020-10-12 10:03:56.906011	0 days 00:00:49.506153000	0.45	0.00016847831760403496	flat	4	2	COMPLETE
4	0.012024210618188785	2020-10-12 10:03:56.906491	2020-10-12 10:04:04.806520	0 days 00:00:07.900029000		0.05167377740770179		5	1	COMPLETE
5	0.011628447870257855	2020-10-12 10:04:04.807158	2020-10-12 10:04:16.807279	0 days 00:00:12.000121000	0.25	0.002143830517451368	pyramid_2	6	3	COMPLETE
6	0.011902953340942867	2020-10-12 10:04:16.807746	2020-10-12 10:04:36.798533	0 days 00:00:19.990787000		0.0001758089505789142		8	1	COMPLETE
7	0.012057933479610658	2020-10-12 10:04:36.799018	2020-10-12 10:04:45.673940	0 days 00:00:08.874922000		0.005729635939578835		6	1	COMPLETE
8	0.011784638708707409	2020-10-12 10:04:45.674486	2020-10-12 10:05:23.351433	0 days 00:00:37.676947000	0.35000000000000003	3.403688536944951e-05	pyramid_2	8	3	COMPLETE
9	0.011912160827895413	2020-10-12 10:05:23.351867	2020-10-12 10:06:18.125455	0 days 00:00:54.773588000		3.5671120840334935e-05		8	1	COMPLETE
10	0.012182846098333682	2020-10-12 10:06:18.126010	2020-10-12 10:06:25.559345	0 days 00:00:07.433335000	0.05	0.0021214220653589036	pyramid_4	10	2	COMPLETE
11	0.012306325338759598	2020-10-12 10:06:25.559818	2020-10-12 10:06:33.522070	0 days 00:00:07.962252000	0.15000000000000002	0.001472776539085127	pyramid_2	10	3	COMPLETE
12	0.012379626486143911	2020-10-12 10:06:33.522570	2020-10-12 10:06:38.793272	0 days 00:00:05.270702000	0.25	0.011464586737646384	pyramid_2	9	3	COMPLETE
13	0.011758626468454233	2020-10-12 10:06:38.793786	2020-10-12 10:06:59.165006	0 days 00:00:20.371220000	0.25	0.00047562678188395986	pyramid_2	6	2	COMPLETE
14	0.011757156019176545	2020-10-12 10:06:59.165526	2020-10-12 10:07:10.884893	0 days 00:00:11.719367000	0.30000000000000004	0.0004216133462317138	pyramid_2	7	3	COMPLETE
15	0.01727272360750819	2020-10-12 10:07:10.885412	2020-10-12 10:07:56.879222	0 days 00:00:45.993810000	0.5	1.5004075817019642e-05	flat	4	3	COMPLETE
16	0.012067543683728237	2020-10-12 10:07:56.879705	2020-10-12 10:08:04.200574	0 days 00:00:07.320869000	0.15000000000000002	0.004927088022520863	pyramid_4	9	2	COMPLETE
17	0.011831887908699348	2020-10-12 10:08:04.201086	2020-10-12 10:08:27.899133	0 days 00:00:23.698047000	0.15000000000000002	0.0005246185230030448	pyramid_2	5	3	COMPLETE
18	0.012166368151813852	2020-10-12 10:08:27.899658	2020-10-12 10:08:37.460432	0 days 00:00:09.560774000	0.35000000000000003	0.018471564349368065	pyramid_2	7	2	COMPLETE
19	0.012031438262146497	2020-10-12 10:08:37.460938	2020-10-12 10:13:39.840396	0 days 00:05:02.379458000	0.2	1.1281224652483076e-05	pyramid_4	5	3	COMPLETE
20	0.01229355674201658	2020-10-12 10:13:39.840879	2020-10-12 10:13:49.936893	0 days 00:00:10.096014000	0.0	0.002362774955933484	flat	9	3	COMPLETE
21	0.011799016372735496	2020-10-12 10:13:49.937392	2020-10-12 10:14:01.040427	0 days 00:00:11.103035000	0.30000000000000004	0.0005132814759010529	pyramid_2	7	3	COMPLETE
22	0.011930135947750931	2020-10-12 10:14:01.040960	2020-10-12 10:14:23.039111	0 days 00:00:21.998151000	0.30000000000000004	0.0001800350937508554	pyramid_2	6	3	COMPLETE
23	0.011820158540603918	2020-10-12 10:14:23.039587	2020-10-12 10:14:31.398974	0 days 00:00:08.359387000	0.35000000000000003	0.0005192667545444454	pyramid_2	8	3	COMPLETE
24	0.011806701082661769	2020-10-12 10:14:31.399453	2020-10-12 10:15:12.871250	0 days 00:00:41.471797000	0.30000000000000004	6.621815061828977e-05	pyramid_2	7	3	COMPLETE
25	0.011679731337560395	2020-10-12 10:15:12.871903	2020-10-12 10:15:20.613299	0 days 00:00:07.741396000	0.4	0.0009411507652020275	pyramid_2	8	2	COMPLETE
26	0.012038151580573643	2020-10-12 10:15:20.613808	2020-10-12 10:15:30.044496	0 days 00:00:09.430688000	0.45	0.003318482251118944	pyramid_2	9	2	COMPLETE
