number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	0.01579410469851647	2020-10-12 10:07:11.095547	2020-10-12 10:08:55.967927	0 days 00:01:44.872380000		1.030600326674582e-05		7	1	COMPLETE
1	0.015790780634305824	2020-10-12 10:08:55.968485	2020-10-12 10:09:05.440261	0 days 00:00:09.471776000	0.05	0.000519412826547031	pyramid_4	9	2	COMPLETE
2	0.01595805711288403	2020-10-12 10:09:05.440722	2020-10-12 10:09:38.459003	0 days 00:00:33.018281000	0.05	5.6095446287508526e-05	flat	5	3	COMPLETE
3	0.015833207410480048	2020-10-12 10:09:38.459497	2020-10-12 10:10:45.962776	0 days 00:01:07.503279000		1.8572126242936238e-05		7	1	COMPLETE
4	0.016187820699943612	2020-10-12 10:10:45.963254	2020-10-12 10:10:55.281568	0 days 00:00:09.318314000	0.25	0.08516548733516266	pyramid_4	4	2	COMPLETE
5	0.019878710995706383	2020-10-12 10:10:55.282035	2020-10-12 10:11:04.772106	0 days 00:00:09.490071000	0.5	0.023553492168421522	flat	10	3	COMPLETE
6	0.017148306850221402	2020-10-12 10:11:04.772710	2020-10-12 10:11:13.554244	0 days 00:00:08.781534000	0.1	0.007684310510968034	pyramid_2	9	3	COMPLETE
7	0.01590028978279414	2020-10-12 10:11:13.554846	2020-10-12 10:11:23.621577	0 days 00:00:10.066731000	0.05	0.00032825226041814995	pyramid_4	10	2	COMPLETE
8	0.01672731170366077	2020-10-12 10:11:23.622182	2020-10-12 10:11:32.537192	0 days 00:00:08.915010000	0.1	0.09859846491234628	pyramid_2	6	2	COMPLETE
9	0.01622742617129181	2020-10-12 10:11:32.537655	2020-10-12 10:11:42.748104	0 days 00:00:10.210449000	0.15000000000000002	0.0044595614455771124	pyramid_4	8	3	COMPLETE
10	0.016119446741714134	2020-10-12 10:11:42.748706	2020-10-12 10:11:56.133342	0 days 00:00:13.384636000		0.0004241313890669285		9	1	COMPLETE
11	0.016064915735688856	2020-10-12 10:11:56.133842	2020-10-12 10:12:29.907653	0 days 00:00:33.773811000		8.044179757694299e-05		7	1	COMPLETE
12	0.01568065559129215	2020-10-12 10:12:29.908137	2020-10-12 10:13:24.935236	0 days 00:00:55.027099000	0.30000000000000004	1.2134145375354047e-05	pyramid_4	8	2	COMPLETE
13	0.01604607370408748	2020-10-12 10:13:24.935722	2020-10-12 10:13:33.765186	0 days 00:00:08.829464000	0.35000000000000003	0.001544590293175041	pyramid_4	9	2	COMPLETE
14	0.015840675647847722	2020-10-12 10:13:33.765631	2020-10-12 10:13:51.169889	0 days 00:00:17.404258000	0.35000000000000003	0.00017361350562465668	pyramid_4	8	2	COMPLETE
15	0.01576628764521677	2020-10-12 10:13:51.170358	2020-10-12 10:14:24.036702	0 days 00:00:32.866344000	0.25	2.7386560200547207e-05	pyramid_4	8	2	COMPLETE
16	0.015744473169028547	2020-10-12 10:14:24.037340	2020-10-12 10:15:06.206484	0 days 00:00:42.169144000	0.25	2.264589480947144e-05	pyramid_4	8	2	COMPLETE
17	0.015756717027414453	2020-10-12 10:15:06.206988	2020-10-12 10:17:11.292106	0 days 00:02:05.085118000	0.35000000000000003	1.0238599563253968e-05	pyramid_4	6	2	COMPLETE
18	0.015904179786324316	2020-10-12 10:17:11.292586	2020-10-12 10:18:01.172729	0 days 00:00:49.880143000		4.132758312171076e-05		6	1	COMPLETE
19	0.015865870250553225	2020-10-12 10:18:01.173345	2020-10-12 10:18:17.812597	0 days 00:00:16.639252000	0.45	9.581793824059534e-05	flat	8	3	COMPLETE
20	0.015756624805798765	2020-10-12 10:18:17.813069	2020-10-12 10:18:45.753076	0 days 00:00:27.940007000	0.2	2.20257336082857e-05	pyramid_2	10	2	COMPLETE
21	0.015705878093343038	2020-10-12 10:18:45.753547	2020-10-12 10:19:25.058163	0 days 00:00:39.304616000	0.2	1.1307509601571569e-05	pyramid_2	10	2	COMPLETE
22	0.01565391259688579	2020-10-12 10:19:25.058636	2020-10-12 10:20:22.149152	0 days 00:00:57.090516000	0.30000000000000004	1.1149316523683089e-05	pyramid_2	8	2	COMPLETE
23	0.015619653474896841	2020-10-12 10:20:22.149648	2020-10-12 10:21:09.913248	0 days 00:00:47.763600000	0.4	1.133795968390231e-05	pyramid_2	9	2	COMPLETE
24	0.015618954848926826	2020-10-12 10:21:09.913732	2020-10-12 10:21:59.039047	0 days 00:00:49.125315000	0.4	1.1147024463082435e-05	pyramid_2	9	2	COMPLETE
25	0.015789786890378407	2020-10-12 10:21:59.039520	2020-10-12 10:22:12.473593	0 days 00:00:13.434073000	0.45	0.0001551450636783519	pyramid_2	9	2	COMPLETE
26	0.016075215910388987	2020-10-12 10:22:12.474062	2020-10-12 10:22:45.994997	0 days 00:00:33.520935000		4.154500367855769e-05		9	1	COMPLETE
27	0.01582921881461752	2020-10-12 10:22:45.995487	2020-10-12 10:23:25.072121	0 days 00:00:39.076634000	0.4	1.0036217361837071e-05	pyramid_2	10	3	COMPLETE
28	0.015813136709282326	2020-10-12 10:23:25.072567	2020-10-12 10:23:39.086251	0 days 00:00:14.013684000	0.5	0.00013868777675211114	pyramid_2	9	2	COMPLETE
29	0.01582306039659568	2020-10-12 10:23:39.086733	2020-10-12 10:24:50.377296	0 days 00:01:11.290563000		1.699097777690608e-05		7	1	COMPLETE
30	0.01598370328956097	2020-10-12 10:24:50.377903	2020-10-12 10:24:59.820428	0 days 00:00:09.442525000	0.4	0.0011283291334288894	pyramid_2	8	2	COMPLETE
31	0.015665675795683495	2020-10-12 10:24:59.820836	2020-10-12 10:25:51.237992	0 days 00:00:51.417156000	0.30000000000000004	1.2163436859242056e-05	pyramid_2	8	2	COMPLETE
32	0.015620592210981074	2020-10-12 10:25:51.238465	2020-10-12 10:26:39.774825	0 days 00:00:48.536360000	0.30000000000000004	1.0348791138876509e-05	pyramid_2	9	2	COMPLETE
33	0.015717633427600866	2020-10-12 10:26:39.775486	2020-10-12 10:27:04.681685	0 days 00:00:24.906199000	0.4	3.596111793836923e-05	pyramid_2	9	2	COMPLETE
34	0.015731291277534035	2020-10-12 10:27:04.682161	2020-10-12 10:27:26.574915	0 days 00:00:21.892754000	0.30000000000000004	5.311752504891859e-05	pyramid_2	9	2	COMPLETE
35	0.015729522019676884	2020-10-12 10:27:26.575390	2020-10-12 10:28:00.163626	0 days 00:00:33.588236000	0.45	1.8597278014535345e-05	pyramid_2	10	2	COMPLETE
36	0.015714322632055265	2020-10-12 10:28:00.164128	2020-10-12 10:29:14.269500	0 days 00:01:14.105372000	0.35000000000000003	1.0007866923493024e-05	pyramid_2	7	2	COMPLETE
37	0.015816387312539457	2020-10-12 10:29:14.269976	2020-10-12 10:29:30.034175	0 days 00:00:15.764199000	0.30000000000000004	6.620412566174379e-05	pyramid_2	9	3	COMPLETE
38	0.01577310672852451	2020-10-12 10:29:30.034652	2020-10-12 10:29:54.645458	0 days 00:00:24.610806000	0.4	2.956730146600757e-05	pyramid_2	10	2	COMPLETE
39	0.015693381295537635	2020-10-12 10:29:54.645962	2020-10-12 10:30:39.896271	0 days 00:00:45.250309000	0.35000000000000003	1.6447058072018948e-05	pyramid_2	8	2	COMPLETE
