number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.0007209631027065261	2020-10-14 14:54:39.455835	2020-10-14 15:03:53.638627	0 days 00:09:14.182792000	0.25	0.02323092297596903	7	3	pyramid_2				COMPLETE
1	0.00042144023693823176	2020-10-14 15:03:53.639096	2020-10-14 15:10:20.500300	0 days 00:06:26.861204000	0.2	0.00014423827345997164	9	2			flat		COMPLETE
2	0.0005302237397198049	2020-10-14 15:10:20.500791	2020-10-14 15:16:12.092747	0 days 00:05:51.591956000		0.003364111168216625	8	1					COMPLETE
3	0.00043233015353094347	2020-10-14 15:16:12.093221	2020-10-14 15:22:45.965200	0 days 00:06:33.871979000	0.30000000000000004	0.0002930855533986097	6	2				flat	COMPLETE
4	0.0004416033221239809	2020-10-14 15:22:45.965682	2020-10-14 15:29:27.331136	0 days 00:06:41.365454000	0.2	0.0007540724129408895	9	3					COMPLETE
5	0.0006919950765773237	2020-10-14 15:29:27.331609	2020-10-14 15:35:19.052082	0 days 00:05:51.720473000		0.0032189076214210375	9	1					COMPLETE
6	0.0004373335027642776	2020-10-14 15:35:19.052544	2020-10-14 15:43:43.559498	0 days 00:08:24.506954000	0.25	1.651642916967194e-05	10	2					COMPLETE
7	0.0004401638487613574	2020-10-14 15:43:43.559987	2020-10-14 15:51:10.076116	0 days 00:07:26.516129000	0.5	5.080007515209843e-05	10	3					COMPLETE
8	0.00047438311524308524	2020-10-14 15:51:10.076648	2020-10-14 15:58:24.308413	0 days 00:07:14.231765000		3.123795669461203e-05	10	1					COMPLETE
9	0.0004235756656306376	2020-10-14 15:58:24.308895	2020-10-14 16:04:36.202668	0 days 00:06:11.893773000	0.1	0.0008677931474269542	7	2				flat	COMPLETE
10	0.0004156036735770937	2020-10-14 16:04:36.216491	2020-10-14 16:11:06.764791	0 days 00:06:30.548300000	0.0	0.00013872348201184723	9	2			flat		COMPLETE
11	0.000417627353091969	2020-10-14 16:11:06.765302	2020-10-14 16:17:56.967602	0 days 00:06:50.202300000	0.0	0.00013368251202934843	9	2			flat		COMPLETE
12	0.0004248689429020031	2020-10-14 16:17:56.968091	2020-10-14 16:24:26.348098	0 days 00:06:29.380007000	0.0	9.873719891304898e-05	8	2				pyramid_2	COMPLETE
13	0.0004439307892489118	2020-10-14 16:24:26.348586	2020-10-14 16:32:47.580889	0 days 00:08:21.232303000	0.0	1.1102091340065856e-05	9	2			flat		COMPLETE
14	0.0004081446762607471	2020-10-14 16:32:47.581364	2020-10-14 16:39:20.440012	0 days 00:06:32.858648000	0.05	0.00025597464442406225	8	3	flat				COMPLETE
15	0.0004427773650505041	2020-10-14 16:39:20.440488	2020-10-14 16:46:52.156274	0 days 00:07:31.715786000	0.1	0.0021035638558362713	7	3	flat				COMPLETE
16	0.00041469113503248337	2020-10-14 16:46:52.156766	2020-10-14 16:53:45.721892	0 days 00:06:53.565126000	0.1	0.00033602927093528734	8	3	flat				COMPLETE
17	0.0004110697500039067	2020-10-14 16:53:45.722413	2020-10-14 17:00:47.317990	0 days 00:07:01.595577000	0.1	0.00035683871749663356	8	3	flat				COMPLETE
18	0.0005429525463230732	2020-10-14 17:00:47.318486	2020-10-14 17:07:26.469606	0 days 00:06:39.151120000	0.4	0.010176313091126472	6	3		pyramid_4			COMPLETE
19	0.0004275798443105998	2020-10-14 17:07:26.470096	2020-10-14 17:13:52.804046	0 days 00:06:26.333950000	0.1	0.0013125724785918054	7	3	flat				COMPLETE
20	0.00041308462752811343	2020-10-14 17:13:52.804556	2020-10-14 17:20:40.835659	0 days 00:06:48.031103000	0.15000000000000002	0.0003811493432356073	8	3	flat				COMPLETE
21	0.0004200659502080585	2020-10-14 17:20:40.836150	2020-10-14 17:27:13.148560	0 days 00:06:32.312410000	0.15000000000000002	0.00036715471381573814	8	3	flat				COMPLETE
22	0.0004190792303795912	2020-10-14 17:27:13.157413	2020-10-14 17:33:44.625140	0 days 00:06:31.467727000	0.05	0.0005248880779406426	8	3	flat				COMPLETE
23	0.00042377094402121007	2020-10-14 17:33:44.625617	2020-10-14 17:40:19.232164	0 days 00:06:34.606547000	0.15000000000000002	0.0002452223577709306	7	3	flat				COMPLETE
24	0.00042709583638144956	2020-10-14 17:40:19.232655	2020-10-14 17:46:39.855260	0 days 00:06:20.622605000	0.05	6.34431266143526e-05	8	3	flat				COMPLETE
