number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.0003974648863963656	2020-10-14 18:23:47.323938	2020-10-14 18:31:42.173331	0 days 00:07:54.849393000	0.35000000000000003	7.646720070041143e-05	10	3				COMPLETE
1	0.0004176971474093881	2020-10-14 18:31:42.173854	2020-10-14 18:38:29.904387	0 days 00:06:47.730533000	0.45	0.00033768761009737993	9	3				COMPLETE
2	0.0004173281018475443	2020-10-14 18:38:29.904853	2020-10-14 18:44:49.936788	0 days 00:06:20.031935000	0.0	0.0032771288548996136	6	2			pyramid_4	COMPLETE
3	0.0005034801110756149	2020-10-14 18:44:49.937256	2020-10-14 18:52:19.532120	0 days 00:07:29.594864000	0.2	0.005118917667954965	7	3	pyramid_2			COMPLETE
4	0.0004478261422529625	2020-10-14 18:52:19.532577	2020-10-14 18:58:57.221041	0 days 00:06:37.688464000		0.00026483207259933047	8	1				COMPLETE
5	0.0003959679349396699	2020-10-14 18:58:57.221498	2020-10-14 19:06:16.961413	0 days 00:07:19.739915000	0.15000000000000002	0.00011488372188911364	8	2			flat	COMPLETE
6	0.00040435877091994193	2020-10-14 19:06:16.961910	2020-10-14 19:13:46.260646	0 days 00:07:29.298736000	0.15000000000000002	4.9104024126798645e-05	6	2			pyramid_2	COMPLETE
7	0.0007605754868409498	2020-10-14 19:13:46.261162	2020-10-14 19:21:20.558688	0 days 00:07:34.297526000	0.45	0.005342595667188668	8	2			pyramid_2	COMPLETE
8	0.00040049072560665325	2020-10-14 19:21:20.559269	2020-10-14 19:28:08.664379	0 days 00:06:48.105110000	0.35000000000000003	0.00031878620355165025	8	3	flat			COMPLETE
9	0.00041044683742437455	2020-10-14 19:28:08.664871	2020-10-14 19:34:57.867172	0 days 00:06:49.202301000	0.15000000000000002	0.0005901666198615529	9	3				COMPLETE
10	0.000439417329086107	2020-10-14 19:34:57.878830	2020-10-14 19:42:02.398315	0 days 00:07:04.519485000		1.8232841743894985e-05	10	1				COMPLETE
11	0.0003975108674953929	2020-10-14 19:42:02.398798	2020-10-14 19:49:39.500584	0 days 00:07:37.101786000	0.30000000000000004	4.223826915444354e-05	10	2				COMPLETE
12	0.0004438671270303063	2020-10-14 19:49:39.501074	2020-10-14 19:56:50.426264	0 days 00:07:10.925190000		6.124118317236876e-05	9	1				COMPLETE
13	0.0004097432099814334	2020-10-14 19:56:50.426813	2020-10-14 20:06:12.965576	0 days 00:09:22.538763000	0.0	1.2299650846336319e-05	7	3	flat			COMPLETE
14	0.00039566048526579607	2020-10-14 20:06:12.966067	2020-10-14 20:14:08.949383	0 days 00:07:55.983316000	0.35000000000000003	0.00011473999360121826	10	2				COMPLETE
15	0.00040022155686584735	2020-10-14 20:14:08.949895	2020-10-14 20:20:29.546634	0 days 00:06:20.596739000	0.1	0.001157012325991692	7	2			flat	COMPLETE
16	0.0003916104517507854	2020-10-14 20:20:29.547087	2020-10-14 20:28:29.704380	0 days 00:08:00.157293000	0.25	0.00012607452400789594	9	2		pyramid_2		COMPLETE
17	0.0004653574605587364	2020-10-14 20:28:29.704853	2020-10-14 20:34:16.492385	0 days 00:05:46.787532000		0.001314771535205547	9	1				COMPLETE
18	0.0006429237095466159	2020-10-14 20:34:16.492852	2020-10-14 20:42:45.776477	0 days 00:08:29.283625000	0.25	0.023765151831612378	10	2				COMPLETE
19	0.0004027027037210265	2020-10-14 20:42:45.790485	2020-10-14 20:51:37.912934	0 days 00:08:52.122449000	0.5	0.00013802139538874797	9	2		pyramid_2		COMPLETE
20	0.000439460889204031	2020-10-14 20:51:37.913410	2020-10-14 20:58:32.100889	0 days 00:06:54.187479000		1.8008289850270746e-05	10	1				COMPLETE
21	0.0003938244990949526	2020-10-14 20:58:32.113430	2020-10-14 21:05:54.933918	0 days 00:07:22.820488000	0.25	0.00012443079754691737	8	2			flat	COMPLETE
22	0.0003942900684491095	2020-10-14 21:05:54.934460	2020-10-14 21:14:03.228921	0 days 00:08:08.294461000	0.30000000000000004	0.00017333967034450042	9	2		pyramid_2		COMPLETE
23	0.00039573924789063254	2020-10-14 21:14:03.229397	2020-10-14 21:21:42.654717	0 days 00:07:39.425320000	0.25	0.00020437292611551213	9	2		pyramid_2		COMPLETE
24	0.00040306731832037056	2020-10-14 21:21:42.655200	2020-10-14 21:28:10.424891	0 days 00:06:27.769691000	0.30000000000000004	0.0006944108218937799	8	2			flat	COMPLETE
