number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.0006531928039034161	2020-10-14 14:48:12.262691	2020-10-14 14:57:37.347819	0 days 00:09:25.085128000		0.01788938624839218	8	1					COMPLETE
1	0.00039210620647855705	2020-10-14 14:57:37.348282	2020-10-14 15:07:48.010066	0 days 00:10:10.661784000	0.4	0.00014164105837422664	6	3		pyramid_4			COMPLETE
2	0.0011441033656309017	2020-10-14 15:07:48.010547	2020-10-14 15:17:32.469998	0 days 00:09:44.459451000	0.05	0.015054680980278876	10	2					COMPLETE
3	0.0005181344910707204	2020-10-14 15:17:32.470479	2020-10-14 15:28:52.641574	0 days 00:11:20.171095000	0.4	0.023248544526050623	7	3	flat				COMPLETE
4	0.00038080588918330783	2020-10-14 15:28:52.642044	2020-10-14 15:38:45.916021	0 days 00:09:53.273977000	0.1	0.0003448393761286314	10	2					COMPLETE
5	0.00039823809291140375	2020-10-14 15:38:45.916459	2020-10-14 15:48:48.451558	0 days 00:10:02.535099000	0.25	0.0008455759867458257	8	3	pyramid_2				COMPLETE
6	0.0004557811809726491	2020-10-14 15:48:48.451992	2020-10-14 15:58:08.359628	0 days 00:09:19.907636000		0.005357644320650914	8	1					COMPLETE
7	0.0003904661446899847	2020-10-14 15:58:08.370778	2020-10-14 16:08:05.622856	0 days 00:09:57.252078000	0.25	3.9862200957214904e-05	9	3					COMPLETE
8	0.0003855678566185011	2020-10-14 16:08:05.623298	2020-10-14 16:18:05.314174	0 days 00:09:59.690876000	0.05	0.0001665006646369985	10	3					COMPLETE
9	0.0003962622299034792	2020-10-14 16:18:05.314616	2020-10-14 16:27:41.355992	0 days 00:09:36.041376000	0.45	0.00023767815902708112	7	3	flat				COMPLETE
10	0.0004005716795382298	2020-10-14 16:27:41.356435	2020-10-14 16:38:38.349827	0 days 00:10:56.993392000	0.0	1.00209475583727e-05	10	2					COMPLETE
11	0.0003900755394587419	2020-10-14 16:38:38.350287	2020-10-14 16:48:20.065789	0 days 00:09:41.715502000	0.1	0.0011735734177432018	10	2					COMPLETE
12	0.0003968363970818889	2020-10-14 16:48:20.082101	2020-10-14 16:58:17.204573	0 days 00:09:57.122472000	0.15000000000000002	4.3039662188910414e-05	9	2			flat		COMPLETE
13	0.00041964375438978874	2020-10-14 16:58:17.205921	2020-10-14 17:07:48.527915	0 days 00:09:31.321994000		0.0002648222627079371	9	1					COMPLETE
14	0.0004622852671812795	2020-10-14 17:07:48.528349	2020-10-14 17:17:08.221268	0 days 00:09:19.692919000	0.15000000000000002	0.0025082882758975626	10	2					COMPLETE
15	0.00039104217330513205	2020-10-14 17:17:08.221713	2020-10-14 17:26:43.277756	0 days 00:09:35.056043000	0.0	6.18236040238961e-05	9	3					COMPLETE
16	0.0004286172546336429	2020-10-14 17:26:43.278207	2020-10-14 17:38:00.151754	0 days 00:11:16.873547000		1.3417507537543502e-05	10	1					COMPLETE
17	0.0003827783870421602	2020-10-14 17:38:00.152219	2020-10-14 17:47:44.988332	0 days 00:09:44.836113000	0.15000000000000002	0.0004606143022430443	9	2			pyramid_2		COMPLETE
18	0.0003820010086536167	2020-10-14 17:47:44.988776	2020-10-14 17:57:31.201472	0 days 00:09:46.212696000	0.2	0.0004853158903425033	9	2			pyramid_2		COMPLETE
19	0.00043638435586194153	2020-10-14 17:57:31.217035	2020-10-14 18:07:00.553356	0 days 00:09:29.336321000	0.30000000000000004	0.003513535001681407	9	2			pyramid_2		COMPLETE
20	0.00038403406622809105	2020-10-14 18:07:00.554119	2020-10-14 18:16:54.302653	0 days 00:09:53.748534000	0.2	0.001429822704627802	7	2				pyramid_4	COMPLETE
21	0.00037998082584904044	2020-10-14 18:16:54.303097	2020-10-14 18:26:41.050925	0 days 00:09:46.747828000	0.15000000000000002	0.00042712587735991507	9	2			pyramid_2		COMPLETE
22	0.0003803764739583052	2020-10-14 18:26:41.051397	2020-10-14 18:36:29.602270	0 days 00:09:48.550873000	0.1	0.000496420936989536	9	2			pyramid_2		COMPLETE
23	0.0003947498345737587	2020-10-14 18:36:29.602754	2020-10-14 18:46:11.114418	0 days 00:09:41.511664000	0.1	0.00010819596316454467	8	2				pyramid_2	COMPLETE
24	0.00038176890553094476	2020-10-14 18:46:11.114895	2020-10-14 18:55:56.652599	0 days 00:09:45.537704000	0.05	0.00041456213111859124	9	2			pyramid_2		COMPLETE
