number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	0.0003830432864449963	2020-10-14 14:53:51.841210	2020-10-14 15:00:01.073860	0 days 00:06:09.232650000		0.002200636853287941	7	1				COMPLETE
1	0.000332471463203843	2020-10-14 15:00:01.074839	2020-10-14 15:10:02.061916	0 days 00:10:00.987077000	0.15000000000000002	4.596675957117556e-05	7	2			flat	COMPLETE
2	0.00854942389380379	2020-10-14 15:10:02.062403	2020-10-14 15:15:48.105389	0 days 00:05:46.042986000		0.01704160831383112	9	1				COMPLETE
3	0.004517814788458987	2020-10-14 15:15:48.105867	2020-10-14 15:21:09.436284	0 days 00:05:21.330417000		0.015305814176193212	8	1				COMPLETE
4	0.03599961026582282	2020-10-14 15:21:09.436773	2020-10-14 15:27:27.056912	0 days 00:06:17.620139000		0.026661418950515863	9	1				COMPLETE
5	0.0003121033609960322	2020-10-14 15:27:27.057404	2020-10-14 15:34:08.614008	0 days 00:06:41.556604000	0.0	0.00012990520578827136	9	3				COMPLETE
6	0.0012278745621440374	2020-10-14 15:34:08.614486	2020-10-14 15:41:15.135505	0 days 00:07:06.521019000	0.05	0.02499066433653159	10	3				COMPLETE
7	0.00041437091007780555	2020-10-14 15:41:15.135966	2020-10-14 15:47:53.329201	0 days 00:06:38.193235000	0.45	0.001657658711157803	10	2				COMPLETE
8	0.0003081762133732078	2020-10-14 15:47:53.329658	2020-10-14 15:54:50.803109	0 days 00:06:57.473451000	0.0	8.5185873034488e-05	6	3		pyramid_4		COMPLETE
9	0.0003352076733941078	2020-10-14 15:54:50.803626	2020-10-14 16:02:59.149158	0 days 00:08:08.345532000	0.4	1.72326510655336e-05	9	3				COMPLETE
10	0.0003072192288673983	2020-10-14 16:02:59.149718	2020-10-14 16:10:21.660378	0 days 00:07:22.510660000	0.25	0.0001707852204659212	6	3		pyramid_4		COMPLETE
11	0.0003105501809699793	2020-10-14 16:10:21.660872	2020-10-14 16:17:13.799772	0 days 00:06:52.138900000	0.25	0.00023680598146221413	6	3		pyramid_4		COMPLETE
12	0.000344739948660479	2020-10-14 16:17:13.800283	2020-10-14 16:35:24.347534	0 days 00:18:10.547251000	0.25	1.0455829389596797e-05	6	2			pyramid_2	COMPLETE
13	0.0003166798345971335	2020-10-14 16:35:24.348023	2020-10-14 16:42:42.436680	0 days 00:07:18.088657000	0.35000000000000003	7.405526158763437e-05	6	3		pyramid_4		COMPLETE
14	0.000306149815937162	2020-10-14 16:42:42.437161	2020-10-14 16:49:25.501475	0 days 00:06:43.064314000	0.15000000000000002	0.00031144598843371756	7	3	pyramid_2			COMPLETE
15	0.00031260708284907803	2020-10-14 16:49:25.501964	2020-10-14 16:56:12.907034	0 days 00:06:47.405070000	0.15000000000000002	0.0005869686112524791	7	2			pyramid_4	COMPLETE
16	0.00030838910821007816	2020-10-14 16:56:12.907510	2020-10-14 17:03:23.679875	0 days 00:07:10.772365000	0.1	0.0005100682817463309	7	3	pyramid_2			COMPLETE
17	0.0004038661690893604	2020-10-14 17:03:23.680362	2020-10-14 17:09:56.412938	0 days 00:06:32.732576000	0.30000000000000004	0.002519003380644721	8	2			flat	COMPLETE
18	0.00033411945589406086	2020-10-14 17:09:56.413410	2020-10-14 17:22:14.606718	0 days 00:12:18.193308000	0.2	2.5327405332584364e-05	7	3	flat			COMPLETE
19	0.00031611743385825307	2020-10-14 17:22:14.607217	2020-10-14 17:30:02.699063	0 days 00:07:48.091846000	0.2	0.0003326331669974885	6	3		pyramid_2		COMPLETE
20	0.0017329229986671614	2020-10-14 17:30:02.699554	2020-10-14 17:37:13.416443	0 days 00:07:10.716889000	0.5	0.006962500749412812	8	2			pyramid_2	COMPLETE
21	0.0003184679988501421	2020-10-14 17:37:13.416933	2020-10-14 17:44:15.153968	0 days 00:07:01.737035000	0.0	0.00013526353829186323	6	3		flat		COMPLETE
22	0.0003317629860306367	2020-10-14 17:44:15.154463	2020-10-14 17:50:45.639754	0 days 00:06:30.485291000	0.1	0.0008694290446397805	6	3		pyramid_4		COMPLETE
23	0.00031542340577814216	2020-10-14 17:50:45.640245	2020-10-14 17:58:45.016908	0 days 00:07:59.376663000	0.30000000000000004	6.547813042476689e-05	7	3	pyramid_2			COMPLETE
24	0.0003061103655999467	2020-10-14 17:58:45.017413	2020-10-14 18:06:03.348268	0 days 00:07:18.330855000	0.05	0.00016123444304547559	6	3		pyramid_4		COMPLETE
