number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.0014679887882263966	2020-10-14 18:23:47.323985	2020-10-14 18:30:26.011931	0 days 00:06:38.687946000	0.45	0.01462505297914901	7	2				pyramid_2	COMPLETE
1	0.000762629940662688	2020-10-14 18:30:26.012396	2020-10-14 18:36:38.166528	0 days 00:06:12.154132000	0.30000000000000004	0.007755621191872205	9	2			flat		COMPLETE
2	0.00028597692551833137	2020-10-14 18:36:38.167010	2020-10-14 18:43:06.484113	0 days 00:06:28.317103000	0.30000000000000004	0.00018525714895097875	7	2				pyramid_4	COMPLETE
3	0.00030700819258601723	2020-10-14 18:43:06.484577	2020-10-14 18:49:43.940464	0 days 00:06:37.455887000	0.4	0.000266180707428531	7	3	flat				COMPLETE
4	0.00030369913747916926	2020-10-14 18:49:43.940928	2020-10-14 18:55:37.221066	0 days 00:05:53.280138000	0.30000000000000004	0.00022447469719875864	6	2				flat	COMPLETE
5	0.00029913333430633553	2020-10-14 18:55:37.221591	2020-10-14 19:03:52.136103	0 days 00:08:14.914512000	0.45	0.00015534434682214205	6	2				pyramid_4	COMPLETE
6	0.00034934660908673	2020-10-14 19:03:52.136570	2020-10-14 19:09:48.566418	0 days 00:05:56.429848000		0.0012944582798635979	10	1					COMPLETE
7	0.00030652000426539827	2020-10-14 19:09:48.566881	2020-10-14 19:15:30.471962	0 days 00:05:41.905081000		0.0007277819913848908	7	1					COMPLETE
8	0.001505288396087246	2020-10-14 19:15:30.472424	2020-10-14 19:21:15.482968	0 days 00:05:45.010544000	0.05	0.009544668234497566	7	3	pyramid_2				COMPLETE
9	0.00029408340887812005	2020-10-14 19:21:15.483443	2020-10-14 19:27:59.481487	0 days 00:06:43.998044000	0.25	0.00014236414849423033	8	3	flat				COMPLETE
10	0.0003047432829908208	2020-10-14 19:27:59.482007	2020-10-14 19:36:11.215074	0 days 00:08:11.733067000		1.4520210647080543e-05	9	1					COMPLETE
11	0.00030326019837429027	2020-10-14 19:36:11.240158	2020-10-14 19:43:16.230130	0 days 00:07:04.989972000	0.15000000000000002	3.251310932906837e-05	8	3	flat				COMPLETE
12	0.0003033006713624077	2020-10-14 19:43:16.230608	2020-10-14 19:50:10.531103	0 days 00:06:54.300495000	0.2	3.663736879644386e-05	8	3	flat				COMPLETE
13	0.000294769611118294	2020-10-14 19:50:10.531637	2020-10-14 19:56:58.269977	0 days 00:06:47.738340000	0.30000000000000004	6.331069142223178e-05	9	3					COMPLETE
14	0.0003303461599673001	2020-10-14 19:56:58.270456	2020-10-14 20:03:12.356336	0 days 00:06:14.085880000	0.1	0.0019794532501223212	8	2				pyramid_4	COMPLETE
15	0.0002956790616802104	2020-10-14 20:03:12.356822	2020-10-14 20:09:48.201267	0 days 00:06:35.844445000	0.25	0.00010610419110071624	6	3		pyramid_2			COMPLETE
16	0.00030745809438852476	2020-10-14 20:09:48.201757	2020-10-14 20:19:51.363247	0 days 00:10:03.161490000		1.1475896830570358e-05	7	1					COMPLETE
17	0.000292756707321902	2020-10-14 20:19:51.363711	2020-10-14 20:26:26.366371	0 days 00:06:35.002660000	0.35000000000000003	0.00041178150339361564	10	2					COMPLETE
18	0.000633420705819169	2020-10-14 20:26:26.366843	2020-10-14 20:34:02.582265	0 days 00:07:36.215422000	0.4	0.002990064983883478	10	2					COMPLETE
19	0.0002991915996528432	2020-10-14 20:34:02.582736	2020-10-14 20:40:44.419321	0 days 00:06:41.836585000	0.35000000000000003	0.00043487747078235436	10	2					COMPLETE
20	0.0002984670957352716	2020-10-14 20:40:44.421744	2020-10-14 20:47:05.462250	0 days 00:06:21.040506000	0.5	0.0005951559725587534	9	2			pyramid_2		COMPLETE
21	0.00028990822292028674	2020-10-14 20:47:05.462746	2020-10-14 20:53:47.685201	0 days 00:06:42.222455000	0.25	8.529176255232351e-05	8	2				pyramid_4	COMPLETE
22	0.0003023479000215468	2020-10-14 20:53:47.685693	2020-10-14 21:00:38.911794	0 days 00:06:51.226101000	0.2	6.215957767088934e-05	7	2				pyramid_4	COMPLETE
23	0.00029081140288069265	2020-10-14 21:00:38.912328	2020-10-14 21:07:00.777261	0 days 00:06:21.864933000	0.35000000000000003	0.000370476287441136	6	2				pyramid_4	COMPLETE
24	0.00030215609342308615	2020-10-14 21:07:00.777794	2020-10-14 21:14:26.142163	0 days 00:07:25.364369000	0.2	2.3067208247132942e-05	6	2				pyramid_4	COMPLETE
