number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.00040168899437820476	2020-10-14 14:54:18.708804	2020-10-14 15:00:40.219979	0 days 00:06:21.511175000		8.060677480385194e-05	8	1				COMPLETE
1	0.0007484904200976962	2020-10-14 15:00:40.220418	2020-10-14 15:10:55.645081	0 days 00:10:15.424663000	0.5	0.0020036604855651887	8	3	pyramid_2			COMPLETE
2	0.002642403284007942	2020-10-14 15:10:55.645540	2020-10-14 15:16:52.644681	0 days 00:05:56.999141000	0.5	0.0108432463137437	10	2				COMPLETE
3	0.0003948481733063445	2020-10-14 15:16:52.645100	2020-10-14 15:24:12.666358	0 days 00:07:20.021258000		0.00029805386594171276	8	1				COMPLETE
4	0.0006532059839985377	2020-10-14 15:24:12.666796	2020-10-14 15:32:14.947095	0 days 00:08:02.280299000	0.05	0.007250145132002865	9	3				COMPLETE
5	0.0006843958405839531	2020-10-14 15:32:14.947550	2020-10-14 15:40:23.775418	0 days 00:08:08.827868000	0.5	0.0054189352903699925	7	2			pyramid_4	COMPLETE
6	0.0007767712628352063	2020-10-14 15:40:23.775857	2020-10-14 15:48:44.261909	0 days 00:08:20.486052000	0.5	0.02391319163920453	9	2		flat		COMPLETE
7	0.010819204796870291	2020-10-14 15:48:44.262407	2020-10-14 15:56:03.659411	0 days 00:07:19.397004000	0.45	0.016109798550473117	8	3	flat			COMPLETE
8	0.000369860975975403	2020-10-14 15:56:03.659913	2020-10-14 16:07:03.329692	0 days 00:10:59.669779000	0.45	2.0110453462503636e-05	8	2			flat	COMPLETE
9	0.0003577887661002248	2020-10-14 16:07:03.330209	2020-10-14 16:15:04.645031	0 days 00:08:01.314822000	0.4	0.0007149224130966027	8	2			pyramid_2	COMPLETE
10	0.000397174229264738	2020-10-14 16:15:04.645535	2020-10-14 16:22:29.005390	0 days 00:07:24.359855000		0.0006058491675606083	6	1				COMPLETE
11	0.00037112141598086653	2020-10-14 16:22:29.005885	2020-10-14 16:35:52.066725	0 days 00:13:23.060840000	0.30000000000000004	1.2989153090564533e-05	7	2			pyramid_2	COMPLETE
12	0.00038062796948032103	2020-10-14 16:35:52.067221	2020-10-14 16:49:39.559086	0 days 00:13:47.491865000	0.30000000000000004	1.2212544094616339e-05	7	2			flat	COMPLETE
13	0.0003381790587337654	2020-10-14 16:49:39.559582	2020-10-14 16:58:13.658552	0 days 00:08:34.098970000	0.35000000000000003	7.67128306555376e-05	9	2		pyramid_2		COMPLETE
14	0.00033412259359794934	2020-10-14 16:58:13.668353	2020-10-14 17:05:49.057221	0 days 00:07:35.388868000	0.2	7.441652736056544e-05	10	3				COMPLETE
15	0.00032983445560015747	2020-10-14 17:05:49.057684	2020-10-14 17:13:14.121792	0 days 00:07:25.064108000	0.15000000000000002	7.766695791717062e-05	10	3				COMPLETE
16	0.00033564193139987695	2020-10-14 17:13:14.122259	2020-10-14 17:20:48.634189	0 days 00:07:34.511930000	0.1	6.519045833184016e-05	10	3				COMPLETE
17	0.00034106273284393847	2020-10-14 17:20:48.634642	2020-10-14 17:29:27.759969	0 days 00:08:39.125327000	0.15000000000000002	0.00020538695613266794	10	3				COMPLETE
18	0.00034379932573597914	2020-10-14 17:29:27.760656	2020-10-14 17:37:11.630584	0 days 00:07:43.869928000	0.2	3.299639501122844e-05	10	3				COMPLETE
19	0.0003269647859012168	2020-10-14 17:37:11.631042	2020-10-14 17:43:48.478594	0 days 00:06:36.847552000	0.0	0.00016498298614166397	9	3				COMPLETE
20	0.0003367592114663171	2020-10-14 17:43:48.479049	2020-10-14 17:50:54.954878	0 days 00:07:06.475829000	0.0	0.00023144942558554022	9	3				COMPLETE
21	0.00033496877991333345	2020-10-14 17:50:54.955333	2020-10-14 17:58:29.389723	0 days 00:07:34.434390000	0.2	0.00012697797487415199	10	3				COMPLETE
22	0.0003405391100842492	2020-10-14 17:58:29.390239	2020-10-14 18:05:45.383490	0 days 00:07:15.993251000	0.0	3.768447513609134e-05	9	3				COMPLETE
23	0.000445516518114151	2020-10-14 18:05:45.403732	2020-10-14 18:14:53.340066	0 days 00:09:07.936334000	0.1	0.0013987471953484764	10	3				COMPLETE
24	0.0003314993770238968	2020-10-14 18:14:53.340531	2020-10-14 18:23:01.516656	0 days 00:08:08.176125000	0.2	0.00013334634069823488	9	3				COMPLETE
