number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	0.00025615158728902496	2020-10-14 18:23:47.323225	2020-10-14 18:31:39.105726	0 days 00:07:51.782501000	0.0	0.00019827712062767862	9	3			COMPLETE
1	0.0002881738140529766	2020-10-14 18:31:39.106162	2020-10-14 18:40:56.512366	0 days 00:09:17.406204000	0.2	2.399498081277868e-05	7	2		pyramid_2	COMPLETE
2	0.0011199289764921034	2020-10-14 18:40:56.512823	2020-10-14 18:46:39.978500	0 days 00:05:43.465677000	0.45	0.008529141577934706	7	3	pyramid_2		COMPLETE
3	0.00043300711181071835	2020-10-14 18:46:39.978950	2020-10-14 18:52:18.294246	0 days 00:05:38.315296000	0.35000000000000003	0.006112283439548482	7	3	flat		COMPLETE
4	0.0002657538210965237	2020-10-14 18:52:18.294713	2020-10-14 18:59:53.288139	0 days 00:07:34.993426000	0.45	0.0002951287687193438	7	2		pyramid_2	COMPLETE
5	0.0002535138943802895	2020-10-14 18:59:53.288594	2020-10-14 19:07:13.043418	0 days 00:07:19.754824000	0.2	0.0006188182195002645	7	2		pyramid_4	COMPLETE
6	0.007689252688982137	2020-10-14 19:07:13.043930	2020-10-14 19:13:02.389299	0 days 00:05:49.345369000		0.019512307630391742	8	1			COMPLETE
7	0.00027314063697951536	2020-10-14 19:13:02.389779	2020-10-14 19:20:21.163229	0 days 00:07:18.773450000	0.35000000000000003	0.0009371973461682739	7	2		pyramid_4	COMPLETE
8	0.00026772438837810816	2020-10-14 19:20:21.163733	2020-10-14 19:27:44.614124	0 days 00:07:23.450391000	0.2	0.001463640279503384	7	2		pyramid_4	COMPLETE
9	0.0072700605166752625	2020-10-14 19:27:44.614608	2020-10-14 19:34:25.003740	0 days 00:06:40.389132000		0.007915326750411343	10	1			COMPLETE
10	0.000310532316299892	2020-10-14 19:34:25.004213	2020-10-14 19:41:25.484257	0 days 00:07:00.480044000		4.146116627145861e-05	6	1			COMPLETE
11	0.0002557287560861552	2020-10-14 19:41:25.484721	2020-10-14 19:48:57.553437	0 days 00:07:32.068716000	0.0	0.00020673407209892083	9	3			COMPLETE
12	0.0002659038056538153	2020-10-14 19:48:57.553932	2020-10-14 19:56:32.624494	0 days 00:07:35.070562000	0.0	9.423759818087018e-05	9	3			COMPLETE
13	0.0002760403387447885	2020-10-14 19:56:32.628121	2020-10-14 20:04:13.327474	0 days 00:07:40.699353000	0.1	0.0015724966525531403	9	3			COMPLETE
14	0.00026048400185955766	2020-10-14 20:04:13.327950	2020-10-14 20:09:58.674752	0 days 00:05:45.346802000	0.1	0.0003379224740099534	10	2			COMPLETE
15	0.0002586081842001748	2020-10-14 20:09:58.675222	2020-10-14 20:17:49.047512	0 days 00:07:50.372290000	0.1	7.110547291209229e-05	8	3	pyramid_2		COMPLETE
16	0.0003175446011331588	2020-10-14 20:17:49.047984	2020-10-14 20:26:46.940309	0 days 00:08:57.892325000		1.3530318739151127e-05	6	1			COMPLETE
17	0.00025783031583317164	2020-10-14 20:26:46.940829	2020-10-14 20:34:06.035552	0 days 00:07:19.094723000	0.30000000000000004	0.0006559022482102342	8	2		flat	COMPLETE
18	0.0003944016444221696	2020-10-14 20:34:06.036038	2020-10-14 20:40:49.409138	0 days 00:06:43.373100000	0.0	0.003307761579846814	9	3			COMPLETE
19	0.0002506667247919919	2020-10-14 20:40:49.431835	2020-10-14 20:48:35.131234	0 days 00:07:45.699399000	0.2	0.00010204808453069971	10	2			COMPLETE
20	0.00027109791656679163	2020-10-14 20:48:35.140918	2020-10-14 20:56:38.083632	0 days 00:08:02.942714000	0.2	8.731914246682795e-05	6	2		pyramid_4	COMPLETE
21	0.0002492360442186625	2020-10-14 20:56:38.084087	2020-10-14 21:04:22.086411	0 days 00:07:44.002324000	0.15000000000000002	0.0001928067717564312	10	2			COMPLETE
22	0.0002495468193269673	2020-10-14 21:04:22.086856	2020-10-14 21:12:21.832857	0 days 00:07:59.746001000	0.15000000000000002	0.00012698150159876827	10	2			COMPLETE
23	0.00025395081747530134	2020-10-14 21:12:21.833298	2020-10-14 21:20:13.680908	0 days 00:07:51.847610000	0.15000000000000002	3.792318966369518e-05	10	2			COMPLETE
24	0.00024905775168720885	2020-10-14 21:20:13.681361	2020-10-14 21:28:05.454294	0 days 00:07:51.772933000	0.25	0.00011204275363240946	10	2			COMPLETE
