number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.000357048608980222	2020-10-14 14:48:12.263746	2020-10-14 14:58:13.530207	0 days 00:10:01.266461000		0.0017591987943811347	6	1					COMPLETE
1	0.0003415015605929213	2020-10-14 14:58:13.530921	2020-10-14 15:08:23.475287	0 days 00:10:09.944366000	0.45	0.00047101246449489826	6	3		flat			COMPLETE
2	0.0009714705296442813	2020-10-14 15:08:23.475785	2020-10-14 15:17:53.084767	0 days 00:09:29.608982000	0.30000000000000004	0.020355189655633193	7	2				pyramid_2	COMPLETE
3	0.00035149017744478715	2020-10-14 15:17:53.085254	2020-10-14 15:27:16.883388	0 days 00:09:23.798134000	0.05	0.006525558704970042	7	2				flat	COMPLETE
4	0.0003239839400498993	2020-10-14 15:27:16.883862	2020-10-14 15:36:58.822031	0 days 00:09:41.938169000	0.45	0.0008080480797068521	8	2				flat	COMPLETE
5	0.0003169106507310386	2020-10-14 15:36:58.822515	2020-10-14 15:46:53.019440	0 days 00:09:54.196925000	0.45	0.0003826101773944579	8	3	pyramid_2				COMPLETE
6	0.0003109269401151649	2020-10-14 15:46:53.019920	2020-10-14 15:56:42.359482	0 days 00:09:49.339562000	0.35000000000000003	0.0003412850401004028	9	2			pyramid_2		COMPLETE
7	0.0003499576982618112	2020-10-14 15:56:42.359975	2020-10-14 16:07:44.609416	0 days 00:11:02.249441000		1.4120766307929915e-05	10	1					COMPLETE
8	0.00030991531922154196	2020-10-14 16:07:44.609894	2020-10-14 16:17:32.428396	0 days 00:09:47.818502000	0.1	0.0006393555999134609	8	2				pyramid_4	COMPLETE
9	0.00030650314652286433	2020-10-14 16:17:32.428876	2020-10-14 16:27:31.471971	0 days 00:09:59.043095000	0.25	0.0004200337090394309	10	2					COMPLETE
10	0.00034804692048558003	2020-10-14 16:27:31.472425	2020-10-14 16:37:47.790072	0 days 00:10:16.317647000		3.307727965857018e-05	10	1					COMPLETE
11	0.0003177949704589968	2020-10-14 16:37:47.790525	2020-10-14 16:47:43.839105	0 days 00:09:56.048580000	0.1	8.001770050780782e-05	9	3					COMPLETE
12	0.0003323066849372301	2020-10-14 16:47:43.839566	2020-10-14 16:57:39.234984	0 days 00:09:55.395418000	0.15000000000000002	9.219906135960723e-05	9	2			flat		COMPLETE
13	0.0004176085414595513	2020-10-14 16:57:39.253770	2020-10-14 17:07:19.883371	0 days 00:09:40.629601000	0.2	0.0026776571199004515	10	2					COMPLETE
14	0.0003410154232304299	2020-10-14 17:07:19.883831	2020-10-14 17:17:13.578243	0 days 00:09:53.694412000	0.0	8.87156958609551e-05	7	3	flat				COMPLETE
15	0.00036432665071812906	2020-10-14 17:17:13.578728	2020-10-14 17:26:42.642864	0 days 00:09:29.064136000		0.001918196225493499	9	1					COMPLETE
16	0.0003168058136253383	2020-10-14 17:26:42.643324	2020-10-14 17:36:45.327395	0 days 00:10:02.684071000	0.2	0.00018793706708852292	8	2				pyramid_4	COMPLETE
17	0.0006979100656529064	2020-10-14 17:36:45.327861	2020-10-14 17:46:22.382533	0 days 00:09:37.054672000	0.25	0.008203611668010657	10	2					COMPLETE
18	0.0003528034454898102	2020-10-14 17:46:22.383078	2020-10-14 17:55:47.788247	0 days 00:09:25.405169000		0.0009710068196752923	7	1					COMPLETE
19	0.00031378546513957916	2020-10-14 17:55:47.788698	2020-10-14 18:05:53.967622	0 days 00:10:06.178924000	0.35000000000000003	0.00018449953814460383	9	3					COMPLETE
20	0.0004081836088541373	2020-10-14 18:05:53.968804	2020-10-14 18:15:11.551321	0 days 00:09:17.582517000	0.0	0.00627709372470659	8	2				pyramid_4	COMPLETE
21	0.0003114084289391648	2020-10-14 18:15:11.551792	2020-10-14 18:24:59.292222	0 days 00:09:47.740430000	0.35000000000000003	0.00029754981752967805	9	2			pyramid_2		COMPLETE
22	0.00033735506626540333	2020-10-14 18:24:59.292677	2020-10-14 18:34:29.933321	0 days 00:09:30.640644000	0.35000000000000003	0.0009055142829063812	9	2			pyramid_2		COMPLETE
23	0.0003139524438990215	2020-10-14 18:34:29.933836	2020-10-14 18:44:40.153245	0 days 00:10:10.219409000	0.25	0.0001970678369816952	10	2					COMPLETE
24	0.0003361944720733844	2020-10-14 18:44:40.168997	2020-10-14 18:54:42.686585	0 days 00:10:02.517588000	0.30000000000000004	3.6859165802856586e-05	9	2			pyramid_2		COMPLETE
