number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.0003790778180343736	2020-10-14 14:48:12.263805	2020-10-14 14:58:25.292559	0 days 00:10:13.028754000	0.4	6.1007465317139936e-05	8	2			flat	COMPLETE
1	0.00038356748833365576	2020-10-14 14:58:25.293120	2020-10-14 15:07:47.089989	0 days 00:09:21.796869000	0.05	0.002349509226657255	7	3	flat			COMPLETE
2	0.00154827205831103	2020-10-14 15:07:47.090457	2020-10-14 15:17:12.424844	0 days 00:09:25.334387000	0.35000000000000003	0.029783638918019436	6	2			pyramid_2	COMPLETE
3	0.0003925954607003009	2020-10-14 15:17:12.425321	2020-10-14 15:26:22.468874	0 days 00:09:10.043553000	0.25	0.003970610951199964	6	2			flat	COMPLETE
4	0.0003861119813645894	2020-10-14 15:26:22.469413	2020-10-14 15:35:48.045553	0 days 00:09:25.576140000		0.0004898817673590194	6	1				COMPLETE
5	0.00037051611794191376	2020-10-14 15:35:48.046009	2020-10-14 15:45:05.308544	0 days 00:09:17.262535000	0.1	0.00026743240928972094	8	3	flat			COMPLETE
6	0.00043932271101809436	2020-10-14 15:45:05.309008	2020-10-14 15:54:06.128033	0 days 00:09:00.819025000		0.005473086319450287	9	1				COMPLETE
7	0.0003785841042095412	2020-10-14 15:54:06.142073	2020-10-14 16:03:25.906944	0 days 00:09:19.764871000	0.5	0.0015936149130133055	7	3	pyramid_2			COMPLETE
8	0.0003748423012715326	2020-10-14 16:03:25.907414	2020-10-14 16:13:07.785624	0 days 00:09:41.878210000	0.15000000000000002	5.5206056344095086e-05	9	2		flat		COMPLETE
9	0.0003791256443161541	2020-10-14 16:13:07.786234	2020-10-14 16:22:40.847184	0 days 00:09:33.060950000	0.0	0.0010940550710396414	7	2			flat	COMPLETE
10	0.00037775302303311024	2020-10-14 16:22:40.847666	2020-10-14 16:33:16.797583	0 days 00:10:35.949917000	0.15000000000000002	1.009990638960175e-05	10	3				COMPLETE
11	0.0003702754956631632	2020-10-14 16:33:16.798061	2020-10-14 16:42:47.152685	0 days 00:09:30.354624000	0.1	0.00013679242089024938	9	3				COMPLETE
12	0.0003645208943732722	2020-10-14 16:42:47.153122	2020-10-14 16:52:07.942443	0 days 00:09:20.789321000	0.1	0.00021747905164292526	9	3				COMPLETE
13	0.00037087387735902953	2020-10-14 16:52:07.942883	2020-10-14 17:01:51.492169	0 days 00:09:43.549286000	0.2	0.00010406035595389563	10	3				COMPLETE
14	0.0003815239051092193	2020-10-14 17:01:51.514083	2020-10-14 17:11:52.493602	0 days 00:10:00.979519000	0.0	1.0858377339398333e-05	9	3				COMPLETE
15	0.00037575262262675086	2020-10-14 17:11:52.494039	2020-10-14 17:21:10.587902	0 days 00:09:18.093863000	0.25	0.00013474251171059182	9	3				COMPLETE
16	0.00036388089241451215	2020-10-14 17:21:10.588402	2020-10-14 17:31:24.997432	0 days 00:10:14.409030000	0.05	2.9510615427500513e-05	10	3				COMPLETE
17	0.00036320249406009294	2020-10-14 17:31:24.998087	2020-10-14 17:41:43.114653	0 days 00:10:18.116566000	0.0	2.6343848647604486e-05	10	3				COMPLETE
18	0.0003719499935733391	2020-10-14 17:41:43.140403	2020-10-14 17:51:33.418242	0 days 00:09:50.277839000	0.0	2.5111411794087593e-05	10	2				COMPLETE
19	0.0003894694968972596	2020-10-14 17:51:33.418760	2020-10-14 18:01:36.870608	0 days 00:10:03.451848000		2.523918409992105e-05	10	1				COMPLETE
20	0.000365163251187291	2020-10-14 18:01:36.871055	2020-10-14 18:12:04.896052	0 days 00:10:28.024997000	0.0	1.8449659505081378e-05	10	3				COMPLETE
21	0.0003692702395501591	2020-10-14 18:12:04.897379	2020-10-14 18:22:11.849332	0 days 00:10:06.951953000	0.05	5.28885928055882e-05	10	3				COMPLETE
22	0.0003580336967754002	2020-10-14 18:22:11.849797	2020-10-14 18:31:46.097724	0 days 00:09:34.247927000	0.1	0.00034428424219828274	9	3				COMPLETE
23	0.0007516871311140879	2020-10-14 18:31:46.098172	2020-10-14 18:43:07.893168	0 days 00:11:21.794996000	0.05	0.01363703776510907	10	3				COMPLETE
24	0.00036539613705555856	2020-10-14 18:43:07.893697	2020-10-14 18:52:48.764988	0 days 00:09:40.871291000	0.15000000000000002	0.00039810472554273053	9	3				COMPLETE
