number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
0	1.2943580286342273	2020-07-03 11:09:54.595580	2020-07-03 11:16:39.959283	0 days 00:06:45.363703000	4	0.2	1	900	9.364842408456083e-05	COMPLETE
1	1.28694542141101	2020-07-03 11:16:39.959904	2020-07-03 11:23:58.643995	0 days 00:07:18.684091000	3	0.05	2	1300	7.170358464017719e-05	COMPLETE
2	1.298505748296499	2020-07-03 11:23:58.644564	2020-07-03 11:37:57.818870	0 days 00:13:59.174306000	3	0.0	1	300	1.7934765294449273e-05	COMPLETE
3	1.309806918531201	2020-07-03 11:37:57.819464	2020-07-03 11:46:07.173557	0 days 00:08:09.354093000	3	0.4	1	1700	0.00012102601172494444	COMPLETE
4	1.3272425708759958	2020-07-03 11:46:07.174127	2020-07-03 11:50:10.156691	0 days 00:04:02.982564000	2	0.5	1	700	2.2209090836020828e-05	COMPLETE
5	1.3287732258852283	2020-07-03 11:50:10.157290	2020-07-03 12:05:32.212452	0 days 00:15:22.055162000	4	0.25	3	2300	0.0004401678848849278	COMPLETE
6	1.2904988630923027	2020-07-03 12:05:32.213064	2020-07-03 12:20:34.660518	0 days 00:15:02.447454000	3	0.4	1	1900	1.5755406714691698e-05	COMPLETE
7	1.293392329763813	2020-07-03 12:20:34.662613	2020-07-03 12:32:13.204617	0 days 00:11:38.542004000	6	0.25	1	1400	0.00020467311781567824	COMPLETE
8	1.3530608929950907	2020-07-03 12:32:13.205199	2020-07-03 12:41:17.290287	0 days 00:09:04.085088000	4	0.25	3	1800	0.001090095850211376	COMPLETE
9	1.3252466230117201	2020-07-03 12:41:17.290883	2020-07-03 12:53:19.894092	0 days 00:12:02.603209000	2	0.5	2	700	0.0007343219356085938	COMPLETE
10	1.2752190154220806	2020-07-03 12:53:19.894690	2020-07-03 13:17:25.048390	0 days 00:24:05.153700000	6	0.0	2	1200	4.643956325989477e-05	COMPLETE
11	1.2862876481502556	2020-07-03 13:17:25.048976	2020-07-03 13:31:16.936320	0 days 00:13:51.887344000	6	0.0	2	1200	5.176201079229752e-05	COMPLETE
12	1.2793616726362038	2020-07-03 13:31:16.938238	2020-07-03 13:58:53.840039	0 days 00:27:36.901801000	6	0.1	2	1200	4.1424717820602704e-05	COMPLETE
13	1.2787551875565102	2020-07-03 13:58:53.840628	2020-07-03 14:10:35.071493	0 days 00:11:41.230865000	5	0.1	2	1000	3.916423752293653e-05	COMPLETE
14	1.275967669095707	2020-07-03 14:10:35.072097	2020-07-03 14:19:38.065450	0 days 00:09:02.993353000	5	0.15000000000000002	3	400	3.641389939950247e-05	COMPLETE
15	1.2785640451013536	2020-07-03 14:19:38.066043	2020-07-03 14:29:50.652074	0 days 00:10:12.586031000	5	0.15000000000000002	3	300	0.00020684476257566193	COMPLETE
16	1.2995832605961022	2020-07-03 14:29:50.652663	2020-07-03 14:38:35.312341	0 days 00:08:44.659678000	5	0.35000000000000003	3	500	1.137818464132148e-05	COMPLETE
17	1.2810290064458194	2020-07-03 14:38:35.313302	2020-07-03 15:03:38.026202	0 days 00:25:02.712900000	5	0.05	3	2300	2.7816082676452682e-05	COMPLETE
