number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
0	2.016937780960204	2020-06-30 20:05:50.375514	2020-06-30 20:22:48.271716	0 days 00:16:57.896202000	5	0.5	2	2000	0.0004376740086956355	COMPLETE
1	1.9609430016191018	2020-06-30 20:22:48.272809	2020-06-30 21:07:33.671088	0 days 00:44:45.398279000	2	0.15000000000000002	1	1400	0.0010738701248776243	COMPLETE
2	1.9043498053634638	2020-06-30 21:07:33.671677	2020-06-30 21:33:05.014725	0 days 00:25:31.343048000	4	0.25	1	1100	5.457573237430036e-05	COMPLETE
3	1.9027832582185182	2020-06-30 21:33:05.056439	2020-06-30 22:21:57.868779	0 days 00:48:52.812340000	4	0.1	1	2200	3.481245507080451e-05	COMPLETE
4	1.8726167570311145	2020-06-30 22:21:57.869387	2020-06-30 22:43:57.106169	0 days 00:21:59.236782000	6	0.0	3	700	3.891991431057665e-05	COMPLETE
5	1.8880190896645215	2020-06-30 22:43:57.106775	2020-06-30 23:23:17.254796	0 days 00:39:20.148021000	4	0.4	3	2000	9.189346707689366e-05	COMPLETE
6	2.0124110233439922	2020-06-30 23:23:17.255508	2020-06-30 23:42:17.931097	0 days 00:19:00.675589000	2	0.45	2	1800	0.0006785790027390503	COMPLETE
7	1.9331266582259317	2020-06-30 23:42:17.931702	2020-07-01 00:17:13.840862	0 days 00:34:55.909160000	2	0.5	3	400	0.00011089321949681025	COMPLETE
8	1.8727013306124336	2020-07-01 00:17:13.841464	2020-07-01 01:53:59.918737	0 days 01:36:46.077273000	5	0.2	3	2300	0.00017392198949978916	COMPLETE
9	1.900758614982096	2020-07-01 01:53:59.925186	2020-07-01 03:27:42.047580	0 days 01:33:42.122394000	5	0.45	2	2400	0.00011258857348059298	COMPLETE
10	1.8862490452655085	2020-07-01 03:27:42.048478	2020-07-01 03:55:47.834502	0 days 00:28:05.786024000	6	0.0	3	400	1.0629512245500555e-05	COMPLETE
11	1.8760621724101922	2020-07-01 03:55:47.835143	2020-07-01 04:28:39.271654	0 days 00:32:51.436511000	6	0.0	3	900	1.8064829501998494e-05	COMPLETE
12	1.9779336389216324	2020-07-01 04:28:39.289719	2020-07-01 04:42:16.162847	0 days 00:13:36.873128000	5	0.30000000000000004	3	700	0.0003168053104308719	COMPLETE
13	1.8723959007604127	2020-07-01 04:42:16.163821	2020-07-01 05:39:40.561597	0 days 00:57:24.397776000	6	0.1	3	1500	0.000269723801948574	COMPLETE
14	1.8793622337156075	2020-07-01 05:39:40.594476	2020-07-01 06:26:06.533098	0 days 00:46:25.938622000	6	0.05	2	1500	3.334361724441993e-05	COMPLETE
15	1.877800542803214	2020-07-01 06:26:06.533704	2020-07-01 07:12:52.573298	0 days 00:46:46.039594000	6	0.1	3	1200	0.0002243678766663086	COMPLETE
16	2.0113042830146757	2020-07-01 07:12:52.573890	2020-07-01 07:25:11.105733	0 days 00:12:18.531843000	3	0.0	2	1600	0.00183038619947439	COMPLETE
17	1.8642185485539848	2020-07-01 07:25:11.106321	2020-07-01 07:53:21.560207	0 days 00:28:10.453886000	6	0.1	3	700	5.9704758076861765e-05	COMPLETE
