number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
0	0.9627008218514291	2020-07-09 04:12:15.900005	2020-07-09 04:30:18.628550	0 days 00:18:02.728545000	6	0.25	2	500	7.142090541908453e-05	COMPLETE
1	0.9662865734936898	2020-07-09 04:30:18.629136	2020-07-09 04:58:09.825335	0 days 00:27:51.196199000	5	0.1	2	2000	0.0003882162924093753	COMPLETE
2	0.9652548672860128	2020-07-09 04:58:09.825941	2020-07-09 05:17:26.370946	0 days 00:19:16.545005000	3	0.45	1	1500	0.00020598444705089152	COMPLETE
3	0.9630671457240456	2020-07-09 05:17:26.373672	2020-07-09 06:51:07.092908	0 days 01:33:40.719236000	6	0.5	1	1700	0.0001377008052559785	COMPLETE
4	1.0246017592692236	2020-07-09 06:51:07.093511	2020-07-09 06:56:51.256783	0 days 00:05:44.163272000	2	0.45	2	1400	0.001959093918799559	COMPLETE
5	inf	2020-07-09 06:56:51.257391	2020-07-09 06:58:19.934321	0 days 00:01:28.676930000	6	0.45	3	900	0.001986731934772593	COMPLETE
6	0.9643748245741192	2020-07-09 06:58:19.935077	2020-07-09 07:31:37.682216	0 days 00:33:17.747139000	6	0.5	1	1800	1.2707027109272904e-05	COMPLETE
7	0.9614971593806618	2020-07-09 07:31:37.701633	2020-07-09 07:55:14.390812	0 days 00:23:36.689179000	3	0.35000000000000003	2	2000	5.3680607612311344e-05	COMPLETE
8	0.9663918710242935	2020-07-09 07:55:14.391414	2020-07-09 08:15:57.831520	0 days 00:20:43.440106000	2	0.35000000000000003	3	400	1.1091825323791512e-05	COMPLETE
9	0.9625585012965732	2020-07-09 08:15:57.832138	2020-07-09 08:56:42.224321	0 days 00:40:44.392183000	5	0.30000000000000004	3	1500	0.0001950166959188088	COMPLETE
10	0.9617373981671027	2020-07-09 08:56:42.224938	2020-07-09 09:23:00.922846	0 days 00:26:18.697908000	3	0.1	2	2400	3.291972845231917e-05	COMPLETE
11	0.9620806797903184	2020-07-09 09:23:00.923544	2020-07-09 09:44:37.772490	0 days 00:21:36.848946000	3	0.05	2	2400	3.38560865300715e-05	COMPLETE
12	0.962063181121447	2020-07-09 09:44:37.773097	2020-07-09 10:08:34.947316	0 days 00:23:57.174219000	3	0.15000000000000002	2	2400	3.118911590209756e-05	COMPLETE
13	0.9623538058752205	2020-07-09 10:08:34.947928	2020-07-09 10:36:18.100889	0 days 00:27:43.152961000	4	0.15000000000000002	2	2100	2.4829338245492103e-05	COMPLETE
14	0.9634282135824014	2020-07-09 10:36:18.102352	2020-07-09 11:14:58.918333	0 days 00:38:40.815981000	4	0.0	3	2200	7.855749415752707e-05	COMPLETE
15	0.9620093752069083	2020-07-09 11:14:58.928062	2020-07-09 11:31:43.767117	0 days 00:16:44.839055000	3	0.2	1	1000	6.223152483143795e-05	COMPLETE
16	0.9642092291026088	2020-07-09 11:31:43.767754	2020-07-09 12:13:11.861800	0 days 00:41:28.094046000	2	0.35000000000000003	2	2400	1.8621375078231264e-05	COMPLETE
17	0.9623113968218976	2020-07-09 12:13:11.862415	2020-07-09 12:45:53.259501	0 days 00:32:41.397086000	4	0.0	2	1900	0.0004040938094825435	COMPLETE
18	0.961666480839601	2020-07-09 12:45:53.261077	2020-07-09 13:17:24.040304	0 days 00:31:30.779227000	3	0.35000000000000003	1	2200	4.883513443344583e-05	COMPLETE
