number,value,datetime_start,datetime_complete,duration,params_depth,params_dropout,params_ffn_num_layers,params_hidden_size,params_init_lr,state
0,0.966044198525579,2020-07-08 04:44:50.646166,2020-07-08 05:36:06.413370,0 days 00:51:15.767204000,6,0.1,2,1400,5.78252883383641E-05,COMPLETE
1,1.02401532485471,2020-07-08 05:36:06.413888,2020-07-08 05:51:31.400991,0 days 00:15:24.987103000,2,0.15,1,1800,0.00104608502316548,COMPLETE
2,1.06878826876133,2020-07-08 05:51:31.401493,2020-07-08 06:06:47.457850,0 days 00:15:16.056357000,4,0.25,2,700,0.000620678816825868,COMPLETE
3,1.03218819871981,2020-07-08 06:06:47.458339,2020-07-08 06:22:04.994989,0 days 00:15:17.536650000,2,0.5,3,1000,5.8134776927782E-05,COMPLETE
4,1.04166169856724,2020-07-08 06:22:04.995524,2020-07-08 06:40:40.894607,0 days 00:18:35.899083000,2,0.2,3,900,0.00162802351399571,COMPLETE
5,1.04170656587645,2020-07-08 06:40:40.895112,2020-07-08 06:59:57.624316,0 days 00:19:16.729204000,2,0.4,3,2100,0.00191142189255555,COMPLETE
6,1.01349690469385,2020-07-08 06:59:57.624852,2020-07-08 07:20:25.152456,0 days 00:20:27.527604000,6,0.5,3,1400,0.000404524547967607,COMPLETE
7,1.00359889185219,2020-07-08 07:20:25.152969,2020-07-08 07:56:18.137020,0 days 00:35:52.984051000,5,0.35,2,1000,0.0010021261814899,COMPLETE
8,1.02874112024642,2020-07-08 07:56:18.137563,2020-07-08 08:12:02.475323,0 days 00:15:44.337760000,2,0.4,1,2100,0.0011673266664342,COMPLETE
9,1.0150138697429,2020-07-08 08:12:02.475819,2020-07-08 08:28:25.855958,0 days 00:16:23.380139000,3,0.15,2,2000,2.40917920009656E-05,COMPLETE
10,0.992538694575516,2020-07-08 08:28:25.856466,2020-07-08 08:53:37.145386,0 days 00:25:11.288920000,6,0,1,400,1.01031648232183E-05,COMPLETE
11,0.9969893683467,2020-07-08 08:53:37.145905,2020-07-08 09:18:42.022547,0 days 00:25:04.876642000,6,0,1,300,1.1020139103185E-05,COMPLETE
12,0.993305944908432,2020-07-08 09:18:42.023100,2020-07-08 09:35:04.567122,0 days 00:16:22.544022000,5,0,2,1400,0.000124079493766267,COMPLETE
13,0.9975617775443,2020-07-08 09:35:04.567643,2020-07-08 10:08:11.334843,0 days 00:33:06.767200000,5,0.05,1,300,1.00856224744735E-05,COMPLETE
14,0.983331130610572,2020-07-08 10:08:11.335395,2020-07-08 10:25:42.579723,0 days 00:17:31.244328000,6,0.1,2,1600,3.28687376356194E-05,COMPLETE
15,0.999514513197001,2020-07-08 10:25:42.580321,2020-07-08 11:05:28.251502,0 days 00:39:45.671181000,4,0.1,2,1700,3.79841790194667E-05,COMPLETE
16,0.992720888023488,2020-07-08 11:05:28.252033,2020-07-08 11:28:20.950149,0 days 00:22:52.698116000,6,0.25,2,2400,0.000132849166744825,COMPLETE
17,0.969196270432389,2020-07-08 11:28:20.950815,2020-07-08 12:00:05.444554,0 days 00:31:44.493739000,5,0.1,2,1700,6.4629414946066E-05,COMPLETE
18,0.966289729925624,2020-07-08 12:00:05.445076,2020-07-08 12:33:26.272575,0 days 00:33:20.827499000,5,0.1,2,1200,7.75012715838184E-05,COMPLETE
