number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
0	0.9738545040375602	2020-07-09 17:46:37.309249	2020-07-09 18:02:15.700227	0 days 00:15:38.390978000	4	0.15000000000000002	1	900	6.057688280762384e-05	COMPLETE
1	0.9681229083909094	2020-07-09 18:02:15.700851	2020-07-09 19:11:24.205971	0 days 01:09:08.505120000	3	0.30000000000000004	3	2200	0.00028566107007663833	COMPLETE
2	0.9826403643956857	2020-07-09 19:11:24.215322	2020-07-09 20:20:22.144376	0 days 01:08:57.929054000	3	0.5	3	2000	0.0002171897778109501	COMPLETE
3	0.9760286978265826	2020-07-09 20:20:22.145383	2020-07-09 21:58:43.593538	0 days 01:38:21.448155000	6	0.45	3	900	0.0002486239970925306	COMPLETE
4	0.9789539286807574	2020-07-09 21:58:43.594125	2020-07-09 22:21:42.794793	0 days 00:22:59.200668000	3	0.35000000000000003	1	2000	0.00013639284121462535	COMPLETE
5	0.9916101522207545	2020-07-09 22:21:42.803307	2020-07-09 23:02:48.638389	0 days 00:41:05.835082000	2	0.35000000000000003	2	1600	0.000395387553719129	COMPLETE
6	0.967984455011632	2020-07-09 23:02:48.638970	2020-07-09 23:33:59.114600	0 days 00:31:10.475630000	3	0.35000000000000003	3	800	3.2788458410487485e-05	COMPLETE
7	0.9735834231895532	2020-07-09 23:33:59.126444	2020-07-10 01:20:09.144388	0 days 01:46:10.017944000	6	0.15000000000000002	1	1600	0.0005226611365056063	COMPLETE
8	0.9761396019423402	2020-07-10 01:20:09.144967	2020-07-10 01:47:27.880494	0 days 00:27:18.735527000	2	0.0	1	2100	0.00038160925015850734	COMPLETE
9	1.0198099040044877	2020-07-10 01:47:27.881879	2020-07-10 01:56:47.925205	0 days 00:09:20.043326000	3	0.05	1	1800	0.001920325504383397	COMPLETE
10	0.9732264081399078	2020-07-10 01:56:47.925797	2020-07-10 02:18:43.311311	0 days 00:21:55.385514000	5	0.2	2	300	1.950285075229667e-05	COMPLETE
