number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	3.142126663889894	2020-06-30 15:47:03.667077	2020-06-30 15:47:16.557690	0 days 00:00:12.890613000	0.2	0.008160723237762459		9	1	COMPLETE
1	1.5897917007920976	2020-06-30 15:47:16.558198	2020-06-30 15:47:48.794327	0 days 00:00:32.236129000	0.1	1.5026773811932191e-05	flat	8	3	COMPLETE
2	3.14219157467157	2020-06-30 15:47:48.794872	2020-06-30 15:55:28.735470	0 days 00:07:39.940598000	0.2	0.07029959796394052	flat	10	2	COMPLETE
3	1.5824448634709212	2020-06-30 15:55:28.735985	2020-06-30 15:55:43.033558	0 days 00:00:14.297573000	0.5	0.0007629203672960886	pyramid_2	7	2	COMPLETE
4	1.5879548819184908	2020-06-30 15:55:43.034054	2020-06-30 15:56:28.009531	0 days 00:00:44.975477000	0.05	3.50139144922791e-05	flat	5	3	COMPLETE
5	1.6040727809710909	2020-06-30 15:56:28.010026	2020-06-30 15:56:38.220767	0 days 00:00:10.210741000	0.45	0.03218799712948261		5	1	COMPLETE
6	1.6133987110016295	2020-06-30 15:56:38.221262	2020-06-30 15:56:49.098528	0 days 00:00:10.877266000	0.30000000000000004	0.08033541913079588	pyramid_4	6	3	COMPLETE
7	3.14219157467157	2020-06-30 15:56:49.099014	2020-06-30 16:03:26.687705	0 days 00:06:37.588691000	0.35000000000000003	0.04904006953925876		9	1	COMPLETE
8	1.5923731917099415	2020-06-30 16:03:26.688223	2020-06-30 16:03:38.379264	0 days 00:00:11.691041000	0.30000000000000004	0.0028002303294621046	pyramid_4	10	3	COMPLETE
9	1.5884558226390981	2020-06-30 16:03:38.379768	2020-06-30 16:03:51.536746	0 days 00:00:13.156978000	0.25	0.0005172923783958315	flat	7	3	COMPLETE
10	1.5906216077238273	2020-06-30 16:03:51.537237	2020-06-30 16:04:16.373719	0 days 00:00:24.836482000	0.5	0.00016076365121690553	pyramid_2	4	2	COMPLETE
11	1.6068765106447431	2020-06-30 16:04:16.374223	2020-06-30 16:05:20.580075	0 days 00:01:04.205852000	0.05	1.1609559599433532e-05	pyramid_2	6	2	COMPLETE
12	1.5990074472333429	2020-06-30 16:05:20.580585	2020-06-30 16:05:52.700329	0 days 00:00:32.119744000	0.0	6.892106288169218e-05	pyramid_2	4	2	COMPLETE
13	1.5858372704162378	2020-06-30 16:05:52.700828	2020-06-30 16:06:14.167258	0 days 00:00:21.466430000	0.4	4.4812102481318276e-05	flat	7	3	COMPLETE
14	1.581632505547749	2020-06-30 16:06:14.167798	2020-06-30 16:06:31.276788	0 days 00:00:17.108990000	0.45	0.00039363348795925477	pyramid_2	7	2	COMPLETE
15	1.5832138269570815	2020-06-30 16:06:31.277329	2020-06-30 16:06:44.461491	0 days 00:00:13.184162000	0.5	0.0005297109222624358	pyramid_2	8	2	COMPLETE
16	1.5900441378369954	2020-06-30 16:06:44.461976	2020-06-30 16:06:58.105928	0 days 00:00:13.643952000	0.45	0.002062466878519386	pyramid_2	6	2	COMPLETE
17	1.6052762051245375	2020-06-30 16:06:58.106433	2020-06-30 16:07:13.949076	0 days 00:00:15.842643000	0.5	0.0002154175600422499		8	1	COMPLETE
18	1.6021937395191677	2020-06-30 16:07:13.949565	2020-06-30 16:07:28.579461	0 days 00:00:14.629896000	0.4	0.008772123219118976	pyramid_2	7	2	COMPLETE
19	1.587400354986909	2020-06-30 16:07:28.579959	2020-06-30 16:07:39.618932	0 days 00:00:11.038973000	0.4	0.0016617922873712102	pyramid_2	9	2	COMPLETE
20	1.6065144946217054	2020-06-30 16:07:39.619434	2020-06-30 16:07:50.913412	0 days 00:00:11.293978000	0.45	0.0007231011803161239		5	1	COMPLETE
21	1.5820044857663937	2020-06-30 16:07:50.913897	2020-06-30 16:08:04.742176	0 days 00:00:13.828279000	0.5	0.0002759272052681493	pyramid_2	8	2	COMPLETE
22	1.583309027738527	2020-06-30 16:08:04.742667	2020-06-30 16:08:18.886454	0 days 00:00:14.143787000	0.5	0.0002065378874021224	pyramid_2	8	2	COMPLETE
23	1.588607936691207	2020-06-30 16:08:18.886995	2020-06-30 16:08:36.693076	0 days 00:00:17.806081000	0.45	0.00010563613122231604	pyramid_2	7	2	COMPLETE
24	1.5841681699972001	2020-06-30 16:08:36.693569	2020-06-30 16:08:53.966677	0 days 00:00:17.273108000	0.35000000000000003	0.0003742227662009745	pyramid_2	6	2	COMPLETE
25	1.5877677581632559	2020-06-30 16:08:53.967194	2020-06-30 16:09:05.312177	0 days 00:00:11.344983000	0.5	0.0011505471823263405	pyramid_2	8	2	COMPLETE
26	1.591959021181553	2020-06-30 16:09:05.312670	2020-06-30 16:09:16.778352	0 days 00:00:11.465682000	0.4	0.0047303427647012505	pyramid_4	7	2	COMPLETE
27	1.6053372912311654	2020-06-30 16:09:16.778842	2020-06-30 16:09:28.348138	0 days 00:00:11.569296000	0.35000000000000003	0.0002328944080598452		9	1	COMPLETE
28	1.5806010542054414	2020-06-30 16:09:28.348638	2020-06-30 16:09:41.253218	0 days 00:00:12.904580000	0.45	0.00041382934562071884	pyramid_2	8	2	COMPLETE
29	1.605002934470042	2020-06-30 16:09:41.253726	2020-06-30 16:09:56.014959	0 days 00:00:14.761233000	0.45	8.305463770794244e-05		8	1	COMPLETE
30	1.584163441802114	2020-06-30 16:09:56.015449	2020-06-30 16:10:07.758610	0 days 00:00:11.743161000	0.30000000000000004	0.0003374941880026065	pyramid_2	9	2	COMPLETE
31	1.5865339964563536	2020-06-30 16:10:07.759103	2020-06-30 16:10:21.972781	0 days 00:00:14.213678000	0.5	0.0011108915501949264	pyramid_2	7	2	COMPLETE
32	1.583041993410309	2020-06-30 16:10:21.973276	2020-06-30 16:10:34.686718	0 days 00:00:12.713442000	0.45	0.0008380223788661966	pyramid_2	8	2	COMPLETE
33	1.5912628640873256	2020-06-30 16:10:34.687242	2020-06-30 16:11:06.028856	0 days 00:00:31.341614000	0.4	2.108721424504834e-05	pyramid_2	8	2	COMPLETE
34	1.6976885284231915	2020-06-30 16:11:06.029396	2020-06-30 16:11:16.160189	0 days 00:00:10.130793000	0.15000000000000002	0.003766784844646081	pyramid_2	10	2	COMPLETE
35	1.5911835326503065	2020-06-30 16:11:16.160688	2020-06-30 16:11:36.114104	0 days 00:00:19.953416000	0.5	0.0001359591959935689	pyramid_2	6	2	COMPLETE
36	1.5814785742654884	2020-06-30 16:11:36.114611	2020-06-30 16:11:50.072893	0 days 00:00:13.958282000	0.45	0.00033799737092452697	pyramid_2	7	3	COMPLETE
37	1.585418064292149	2020-06-30 16:11:50.073411	2020-06-30 16:12:02.874118	0 days 00:00:12.800707000	0.35000000000000003	0.0003537386293417782	pyramid_2	8	3	COMPLETE
38	1.5853746885369422	2020-06-30 16:12:02.874622	2020-06-30 16:12:31.799904	0 days 00:00:28.925282000	0.45	6.037189932774463e-05	pyramid_2	7	3	COMPLETE
39	1.586410851090876	2020-06-30 16:12:31.800444	2020-06-30 16:13:01.583113	0 days 00:00:29.782669000	0.4	2.6875188639122216e-05	pyramid_4	9	3	COMPLETE
40	1.5807550262480043	2020-06-30 16:13:01.583627	2020-06-30 16:13:15.665722	0 days 00:00:14.082095000	0.25	0.0005203264212291075	pyramid_2	6	3	COMPLETE
41	1.5874790869078126	2020-06-30 16:13:15.666223	2020-06-30 16:13:29.691967	0 days 00:00:14.025744000	0.2	0.0005224728034847097	pyramid_2	5	3	COMPLETE
42	1.584274731014612	2020-06-30 16:13:29.692476	2020-06-30 16:13:46.975191	0 days 00:00:17.282715000	0.25	0.00028199978360398726	pyramid_2	6	3	COMPLETE
43	1.5878808068621437	2020-06-30 16:13:46.975718	2020-06-30 16:14:05.109900	0 days 00:00:18.134182000	0.15000000000000002	0.00014403563158870585	pyramid_2	6	3	COMPLETE
44	1.5897211192333411	2020-06-30 16:14:05.110420	2020-06-30 16:14:16.744026	0 days 00:00:11.633606000	0.30000000000000004	0.0005523036508222583	flat	7	3	COMPLETE
45	1.5878427622148301	2020-06-30 16:14:16.744543	2020-06-30 16:14:30.809460	0 days 00:00:14.064917000	0.45	0.001321736449699573	pyramid_2	6	3	COMPLETE
46	1.5867025301169724	2020-06-30 16:14:30.809968	2020-06-30 16:14:45.095824	0 days 00:00:14.285856000	0.1	0.0008140656218253702	pyramid_2	5	3	COMPLETE
47	1.592203027637224	2020-06-30 16:14:45.096347	2020-06-30 16:14:56.273103	0 days 00:00:11.176756000	0.0	0.0023202120261135058	pyramid_4	7	3	COMPLETE
48	1.607727266471184	2020-06-30 16:14:56.273604	2020-06-30 16:15:07.451310	0 days 00:00:11.177706000	0.35000000000000003	0.00039724678251151324		8	1	COMPLETE
49	1.5853382912851866	2020-06-30 16:15:07.451823	2020-06-30 16:15:22.833773	0 days 00:00:15.381950000	0.45	0.0001604754180408516	flat	7	2	COMPLETE
50	1.5828273717360237	2020-06-30 16:15:22.834282	2020-06-30 16:15:40.208118	0 days 00:00:17.373836000	0.4	9.236840945822435e-05	pyramid_2	8	3	COMPLETE
51	1.5848018789113587	2020-06-30 16:15:40.208637	2020-06-30 16:15:53.962489	0 days 00:00:13.753852000	0.5	0.0005053558323148408	pyramid_2	7	2	COMPLETE
52	1.5865342138446334	2020-06-30 16:15:53.963007	2020-06-30 16:16:08.542259	0 days 00:00:14.579252000	0.5	0.0006622509118596868	pyramid_2	6	2	COMPLETE
53	1.5856800681197045	2020-06-30 16:16:08.542774	2020-06-30 16:16:22.416834	0 days 00:00:13.874060000	0.45	0.0002578213573401585	pyramid_2	7	2	COMPLETE
54	1.589791851944886	2020-06-30 16:16:22.417362	2020-06-30 16:16:33.564529	0 days 00:00:11.147167000	0.5	0.0015284780353110724	pyramid_2	8	2	COMPLETE
55	1.5791326150570948	2020-06-30 16:16:33.565059	2020-06-30 16:16:47.306708	0 days 00:00:13.741649000	0.45	0.0009254974053038593	pyramid_2	7	2	COMPLETE
56	1.5835469982727415	2020-06-30 16:16:47.307263	2020-06-30 16:16:59.871699	0 days 00:00:12.564436000	0.4	0.0009078512555146703	pyramid_2	7	2	COMPLETE
57	1.5902639411647317	2020-06-30 16:16:59.872215	2020-06-30 16:17:16.774577	0 days 00:00:16.902362000	0.30000000000000004	0.00017231950826451182	pyramid_2	6	2	COMPLETE
58	1.584799054562067	2020-06-30 16:17:16.775108	2020-06-30 16:17:28.402212	0 days 00:00:11.627104000	0.45	0.0004049822458368521	pyramid_2	9	2	COMPLETE
59	1.5931465233418491	2020-06-30 16:17:28.402719	2020-06-30 16:17:39.072411	0 days 00:00:10.669692000	0.2	0.006579133361446864	flat	8	2	COMPLETE
60	1.6052744184646126	2020-06-30 16:17:39.072934	2020-06-30 16:17:49.504402	0 days 00:00:10.431468000	0.45	0.01372083120800498		7	1	COMPLETE
61	1.587037250324126	2020-06-30 16:17:49.504904	2020-06-30 16:18:02.073232	0 days 00:00:12.568328000	0.5	0.0018193196206753878	pyramid_2	7	2	COMPLETE
