number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	1.6670384770393987	2020-06-30 16:10:01.452176	2020-06-30 16:10:12.727821	0 days 00:00:11.275645000	0.35000000000000003	0.00035449696847834075	flat	7	3	COMPLETE
1	1.66343964109506	2020-06-30 16:10:12.728359	2020-06-30 16:10:57.983203	0 days 00:00:45.254844000	0.30000000000000004	1.6234680123183985e-05		6	1	COMPLETE
2	1.6553900583454029	2020-06-30 16:10:57.983655	2020-06-30 16:11:14.211261	0 days 00:00:16.227606000	0.0	3.548912762016151e-05	pyramid_4	9	2	COMPLETE
3	1.6656565844139437	2020-06-30 16:11:14.211952	2020-06-30 16:11:25.509345	0 days 00:00:11.297393000	0.45	0.0005956854373706567		8	1	COMPLETE
4	1.6652608541237157	2020-06-30 16:11:25.509830	2020-06-30 16:12:18.806852	0 days 00:00:53.297022000	0.05	2.3421123990562387e-05		4	1	COMPLETE
5	3.3298258186100615	2020-06-30 16:12:18.807357	2020-06-30 16:21:11.368368	0 days 00:08:52.561011000	0.0	0.059247456553036565		6	1	COMPLETE
6	1.7857591219017783	2020-06-30 16:21:11.368856	2020-06-30 16:21:24.622810	0 days 00:00:13.253954000	0.4	0.09628541236523219	flat	4	2	COMPLETE
7	1.6724544318823136	2020-06-30 16:21:24.623301	2020-06-30 16:21:34.253237	0 days 00:00:09.629936000	0.05	0.004097169981451999	flat	7	3	COMPLETE
8	1.6500401157262106	2020-06-30 16:21:34.253741	2020-06-30 16:21:50.624182	0 days 00:00:16.370441000	0.1	0.00022122322465589658	pyramid_4	5	2	COMPLETE
9	1.6760659157642184	2020-06-30 16:21:50.624698	2020-06-30 16:21:59.083374	0 days 00:00:08.458676000	0.5	0.0063053433223236605	pyramid_4	8	3	COMPLETE
10	1.652553765375933	2020-06-30 16:21:59.083867	2020-06-30 16:22:16.074075	0 days 00:00:16.990208000	0.2	0.00015819133958270033	pyramid_2	5	2	COMPLETE
11	1.653891432398444	2020-06-30 16:22:16.074571	2020-06-30 16:22:35.213515	0 days 00:00:19.138944000	0.2	0.00013277160800113225	pyramid_2	5	2	COMPLETE
12	1.6531470486900943	2020-06-30 16:22:35.214017	2020-06-30 16:22:56.350577	0 days 00:00:21.136560000	0.2	0.00011856859703936556	pyramid_2	5	2	COMPLETE
13	1.6632021478076338	2020-06-30 16:22:56.351112	2020-06-30 16:23:05.693438	0 days 00:00:09.342326000	0.15000000000000002	0.0034141373122636444	pyramid_2	5	2	COMPLETE
14	1.6544386904920443	2020-06-30 16:23:05.693938	2020-06-30 16:23:38.932909	0 days 00:00:33.238971000	0.1	0.0001242825243379794	pyramid_4	4	2	COMPLETE
15	1.6644659349031519	2020-06-30 16:23:38.933384	2020-06-30 16:23:47.257662	0 days 00:00:08.324278000	0.25	0.001480040712422266	pyramid_2	6	3	COMPLETE
