number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	0.9851878651401453	2020-06-30 16:27:17.962838	2020-06-30 16:27:31.163701	0 days 00:00:13.200863000	0.4	0.0002820839081548937	pyramid_4	8	2	COMPLETE
1	0.9863710905376234	2020-06-30 16:27:31.164217	2020-06-30 16:27:42.731254	0 days 00:00:11.567037000	0.2	0.004821590309347136	pyramid_4	7	3	COMPLETE
2	0.9884488066734626	2020-06-30 16:27:42.731757	2020-06-30 16:27:56.124738	0 days 00:00:13.392981000	0.15000000000000002	0.009665544922330675	pyramid_4	4	3	COMPLETE
3	0.9989982459977357	2020-06-30 16:27:56.130701	2020-06-30 16:28:04.799825	0 days 00:00:08.669124000	0.1	0.00016502619110637208		6	1	COMPLETE
4	0.9903203060752467	2020-06-30 16:28:04.800367	2020-06-30 16:28:13.868433	0 days 00:00:09.068066000	0.1	0.0002410236128734566	pyramid_2	6	2	COMPLETE
5	0.9927872384500782	2020-06-30 16:28:13.868947	2020-06-30 16:28:25.389874	0 days 00:00:11.520927000	0.45	2.0524538437110567e-05		7	1	COMPLETE
6	0.994133040221811	2020-06-30 16:28:25.390376	2020-06-30 16:28:37.238370	0 days 00:00:11.847994000	0.2	6.825210489743169e-05	flat	6	2	COMPLETE
7	0.9868921034517344	2020-06-30 16:28:37.238885	2020-06-30 16:28:52.381076	0 days 00:00:15.142191000	0.15000000000000002	1.1355423484075791e-05	pyramid_2	10	2	COMPLETE
8	1.0001549246715524	2020-06-30 16:28:52.381570	2020-06-30 16:29:01.606029	0 days 00:00:09.224459000	0.45	0.0007510248913670552	flat	4	3	COMPLETE
9	0.9863605945431001	2020-06-30 16:29:01.606525	2020-06-30 16:29:13.630087	0 days 00:00:12.023562000	0.30000000000000004	3.51609442761589e-05	pyramid_2	7	2	COMPLETE
10	inf	2020-06-30 16:29:13.630634	2020-06-30 16:29:14.050093	0 days 00:00:00.419459000	0.35000000000000003	0.0840557322141379		10	1	COMPLETE
11	0.9868147554453354	2020-06-30 16:29:14.050822	2020-06-30 16:29:24.856335	0 days 00:00:10.805513000	0.35000000000000003	6.253714291416065e-05	pyramid_4	8	2	COMPLETE
12	0.9884835516500194	2020-06-30 16:29:24.856861	2020-06-30 16:29:34.571092	0 days 00:00:09.714231000	0.35000000000000003	0.0010212385087695296	pyramid_2	9	2	COMPLETE
13	0.9869785308837891	2020-06-30 16:29:34.571601	2020-06-30 16:29:46.536906	0 days 00:00:11.965305000	0.30000000000000004	4.032869055347847e-05	pyramid_2	8	2	COMPLETE
14	0.9847330238386901	2020-06-30 16:29:46.537429	2020-06-30 16:29:59.333490	0 days 00:00:12.796061000	0.5	0.0006718537711747643	pyramid_4	8	3	COMPLETE
15	0.985967307062874	2020-06-30 16:29:59.334007	2020-06-30 16:30:09.445652	0 days 00:00:10.111645000	0.5	0.0016340078565568628	pyramid_4	9	3	COMPLETE
16	0.9937049743027715	2020-06-30 16:30:09.446154	2020-06-30 16:30:17.900152	0 days 00:00:08.453998000	0.5	0.005198754255167963	pyramid_4	8	3	COMPLETE
17	0.987003783733524	2020-06-30 16:30:17.900661	2020-06-30 16:30:26.493970	0 days 00:00:08.593309000	0.0	0.00030754263334410026	pyramid_4	9	3	COMPLETE
