number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	0.9847779006416717	2020-06-30 18:37:24.333430	2020-06-30 18:37:48.377822	0 days 00:00:24.044392000	0.2	0.0003995962670989935		4	1	COMPLETE
1	0.9847368131219478	2020-06-30 18:37:48.378324	2020-06-30 18:38:02.448290	0 days 00:00:14.069966000	0.25	3.603791761313269e-05	flat	9	3	COMPLETE
2	0.9835694180450538	2020-06-30 18:38:02.448831	2020-06-30 18:38:22.582344	0 days 00:00:20.133513000	0.45	0.00030857308190427967	pyramid_4	4	2	COMPLETE
3	0.9865862070377286	2020-06-30 18:38:22.582848	2020-06-30 18:38:35.269019	0 days 00:00:12.686171000	0.05	0.00012685335908941092		6	1	COMPLETE
4	inf	2020-06-30 18:38:35.269574	2020-06-30 18:38:35.672980	0 days 00:00:00.403406000	0.45	0.05010123707751034	pyramid_4	10	2	COMPLETE
5	0.9884231104824847	2020-06-30 18:38:35.673585	2020-06-30 18:38:44.952949	0 days 00:00:09.279364000	0.15000000000000002	0.0001325073053177052	pyramid_2	10	2	COMPLETE
6	inf	2020-06-30 18:38:44.953447	2020-06-30 18:38:45.378216	0 days 00:00:00.424769000	0.05	0.04815527014419529		6	1	COMPLETE
7	0.9821043043524113	2020-06-30 18:38:45.378785	2020-06-30 18:38:57.781276	0 days 00:00:12.402491000	0.30000000000000004	0.0003364476706006333	pyramid_4	8	3	COMPLETE
8	0.9835180895763268	2020-06-30 18:38:57.781892	2020-06-30 18:40:02.853017	0 days 00:01:05.071125000	0.5	2.1921124352195732e-05	pyramid_2	6	3	COMPLETE
9	0.9831747337825659	2020-06-30 18:40:02.853535	2020-06-30 18:40:16.026604	0 days 00:00:13.173069000	0.4	0.0007459081703354219	flat	6	2	COMPLETE
10	0.9856304863592584	2020-06-30 18:40:16.027098	2020-06-30 18:40:30.381633	0 days 00:00:14.354535000	0.30000000000000004	0.005565574799006799	pyramid_4	8	3	COMPLETE
11	0.9859402961558728	2020-06-30 18:40:30.382132	2020-06-30 18:40:43.352963	0 days 00:00:12.970831000	0.35000000000000003	0.0029151605550863627	flat	7	3	COMPLETE
12	0.9898067971017518	2020-06-30 18:40:43.353466	2020-06-30 18:40:54.198560	0 days 00:00:10.845094000	0.35000000000000003	0.0019435241069510087	flat	8	2	COMPLETE
13	1.0009952953946346	2020-06-30 18:40:54.199063	2020-06-30 18:41:04.028080	0 days 00:00:09.829017000	0.4	0.011161956959795187	flat	5	3	COMPLETE
