number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	2.0423339084288648	2021-05-23 12:43:52.907815	2021-05-23 13:00:13.084195	0 days 00:16:20.176380000	5	COMPLETE
1	1.9175405616096377	2021-05-23 13:00:13.084781	2021-05-23 13:16:48.604570	0 days 00:16:35.519789000	7	COMPLETE
2	3.3067845729528687	2021-05-23 13:16:48.605119	2021-05-23 13:32:49.586571	0 days 00:16:00.981452000	1	COMPLETE
3		2021-05-23 13:32:49.587140	2021-05-23 13:32:49.587598	0 days 00:00:00.000458000	5	PRUNED
4		2021-05-23 13:32:49.671613	2021-05-23 13:32:49.672197	0 days 00:00:00.000584000	7	PRUNED
5		2021-05-23 13:32:49.756403	2021-05-23 13:32:49.757021	0 days 00:00:00.000618000	5	PRUNED
6	2.2877341896070216	2021-05-23 13:32:49.841049	2021-05-23 13:49:20.965990	0 days 00:16:31.124941000	3	COMPLETE
7		2021-05-23 13:49:20.974825	2021-05-23 13:49:21.061913	0 days 00:00:00.087088000	5	PRUNED
8		2021-05-23 13:49:21.157156	2021-05-23 13:49:21.157895	0 days 00:00:00.000739000	5	PRUNED
9		2021-05-23 13:49:21.239537	2021-05-23 13:49:21.240269	0 days 00:00:00.000732000	3	PRUNED
10	1.8467556331349277	2021-05-23 13:49:21.320946	2021-05-23 14:05:22.436677	0 days 00:16:01.115731000	9	COMPLETE
