number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	2.450496801869811	2021-05-23 02:32:15.746684	2021-05-23 02:46:30.607168	0 days 00:14:14.860484000	3	COMPLETE
1		2021-05-23 02:46:30.607591	2021-05-23 02:46:30.607942	0 days 00:00:00.000351000	3	PRUNED
2	2.2387943776199997	2021-05-23 02:46:30.664423	2021-05-23 03:02:43.854401	0 days 00:16:13.189978000	5	COMPLETE
3	3.367024327129804	2021-05-23 03:02:43.854882	2021-05-23 03:18:45.369764	0 days 00:16:01.514882000	1	COMPLETE
4		2021-05-23 03:18:45.370299	2021-05-23 03:18:45.370750	0 days 00:00:00.000451000	1	PRUNED
5		2021-05-23 03:18:45.428615	2021-05-23 03:18:45.429151	0 days 00:00:00.000536000	5	PRUNED
6		2021-05-23 03:18:45.487043	2021-05-23 03:18:45.487619	0 days 00:00:00.000576000	5	PRUNED
7		2021-05-23 03:18:45.543964	2021-05-23 03:18:45.544564	0 days 00:00:00.000600000	5	PRUNED
8	2.1426529449900866	2021-05-23 03:18:45.600939	2021-05-23 03:35:33.406289	0 days 00:16:47.805350000	7	COMPLETE
9		2021-05-23 03:35:33.438494	2021-05-23 03:35:33.561854	0 days 00:00:00.123360000	1	PRUNED
10	2.1067197013555266	2021-05-23 03:35:33.616142	2021-05-23 03:52:47.112961	0 days 00:17:13.496819000	9	COMPLETE
