number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.2408589169233368	2021-05-23 09:23:12.618765	2021-05-23 09:37:04.153551	0 days 00:13:51.534786000	5	COMPLETE
1	1.2092962492137616	2021-05-23 09:37:04.154100	2021-05-23 09:50:29.309052	0 days 00:13:25.154952000	7	COMPLETE
2		2021-05-23 09:50:29.309650	2021-05-23 09:50:29.310098	0 days 00:00:00.000448000	5	PRUNED
3		2021-05-23 09:50:29.421081	2021-05-23 09:50:29.421685	0 days 00:00:00.000604000	5	PRUNED
4	1.20481515549519	2021-05-23 09:50:29.532695	2021-05-23 10:05:06.278226	0 days 00:14:36.745531000	9	COMPLETE
5		2021-05-23 10:05:06.278920	2021-05-23 10:05:06.279517	0 days 00:00:00.000597000	7	PRUNED
6	1.884061651187204	2021-05-23 10:05:06.388321	2021-05-23 10:18:48.262361	0 days 00:13:41.874040000	1	COMPLETE
7		2021-05-23 10:18:48.263153	2021-05-23 10:18:48.263808	0 days 00:00:00.000655000	7	PRUNED
8		2021-05-23 10:18:48.369806	2021-05-23 10:18:48.370589	0 days 00:00:00.000783000	7	PRUNED
9		2021-05-23 10:18:48.476487	2021-05-23 10:18:48.477396	0 days 00:00:00.000909000	5	PRUNED
10		2021-05-23 10:18:48.583055	2021-05-23 10:18:48.717453	0 days 00:00:00.134398000	9	PRUNED
11		2021-05-23 10:18:48.824430	2021-05-23 10:18:48.826570	0 days 00:00:00.002140000	9	PRUNED
12		2021-05-23 10:18:48.934360	2021-05-23 10:18:48.936511	0 days 00:00:00.002151000	9	PRUNED
13		2021-05-23 10:18:49.042990	2021-05-23 10:18:49.045186	0 days 00:00:00.002196000	1	PRUNED
14		2021-05-23 10:18:49.151308	2021-05-23 10:18:49.153535	0 days 00:00:00.002227000	7	PRUNED
15	1.3640723620325916	2021-05-23 10:18:49.259788	2021-05-23 10:32:15.689546	0 days 00:13:26.429758000	3	COMPLETE
