number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.2508595387940027	2021-05-23 03:54:45.377965	2021-05-23 04:11:17.579830	0 days 00:16:32.201865000	5	COMPLETE
1		2021-05-23 04:11:17.580303	2021-05-23 04:11:17.619937	0 days 00:00:00.039634000	5	PRUNED
2	1.7646298386539965	2021-05-23 04:11:17.702143	2021-05-23 04:26:57.290588	0 days 00:15:39.588445000	1	COMPLETE
3		2021-05-23 04:26:57.291169	2021-05-23 04:26:57.291605	0 days 00:00:00.000436000	1	PRUNED
4	1.3499800288220236	2021-05-23 04:26:57.374493	2021-05-23 04:42:56.268136	0 days 00:15:58.893643000	3	COMPLETE
5	1.192149076441003	2021-05-23 04:42:56.268750	2021-05-23 04:59:32.351207	0 days 00:16:36.082457000	9	COMPLETE
6		2021-05-23 04:59:32.403196	2021-05-23 04:59:32.456230	0 days 00:00:00.053034000	3	PRUNED
7		2021-05-23 04:59:32.510534	2021-05-23 04:59:32.511121	0 days 00:00:00.000587000	9	PRUNED
8		2021-05-23 04:59:32.562034	2021-05-23 04:59:32.562662	0 days 00:00:00.000628000	3	PRUNED
9		2021-05-23 04:59:32.626269	2021-05-23 04:59:32.626957	0 days 00:00:00.000688000	1	PRUNED
10		2021-05-23 04:59:32.677122	2021-05-23 04:59:33.370889	0 days 00:00:00.693767000	9	PRUNED
11	1.2113310878284616	2021-05-23 04:59:33.432728	2021-05-23 05:16:50.700073	0 days 00:17:17.267345000	7	COMPLETE
