number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.08204539762064265	2021-05-24 02:15:14.368341	2021-05-24 02:27:29.916625	0 days 00:12:15.548284000	3	COMPLETE
1	0.09055385724685451	2021-05-24 02:27:29.917051	2021-05-24 02:39:43.706573	0 days 00:12:13.789522000	7	COMPLETE
2		2021-05-24 02:39:43.707146	2021-05-24 02:39:43.707594	0 days 00:00:00.000448000	7	PRUNED
3	0.06353631550370542	2021-05-24 02:39:43.805436	2021-05-24 02:52:00.955874	0 days 00:12:17.150438000	1	COMPLETE
4		2021-05-24 02:52:00.956507	2021-05-24 02:52:00.957069	0 days 00:00:00.000562000	7	PRUNED
5		2021-05-24 02:52:01.046848	2021-05-24 02:52:01.047494	0 days 00:00:00.000646000	1	PRUNED
6		2021-05-24 02:52:01.137054	2021-05-24 02:52:01.137731	0 days 00:00:00.000677000	7	PRUNED
7		2021-05-24 02:52:01.226687	2021-05-24 02:52:01.227397	0 days 00:00:00.000710000	3	PRUNED
8		2021-05-24 02:52:01.316151	2021-05-24 02:52:01.316889	0 days 00:00:00.000738000	3	PRUNED
9		2021-05-24 02:52:01.405888	2021-05-24 02:52:01.406672	0 days 00:00:00.000784000	7	PRUNED
10	0.0923776165427753	2021-05-24 02:52:01.495655	2021-05-24 03:04:01.121038	0 days 00:11:59.625383000	9	COMPLETE
11		2021-05-24 03:04:01.121939	2021-05-24 03:04:01.124214	0 days 00:00:00.002275000	9	PRUNED
12		2021-05-24 03:04:01.219580	2021-05-24 03:04:01.221690	0 days 00:00:00.002110000	9	PRUNED
13		2021-05-24 03:04:01.316871	2021-05-24 03:04:01.319039	0 days 00:00:00.002168000	9	PRUNED
14	0.08484735500563638	2021-05-24 03:04:01.414706	2021-05-24 03:16:24.976748	0 days 00:12:23.562042000	5	COMPLETE
