number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.10655393065792083	2021-05-24 06:09:41.295842	2021-05-24 06:25:06.042426	0 days 00:15:24.746584000	5	COMPLETE
1		2021-05-24 06:25:06.042920	2021-05-24 06:25:06.043335	0 days 00:00:00.000415000	5	PRUNED
2	0.04709204344212691	2021-05-24 06:25:06.134278	2021-05-24 06:40:22.769000	0 days 00:15:16.634722000	1	COMPLETE
3	0.11309173740968705	2021-05-24 06:40:22.769579	2021-05-24 06:55:50.678323	0 days 00:15:27.908744000	9	COMPLETE
4		2021-05-24 06:55:50.679112	2021-05-24 06:55:50.679643	0 days 00:00:00.000531000	5	PRUNED
5		2021-05-24 06:55:50.769465	2021-05-24 06:55:50.770138	0 days 00:00:00.000673000	1	PRUNED
6		2021-05-24 06:55:50.859382	2021-05-24 06:55:50.860068	0 days 00:00:00.000686000	5	PRUNED
7		2021-05-24 06:55:50.948347	2021-05-24 06:55:50.949077	0 days 00:00:00.000730000	9	PRUNED
8	0.09408134394791882	2021-05-24 06:55:51.037203	2021-05-24 07:11:12.221578	0 days 00:15:21.184375000	3	COMPLETE
9		2021-05-24 07:11:12.222380	2021-05-24 07:11:12.223069	0 days 00:00:00.000689000	1	PRUNED
10		2021-05-24 07:11:12.312076	2021-05-24 07:11:12.314462	0 days 00:00:00.002386000	9	PRUNED
11	0.10834806948985701	2021-05-24 07:11:12.402583	2021-05-24 07:26:33.164272	0 days 00:15:20.761689000	7	COMPLETE
