number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	1.3642711564040195	2020-06-30 17:23:46.938106	2020-06-30 17:24:13.774849	0 days 00:00:26.836743000	0.15000000000000002	0.00023941989929107365	flat	4	2	COMPLETE
1	1.379679257247834	2020-06-30 17:24:13.775390	2020-06-30 17:24:33.326172	0 days 00:00:19.550782000	0.1	4.564336504779089e-05		10	1	COMPLETE
2	1.3627369029539589	2020-06-30 17:24:33.326661	2020-06-30 17:24:52.376531	0 days 00:00:19.049870000	0.5	0.0006539008767657778	pyramid_2	4	2	COMPLETE
3	1.3616748983682618	2020-06-30 17:24:52.377025	2020-06-30 17:25:08.062911	0 days 00:00:15.685886000	0.4	0.0005142083704088901	pyramid_4	8	2	COMPLETE
4	1.40255320021091	2020-06-30 17:25:08.063404	2020-06-30 17:25:23.502289	0 days 00:00:15.438885000	0.0	0.07748004247250873	pyramid_4	8	2	COMPLETE
5	1.409705255935026	2020-06-30 17:25:23.502809	2020-06-30 17:26:18.510875	0 days 00:00:55.008066000	0.15000000000000002	7.036805690116965e-05	pyramid_4	4	2	COMPLETE
6	1.3872437970428237	2020-06-30 17:26:18.511374	2020-06-30 17:26:33.157913	0 days 00:00:14.646539000	0.05	0.013254010997996689		10	1	COMPLETE
7	1.3649157907775848	2020-06-30 17:26:33.158412	2020-06-30 17:26:48.054553	0 days 00:00:14.896141000	0.2	0.0043368255909655	pyramid_2	7	3	COMPLETE
8	1.3945417033192364	2020-06-30 17:26:48.055069	2020-06-30 17:27:06.717858	0 days 00:00:18.662789000	0.05	0.00015164453567965391		7	1	COMPLETE
9	1.3734393916177037	2020-06-30 17:27:06.718335	2020-06-30 17:27:21.418935	0 days 00:00:14.700600000	0.30000000000000004	0.011263532967034065	pyramid_4	9	3	COMPLETE
10	1.362225833298189	2020-06-30 17:27:21.419421	2020-06-30 17:28:37.465903	0 days 00:01:16.046482000	0.4	1.66945664037144e-05	flat	6	3	COMPLETE
11	1.362732201932408	2020-06-30 17:28:37.466405	2020-06-30 17:29:53.824276	0 days 00:01:16.357871000	0.4	1.3965792825896904e-05	flat	6	3	COMPLETE
12	1.3630406792981575	2020-06-30 17:29:53.824780	2020-06-30 17:31:36.519649	0 days 00:01:42.694869000	0.5	1.0515591557759371e-05	flat	6	3	COMPLETE
13	1.3621315700037	2020-06-30 17:31:36.520156	2020-06-30 17:31:51.472795	0 days 00:00:14.952639000	0.35000000000000003	0.0015936812302800606	flat	6	3	COMPLETE
14	1.362000335416529	2020-06-30 17:31:51.473281	2020-06-30 17:32:06.359198	0 days 00:00:14.885917000	0.35000000000000003	0.0016279055094859862	pyramid_4	8	2	COMPLETE
15	1.3630876674351704	2020-06-30 17:32:06.359720	2020-06-30 17:32:21.167642	0 days 00:00:14.807922000	0.45	0.0008909659008460817	pyramid_4	8	2	COMPLETE
16	1.3728489124010015	2020-06-30 17:32:21.168136	2020-06-30 17:32:35.741290	0 days 00:00:14.573154000	0.30000000000000004	0.003194160369508534	pyramid_4	9	2	COMPLETE
17	1.406138182601916	2020-06-30 17:32:35.741804	2020-06-30 17:32:51.336234	0 days 00:00:15.594430000	0.25	0.00035957330433597463		8	1	COMPLETE
18	1.3799324398665975	2020-06-30 17:32:51.336738	2020-06-30 17:33:06.311963	0 days 00:00:14.975225000	0.4	0.057620449557150843	pyramid_4	9	2	COMPLETE
19	1.363269380260253	2020-06-30 17:33:06.312478	2020-06-30 17:33:21.252131	0 days 00:00:14.939653000	0.30000000000000004	0.0018046775120998239	pyramid_4	8	2	COMPLETE
20	1.3875472252261056	2020-06-30 17:33:21.252660	2020-06-30 17:33:35.810601	0 days 00:00:14.557941000	0.45	0.010743520439976048		7	1	COMPLETE
21	1.3661720810433289	2020-06-30 17:33:35.811085	2020-06-30 17:33:50.809917	0 days 00:00:14.998832000	0.35000000000000003	0.0019129793567554542	flat	5	3	COMPLETE
22	1.3617901243466395	2020-06-30 17:33:50.810405	2020-06-30 17:34:09.786926	0 days 00:00:18.976521000	0.35000000000000003	0.0005345973184528105	pyramid_4	5	2	COMPLETE
23	1.3608934367543581	2020-06-30 17:34:09.787417	2020-06-30 17:34:28.118243	0 days 00:00:18.330826000	0.35000000000000003	0.0004660059290979986	pyramid_4	5	2	COMPLETE
24	1.361671280891418	2020-06-30 17:34:28.118736	2020-06-30 17:34:46.774405	0 days 00:00:18.655669000	0.25	0.0004570722388243098	pyramid_4	5	2	COMPLETE
25	1.3631452940111268	2020-06-30 17:34:46.774894	2020-06-30 17:35:19.112757	0 days 00:00:32.337863000	0.25	9.24701233590199e-05	pyramid_4	5	2	COMPLETE
26	1.3648589828043696	2020-06-30 17:35:19.113250	2020-06-30 17:35:37.488634	0 days 00:00:18.375384000	0.2	0.0002431075622987744	pyramid_4	5	2	COMPLETE
27	1.3654526566097775	2020-06-30 17:35:37.489137	2020-06-30 17:35:55.926486	0 days 00:00:18.437349000	0.45	0.00040099950417657893	pyramid_2	5	2	COMPLETE
28	1.4096077521964911	2020-06-30 17:35:55.926978	2020-06-30 17:36:20.556022	0 days 00:00:24.629044000	0.2	0.0001187736425394758		4	1	COMPLETE
