number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	1.155594579263798	2020-07-06 16:29:08.281215	2020-07-06 16:29:23.467938	0 days 00:00:15.186723000	0.30000000000000004	0.004712428374153291	pyramid_4	5	3	COMPLETE
1	2.7470965306791615	2020-07-06 16:29:23.468448	2020-07-06 16:29:35.918950	0 days 00:00:12.450502000	0.5	0.08420096752647548		7	1	COMPLETE
2	2.747101839551132	2020-07-06 16:29:35.919435	2020-07-06 16:34:57.000917	0 days 00:05:21.081482000	0.05	0.0743360643067884	flat	9	2	COMPLETE
3	1.1531842220415007	2020-07-06 16:34:57.001408	2020-07-06 16:35:11.436123	0 days 00:00:14.434715000	0.35000000000000003	0.00021676580410332817	pyramid_4	10	3	COMPLETE
4	1.1557577877102674	2020-07-06 16:35:11.436611	2020-07-06 16:35:24.474179	0 days 00:00:13.037568000	0.2	0.001609678172324675	flat	4	3	COMPLETE
5	1.1524768992084562	2020-07-06 16:35:24.474694	2020-07-06 16:40:14.886151	0 days 00:04:50.411457000	0.45	1.0246492435130184e-05	pyramid_2	4	2	COMPLETE
6	1.1556870571141045	2020-07-06 16:40:14.886636	2020-07-06 16:40:27.041218	0 days 00:00:12.154582000	0.35000000000000003	0.002302519863004957	flat	8	3	COMPLETE
7	1.1534980528587286	2020-07-06 16:40:27.041702	2020-07-06 16:40:39.983145	0 days 00:00:12.941443000	0.25	0.0018663622041203026	pyramid_4	5	2	COMPLETE
8	1.1581072278762208	2020-07-06 16:40:39.983634	2020-07-06 16:41:43.064552	0 days 00:01:03.080918000	0.35000000000000003	3.393046288197872e-05	pyramid_4	5	3	COMPLETE
9	1.1516284076209486	2020-07-06 16:41:43.065069	2020-07-06 16:42:46.485997	0 days 00:01:03.420928000	0.05	0.00021681684681659918	pyramid_4	4	3	COMPLETE
10	1.1645525190057617	2020-07-06 16:42:46.486500	2020-07-06 16:43:05.905223	0 days 00:00:19.418723000	0.0	0.00015936288001805885		6	1	COMPLETE
11	1.1524492975732517	2020-07-06 16:43:05.905717	2020-07-06 16:47:52.374285	0 days 00:04:46.468568000	0.5	1.0179037388403715e-05	pyramid_2	4	2	COMPLETE
12	1.1610355431677877	2020-07-06 16:47:52.374783	2020-07-06 16:50:59.949520	0 days 00:03:07.574737000	0.1	1.0606751944549574e-05	pyramid_2	4	2	COMPLETE
13	1.1645075341891356	2020-07-06 16:50:59.950026	2020-07-06 16:51:19.515798	0 days 00:00:19.565772000	0.15000000000000002	8.658049822996335e-05		6	1	COMPLETE
