number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	0.9719833450755854	2020-06-30 16:51:02.776563	2020-06-30 16:51:20.449970	0 days 00:00:17.673407000	0.15000000000000002	0.002006975916616059		8	1	COMPLETE
1	0.9760306347375629	2020-06-30 16:51:20.450434	2020-06-30 16:51:35.929304	0 days 00:00:15.478870000	0.0	0.022200358707325056	pyramid_4	4	3	COMPLETE
2	0.9726036828139732	2020-06-30 16:51:35.929765	2020-06-30 16:51:50.754657	0 days 00:00:14.824892000	0.30000000000000004	0.011951272021456483		4	1	COMPLETE
3	0.9730672489180876	2020-06-30 16:51:50.755102	2020-06-30 16:52:06.617997	0 days 00:00:15.862895000	0.45	0.02457170999488025	pyramid_4	5	2	COMPLETE
4	0.966999028377606	2020-06-30 16:52:06.618452	2020-06-30 16:52:22.744163	0 days 00:00:16.125711000	0.15000000000000002	0.0013871592482567455	pyramid_4	6	3	COMPLETE
5	0.9746287956091636	2020-06-30 16:52:22.744675	2020-06-30 16:52:38.252298	0 days 00:00:15.507623000	0.4	0.0050738291722551105		4	1	COMPLETE
6	0.9788100582429733	2020-06-30 16:52:38.252791	2020-06-30 16:52:53.460112	0 days 00:00:15.207321000	0.35000000000000003	0.0016809593334246487	flat	10	2	COMPLETE
7	0.9714134278425312	2020-06-30 16:52:53.460594	2020-06-30 16:53:09.103591	0 days 00:00:15.642997000	0.05	0.031162264975174266	pyramid_2	9	2	COMPLETE
8	0.9683435922381521	2020-06-30 16:53:09.104115	2020-06-30 16:53:30.018460	0 days 00:00:20.914345000	0.45	0.00012496059656247156	flat	6	2	COMPLETE
9	0.9843912179442658	2020-06-30 16:53:30.018947	2020-06-30 16:53:45.683845	0 days 00:00:15.664898000	0.45	0.014804174762119177	pyramid_4	4	3	COMPLETE
10	0.9681111058056127	2020-06-30 16:53:45.684330	2020-06-30 16:54:02.097519	0 days 00:00:16.413189000	0.2	0.00016204952711269956	pyramid_2	7	3	COMPLETE
11	0.9686727724769563	2020-06-30 16:54:02.098009	2020-06-30 16:54:19.554485	0 days 00:00:17.456476000	0.2	0.00012220457630555124	pyramid_2	7	3	COMPLETE
12	0.969707671709901	2020-06-30 16:54:19.555003	2020-06-30 16:54:51.291517	0 days 00:00:31.736514000	0.1	2.1295675497521002e-05	pyramid_2	7	3	COMPLETE
13	0.9672862706969981	2020-06-30 16:54:51.292007	2020-06-30 16:55:09.574075	0 days 00:00:18.282068000	0.25	0.00024709289761754103	pyramid_4	6	3	COMPLETE
14	0.9684533926718993	2020-06-30 16:55:09.574613	2020-06-30 16:55:25.813046	0 days 00:00:16.238433000	0.25	0.0004459880893400683	pyramid_4	6	3	COMPLETE
15	0.9682188435989322	2020-06-30 16:55:25.813535	2020-06-30 16:56:28.286880	0 days 00:01:02.473345000	0.1	1.7870403716546264e-05	pyramid_4	6	3	COMPLETE
16	0.9849549436021126	2020-06-30 16:56:28.287369	2020-06-30 16:56:43.585200	0 days 00:00:15.297831000	0.30000000000000004	0.00045514724472686186	pyramid_4	5	2	COMPLETE
17	0.9693655711937681	2020-06-30 16:56:43.585685	2020-06-30 16:57:09.286147	0 days 00:00:25.700462000	0.2	4.067711695305964e-05	pyramid_4	8	3	COMPLETE
18	0.9754889659954671	2020-06-30 16:57:09.286639	2020-06-30 16:57:24.589637	0 days 00:00:15.302998000	0.0	0.0007712614730570773	pyramid_4	5	3	COMPLETE
19	0.9739981209181278	2020-06-30 16:57:24.590122	2020-06-30 16:57:38.858146	0 days 00:00:14.268024000	0.25	0.004716210783508626	flat	6	2	COMPLETE
20	0.9686538506284984	2020-06-30 16:57:38.858639	2020-06-30 16:57:54.671064	0 days 00:00:15.812425000	0.15000000000000002	0.000266595597331231	pyramid_4	8	3	COMPLETE
21	0.9685259431714756	2020-06-30 16:57:54.671569	2020-06-30 16:58:12.862101	0 days 00:00:18.190532000	0.2	0.00011072997236156708	pyramid_2	7	3	COMPLETE
22	0.9796298034346423	2020-06-30 16:58:12.862608	2020-06-30 16:58:41.088531	0 days 00:00:28.225923000	0.15000000000000002	4.1034672675035784e-05	pyramid_2	6	3	COMPLETE
23	0.9679304959673535	2020-06-30 16:58:41.089055	2020-06-30 16:58:57.599915	0 days 00:00:16.510860000	0.30000000000000004	0.0002793983150546593	pyramid_2	7	3	COMPLETE
24	0.9719836355625898	2020-06-30 16:58:57.600424	2020-06-30 16:59:14.729862	0 days 00:00:17.129438000	0.35000000000000003	0.0014426886157647848	pyramid_4	5	3	COMPLETE
25	0.9698139424525002	2020-06-30 16:59:14.730367	2020-06-30 16:59:30.454585	0 days 00:00:15.724218000	0.30000000000000004	0.0007197112054574601	pyramid_2	8	3	COMPLETE
26	0.9696143011480456	2020-06-30 16:59:30.455124	2020-06-30 16:59:46.752444	0 days 00:00:16.297320000	0.35000000000000003	0.0038817455891957727	pyramid_4	6	2	COMPLETE
27	0.9676454679262593	2020-06-30 16:59:46.752951	2020-06-30 17:00:03.549675	0 days 00:00:16.796724000	0.25	0.000293363181499386	pyramid_4	9	3	COMPLETE
28	inf	2020-06-30 17:00:03.550187	2020-06-30 17:00:10.391465	0 days 00:00:06.841278000	0.25	0.0878893236717327	pyramid_4	10	3	COMPLETE
29	0.968148816134281	2020-06-30 17:00:10.392048	2020-06-30 17:00:29.366321	0 days 00:00:18.974273000	0.1	5.4989856618321434e-05	pyramid_4	9	2	COMPLETE
30	0.9755515065686456	2020-06-30 17:00:29.366862	2020-06-30 17:00:44.935841	0 days 00:00:15.568979000	0.15000000000000002	0.002719514795875648	pyramid_4	9	3	COMPLETE
31	0.9683018077835726	2020-06-30 17:00:44.936351	2020-06-30 17:01:01.640812	0 days 00:00:16.704461000	0.30000000000000004	0.00026647172271335965	pyramid_4	8	3	COMPLETE
32	0.9710902016738365	2020-06-30 17:01:01.641326	2020-06-30 17:01:24.737221	0 days 00:00:23.095895000	0.25	0.0003038414074682115	pyramid_2	5	3	COMPLETE
33	0.9688256234501513	2020-06-30 17:01:24.737732	2020-06-30 17:01:40.243001	0 days 00:00:15.505269000	0.30000000000000004	0.0010687482420712509	pyramid_4	7	3	COMPLETE
34	0.9690021390659143	2020-06-30 17:01:40.243494	2020-06-30 17:02:05.337599	0 days 00:00:25.094105000	0.2	7.838727426337864e-05	flat	6	3	COMPLETE
35	0.9751785249088916	2020-06-30 17:02:05.338111	2020-06-30 17:02:22.876162	0 days 00:00:17.538051000	0.4	0.0005425075395384634		5	1	COMPLETE
36	0.9684346608275198	2020-06-30 17:02:22.876666	2020-06-30 17:02:38.792875	0 days 00:00:15.916209000	0.35000000000000003	0.00021254797657810744	pyramid_4	9	3	COMPLETE
37	0.9769752984759451	2020-06-30 17:02:38.793379	2020-06-30 17:02:54.069460	0 days 00:00:15.276081000	0.05	0.002277483308929839	pyramid_4	10	3	COMPLETE
38	0.9769115064335966	2020-06-30 17:02:54.069962	2020-06-30 17:03:08.534584	0 days 00:00:14.464622000	0.30000000000000004	0.0011476383065010174	pyramid_4	8	2	COMPLETE
39	0.9732957306492831	2020-06-30 17:03:08.535096	2020-06-30 17:03:23.890342	0 days 00:00:15.355246000	0.4	0.00824480255280137	flat	4	3	COMPLETE
40	0.9674430916592536	2020-06-30 17:03:23.890825	2020-06-30 17:03:42.154352	0 days 00:00:18.263527000	0.5	0.00036558498745622526	pyramid_2	6	3	COMPLETE
41	0.9675483246872708	2020-06-30 17:03:42.154883	2020-06-30 17:03:59.373643	0 days 00:00:17.218760000	0.5	0.0003743161393966808	pyramid_2	6	3	COMPLETE
42	0.9679031828810886	2020-06-30 17:03:59.374181	2020-06-30 17:04:16.704252	0 days 00:00:17.330071000	0.5	0.0004808963365784672	pyramid_2	6	3	COMPLETE
43	0.9673302931803853	2020-06-30 17:04:16.704772	2020-06-30 17:04:33.128221	0 days 00:00:16.423449000	0.5	0.0008059269000693471	pyramid_2	6	3	COMPLETE
44	0.9676692239169417	2020-06-30 17:04:33.128712	2020-06-30 17:04:49.693829	0 days 00:00:16.565117000	0.5	0.0007994662769439204	pyramid_2	6	3	COMPLETE
45	0.9689325464182886	2020-06-30 17:04:49.694347	2020-06-30 17:05:05.344210	0 days 00:00:15.649863000	0.45	0.0014410120222482197	pyramid_2	6	3	COMPLETE
46	0.976131218146547	2020-06-30 17:05:05.344730	2020-06-30 17:05:25.476380	0 days 00:00:20.131650000	0.5	0.00014015968744054839		5	1	COMPLETE
47	0.9682559126638361	2020-06-30 17:05:25.476867	2020-06-30 17:05:40.965732	0 days 00:00:15.488865000	0.5	0.002432825680580017	pyramid_2	7	3	COMPLETE
48	0.9659145216375475	2020-06-30 17:05:40.966234	2020-06-30 17:05:57.433729	0 days 00:00:16.467495000	0.45	0.000381122540363794	pyramid_2	6	2	COMPLETE
49	0.9747118931620514	2020-06-30 17:05:57.434284	2020-06-30 17:06:14.299919	0 days 00:00:16.865635000	0.45	0.000631266899738504		5	1	COMPLETE
50	0.9656887565992801	2020-06-30 17:06:14.300402	2020-06-30 17:06:32.344922	0 days 00:00:18.044520000	0.4	0.00018853886141361842	pyramid_2	6	2	COMPLETE
51	0.9657989516568823	2020-06-30 17:06:32.345413	2020-06-30 17:06:50.506662	0 days 00:00:18.161249000	0.4	0.0001814658829676075	pyramid_2	6	2	COMPLETE
52	0.9657427506428569	2020-06-30 17:06:50.507151	2020-06-30 17:07:07.772346	0 days 00:00:17.265195000	0.4	0.00017223374255726778	pyramid_2	6	2	COMPLETE
53	0.9680911681661204	2020-06-30 17:07:07.772838	2020-06-30 17:07:23.542930	0 days 00:00:15.770092000	0.4	0.00019948263153272505	pyramid_2	7	2	COMPLETE
54	0.9665211827362178	2020-06-30 17:07:23.543422	2020-06-30 17:07:43.962872	0 days 00:00:20.419450000	0.45	9.253778309387738e-05	pyramid_2	6	2	COMPLETE
55	0.9699215340888363	2020-06-30 17:07:43.963369	2020-06-30 17:08:21.768752	0 days 00:00:37.805383000	0.4	8.252372753174329e-05	pyramid_2	5	2	COMPLETE
56	0.9669284966713624	2020-06-30 17:08:21.769250	2020-06-30 17:09:40.135253	0 days 00:01:18.366003000	0.45	1.1453653820943524e-05	pyramid_2	6	2	COMPLETE
57	0.9674583047742588	2020-06-30 17:09:40.135753	2020-06-30 17:10:22.889238	0 days 00:00:42.753485000	0.45	2.6256813727961387e-05	pyramid_2	6	2	COMPLETE
58	0.9691399230810874	2020-06-30 17:10:22.889742	2020-06-30 17:11:06.790169	0 days 00:00:43.900427000	0.45	1.364433222005349e-05	pyramid_2	7	2	COMPLETE
59	0.9674377733720216	2020-06-30 17:11:06.790668	2020-06-30 17:12:26.083312	0 days 00:01:19.292644000	0.4	1.0066066821689227e-05	pyramid_2	6	2	COMPLETE
60	0.9700013120512396	2020-06-30 17:12:26.083850	2020-06-30 17:13:04.217048	0 days 00:00:38.133198000	0.45	6.470242609636822e-05	pyramid_2	5	2	COMPLETE
61	0.9663411356023445	2020-06-30 17:13:04.217552	2020-06-30 17:13:24.763697	0 days 00:00:20.546145000	0.35000000000000003	9.48821201421702e-05	pyramid_2	6	2	COMPLETE
62	0.9658423822044869	2020-06-30 17:13:24.764211	2020-06-30 17:13:42.286536	0 days 00:00:17.522325000	0.35000000000000003	0.00016298826759645124	pyramid_2	6	2	COMPLETE
63	0.9674380492433278	2020-06-30 17:13:42.287042	2020-06-30 17:14:01.483168	0 days 00:00:19.196126000	0.35000000000000003	0.0001133391251139479	pyramid_2	7	2	COMPLETE
64	0.966607274680302	2020-06-30 17:14:01.483672	2020-06-30 17:14:35.063562	0 days 00:00:33.579890000	0.35000000000000003	3.565430251415493e-05	pyramid_2	6	2	COMPLETE
65	0.9701531545412495	2020-06-30 17:14:35.064096	2020-06-30 17:14:56.863384	0 days 00:00:21.799288000	0.4	0.00015921854311034422	pyramid_2	5	2	COMPLETE
66	0.9657103640823071	2020-06-30 17:14:56.863918	2020-06-30 17:15:15.123911	0 days 00:00:18.259993000	0.4	0.00017321457189783154	pyramid_2	6	2	COMPLETE
67	0.965794475599267	2020-06-30 17:15:15.124418	2020-06-30 17:15:33.197964	0 days 00:00:18.073546000	0.4	0.00018102236376217387	pyramid_2	6	2	COMPLETE
68	0.968007628488358	2020-06-30 17:15:33.198481	2020-06-30 17:15:49.466363	0 days 00:00:16.267882000	0.4	0.00018794878820780288	pyramid_2	7	2	COMPLETE
69	0.9663053070448367	2020-06-30 17:15:49.466868	2020-06-30 17:16:15.958728	0 days 00:00:26.491860000	0.4	5.759020361170051e-05	pyramid_2	6	2	COMPLETE
70	0.9703340420777771	2020-06-30 17:16:15.959232	2020-06-30 17:16:38.038151	0 days 00:00:22.078919000	0.35000000000000003	0.00016103097502617093	pyramid_2	5	2	COMPLETE
71	0.9664091369658138	2020-06-30 17:16:38.038658	2020-06-30 17:17:04.384812	0 days 00:00:26.346154000	0.4	5.286388254437214e-05	pyramid_2	6	2	COMPLETE
72	0.9657045506882942	2020-06-30 17:17:04.385329	2020-06-30 17:17:23.756410	0 days 00:00:19.371081000	0.4	0.00013143680962371027	pyramid_2	6	2	COMPLETE
73	0.9662054050927875	2020-06-30 17:17:23.756912	2020-06-30 17:17:43.617801	0 days 00:00:19.860889000	0.4	0.00012548426911507504	pyramid_2	6	2	COMPLETE
74	0.967848370358405	2020-06-30 17:17:43.618293	2020-06-30 17:17:59.216742	0 days 00:00:15.598449000	0.45	0.00022294887826770443	pyramid_2	7	2	COMPLETE
