number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	0.9879023180154681	2020-06-30 18:13:55.431819	2020-06-30 18:14:28.238320	0 days 00:00:32.806501000	0.05	0.0001546192158047456	pyramid_4	4	3	COMPLETE
1	0.9888474884356572	2020-06-30 18:14:28.238845	2020-06-30 18:14:42.355499	0 days 00:00:14.116654000	0.45	0.00010360129000347734		10	1	COMPLETE
2	0.988966617498114	2020-06-30 18:14:42.355990	2020-06-30 18:15:54.497439	0 days 00:01:12.141449000	0.35000000000000003	4.16310794213732e-05		4	1	COMPLETE
3	1.0107634567307138	2020-06-30 18:15:54.497944	2020-06-30 18:16:36.334528	0 days 00:00:41.836584000	0.45	6.843739645296523e-05	pyramid_4	4	3	COMPLETE
4	0.9944106351282479	2020-06-30 18:16:36.335050	2020-06-30 18:16:48.457878	0 days 00:00:12.122828000	0.15000000000000002	0.009092018439501576	pyramid_4	8	2	COMPLETE
5	0.9884474053203175	2020-06-30 18:16:48.458363	2020-06-30 18:17:02.660369	0 days 00:00:14.202006000	0.15000000000000002	0.0006693641685362755		6	1	COMPLETE
6	0.9951139650597041	2020-06-30 18:17:02.660855	2020-06-30 18:17:16.344154	0 days 00:00:13.683299000	0.25	0.017093932783571554	flat	9	3	COMPLETE
7	0.9856835975741874	2020-06-30 18:17:16.344644	2020-06-30 18:17:31.302460	0 days 00:00:14.957816000	0.4	0.0014867878393380824	pyramid_4	4	2	COMPLETE
8	1.0989582339794441	2020-06-30 18:17:31.302965	2020-06-30 18:17:43.573023	0 days 00:00:12.270058000	0.35000000000000003	0.09020663476976898	pyramid_2	8	2	COMPLETE
9	1.0022933145915156	2020-06-30 18:17:43.573516	2020-06-30 18:17:55.603781	0 days 00:00:12.030265000	0.1	0.02568391031708537	flat	6	2	COMPLETE
10	0.987428630539583	2020-06-30 18:17:55.604269	2020-06-30 18:18:08.533757	0 days 00:00:12.929488000	0.5	0.0017860621493270444	pyramid_2	6	2	COMPLETE
11	0.9870364207513188	2020-06-30 18:18:08.534268	2020-06-30 18:18:22.374662	0 days 00:00:13.840394000	0.5	0.0019118067864738392	pyramid_2	6	2	COMPLETE
12	0.9864464217393089	2020-06-30 18:18:22.375154	2020-06-30 18:18:35.251625	0 days 00:00:12.876471000	0.35000000000000003	0.002159042084579818	pyramid_2	5	2	COMPLETE
13	0.9858015175185576	2020-06-30 18:18:35.252114	2020-06-30 18:18:49.821972	0 days 00:00:14.569858000	0.35000000000000003	0.0005371601784102169	pyramid_4	5	2	COMPLETE
14	0.9846758060847232	2020-06-30 18:18:49.822480	2020-06-30 18:19:09.022539	0 days 00:00:19.200059000	0.25	0.0003617704483584436	pyramid_4	5	3	COMPLETE
15	0.9874835245007141	2020-06-30 18:19:09.023055	2020-06-30 18:21:39.135869	0 days 00:02:30.112814000	0.25	1.4691360378595793e-05	pyramid_4	5	3	COMPLETE
16	0.992667964160975	2020-06-30 18:21:39.136378	2020-06-30 18:22:00.704151	0 days 00:00:21.567773000	0.2	0.00031765360526966885	pyramid_4	4	3	COMPLETE
17	0.9894297378443029	2020-06-30 18:22:00.704670	2020-06-30 18:23:32.656500	0 days 00:01:31.951830000	0.30000000000000004	1.0542050538518827e-05	pyramid_4	7	3	COMPLETE
18	0.9891233416973562	2020-06-30 18:23:32.657020	2020-06-30 18:23:46.835376	0 days 00:00:14.178356000	0.0	0.003680288095780751		5	1	COMPLETE
19	0.985458302319923	2020-06-30 18:23:46.835868	2020-06-30 18:24:05.924593	0 days 00:00:19.088725000	0.4	0.0002622598022410477	pyramid_4	7	3	COMPLETE
