number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.5573254525315452	2021-05-23 03:37:31.528246	2021-05-23 03:40:57.647313	0 days 00:03:26.119067000	5	COMPLETE
1	1.510858145624384	2021-05-23 03:40:57.647892	2021-05-23 03:44:22.359824	0 days 00:03:24.711932000	7	COMPLETE
2	2.019502084716645	2021-05-23 03:44:22.360318	2021-05-23 03:47:52.115812	0 days 00:03:29.755494000	1	COMPLETE
3	1.6527673187125587	2021-05-23 03:47:52.116424	2021-05-23 03:50:44.656590	0 days 00:02:52.540166000	3	COMPLETE
4		2021-05-23 03:50:44.657234	2021-05-23 03:50:44.657746	0 days 00:00:00.000512000	1	PRUNED
5		2021-05-23 03:50:44.754533	2021-05-23 03:50:44.755181	0 days 00:00:00.000648000	5	PRUNED
6		2021-05-23 03:50:44.851960	2021-05-23 03:50:44.852647	0 days 00:00:00.000687000	5	PRUNED
7		2021-05-23 03:50:44.949261	2021-05-23 03:50:44.949997	0 days 00:00:00.000736000	1	PRUNED
8		2021-05-23 03:50:45.046848	2021-05-23 03:50:45.047625	0 days 00:00:00.000777000	3	PRUNED
9		2021-05-23 03:50:45.144601	2021-05-23 03:50:45.145397	0 days 00:00:00.000796000	7	PRUNED
10	1.4522627662937588	2021-05-23 03:50:45.242299	2021-05-23 03:55:05.676828	0 days 00:04:20.434529000	9	COMPLETE
