number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.510177620350997	2021-05-23 03:42:57.491390	2021-05-23 03:46:07.633647	0 days 00:03:10.142257000	5	COMPLETE
1	2.663457798828118	2021-05-23 03:46:07.634130	2021-05-23 03:48:55.387708	0 days 00:02:47.753578000	1	COMPLETE
2	1.670329739427079	2021-05-23 03:48:55.388221	2021-05-23 03:52:02.428830	0 days 00:03:07.040609000	3	COMPLETE
3		2021-05-23 03:52:02.429386	2021-05-23 03:52:02.429823	0 days 00:00:00.000437000	3	PRUNED
4		2021-05-23 03:52:02.517602	2021-05-23 03:52:02.518167	0 days 00:00:00.000565000	5	PRUNED
5	1.4696433741891595	2021-05-23 03:52:02.605985	2021-05-23 03:55:29.654208	0 days 00:03:27.048223000	7	COMPLETE
6		2021-05-23 03:55:29.654891	2021-05-23 03:55:29.655454	0 days 00:00:00.000563000	3	PRUNED
7		2021-05-23 03:55:29.747652	2021-05-23 03:55:29.748407	0 days 00:00:00.000755000	1	PRUNED
8		2021-05-23 03:55:29.840745	2021-05-23 03:55:29.841468	0 days 00:00:00.000723000	1	PRUNED
9		2021-05-23 03:55:29.933851	2021-05-23 03:55:29.934610	0 days 00:00:00.000759000	3	PRUNED
10	1.430627786698322	2021-05-23 03:55:30.027042	2021-05-23 03:59:34.530158	0 days 00:04:04.503116000	9	COMPLETE
