number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.3221915532616337	2021-05-23 04:57:53.175033	2021-05-23 05:00:53.287498	0 days 00:03:00.112465000	7	COMPLETE
1	1.2727175684263947	2021-05-23 05:00:53.288014	2021-05-23 05:04:07.034190	0 days 00:03:13.746176000	9	COMPLETE
2		2021-05-23 05:04:07.034825	2021-05-23 05:04:07.035275	0 days 00:00:00.000450000	9	PRUNED
3	1.5545503462293784	2021-05-23 05:04:07.148690	2021-05-23 05:07:26.429940	0 days 00:03:19.281250000	3	COMPLETE
4	1.3915548404338711	2021-05-23 05:07:26.430569	2021-05-23 05:10:44.233718	0 days 00:03:17.803149000	5	COMPLETE
5		2021-05-23 05:10:44.234391	2021-05-23 05:10:44.234922	0 days 00:00:00.000531000	9	PRUNED
6		2021-05-23 05:10:44.334602	2021-05-23 05:10:44.335267	0 days 00:00:00.000665000	7	PRUNED
7		2021-05-23 05:10:44.434084	2021-05-23 05:10:44.434786	0 days 00:00:00.000702000	7	PRUNED
8		2021-05-23 05:10:44.533065	2021-05-23 05:10:44.533816	0 days 00:00:00.000751000	5	PRUNED
9	2.1688439467548752	2021-05-23 05:10:44.632129	2021-05-23 05:13:30.052490	0 days 00:02:45.420361000	1	COMPLETE
