number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.1968856024766732	2021-05-23 05:09:45.699085	2021-05-23 05:13:08.112286	0 days 00:03:22.413201000	9	COMPLETE
1	1.2228319464712303	2021-05-23 05:13:08.112825	2021-05-23 05:16:43.954041	0 days 00:03:35.841216000	7	COMPLETE
2	1.8385448379924019	2021-05-23 05:16:43.954588	2021-05-23 05:20:03.666203	0 days 00:03:19.711615000	1	COMPLETE
3	1.3636160408724045	2021-05-23 05:20:03.666914	2021-05-23 05:23:47.682186	0 days 00:03:44.015272000	3	COMPLETE
4		2021-05-23 05:23:47.682735	2021-05-23 05:23:47.683181	0 days 00:00:00.000446000	1	PRUNED
5		2021-05-23 05:23:47.745791	2021-05-23 05:23:47.746328	0 days 00:00:00.000537000	9	PRUNED
6		2021-05-23 05:23:47.804919	2021-05-23 05:23:47.805455	0 days 00:00:00.000536000	9	PRUNED
7		2021-05-23 05:23:47.863142	2021-05-23 05:23:47.863724	0 days 00:00:00.000582000	7	PRUNED
8		2021-05-23 05:23:47.920917	2021-05-23 05:23:47.921527	0 days 00:00:00.000610000	9	PRUNED
9		2021-05-23 05:23:47.978562	2021-05-23 05:23:47.979212	0 days 00:00:00.000650000	3	PRUNED
10	1.2568100517660503	2021-05-23 05:23:48.036524	2021-05-23 05:26:42.303082	0 days 00:02:54.266558000	5	COMPLETE
