number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.07716375420052093	2021-05-24 01:47:00.052878	2021-05-24 01:49:47.488403	0 days 00:02:47.435525000	7	COMPLETE
1	0.07644908699743379	2021-05-24 01:49:47.488909	2021-05-24 01:53:19.939452	0 days 00:03:32.450543000	9	COMPLETE
2		2021-05-24 01:53:19.940003	2021-05-24 01:53:19.940433	0 days 00:00:00.000430000	7	PRUNED
3		2021-05-24 01:53:20.033275	2021-05-24 01:53:20.033896	0 days 00:00:00.000621000	7	PRUNED
4	0.06487681760531265	2021-05-24 01:53:20.124897	2021-05-24 01:56:41.808851	0 days 00:03:21.683954000	5	COMPLETE
5	0.057432717208847246	2021-05-24 01:56:41.809515	2021-05-24 01:59:47.676866	0 days 00:03:05.867351000	3	COMPLETE
6		2021-05-24 01:59:47.677570	2021-05-24 01:59:47.678146	0 days 00:00:00.000576000	9	PRUNED
7		2021-05-24 01:59:47.769086	2021-05-24 01:59:47.769805	0 days 00:00:00.000719000	7	PRUNED
8		2021-05-24 01:59:47.861078	2021-05-24 01:59:47.861835	0 days 00:00:00.000757000	3	PRUNED
9	0.020421787322502584	2021-05-24 01:59:47.954739	2021-05-24 02:03:07.940836	0 days 00:03:19.986097000	1	COMPLETE
