number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.07988052065391565	2021-05-24 01:11:12.462734	2021-05-24 01:16:12.921469	0 days 00:05:00.458735000	7	COMPLETE
1		2021-05-24 01:16:12.921984	2021-05-24 01:16:12.922414	0 days 00:00:00.000430000	7	PRUNED
2	0.042860863834611185	2021-05-24 01:16:13.019667	2021-05-24 01:21:04.736843	0 days 00:04:51.717176000	1	COMPLETE
3	0.06819631199194466	2021-05-24 01:21:04.737402	2021-05-24 01:26:06.600079	0 days 00:05:01.862677000	3	COMPLETE
4		2021-05-24 01:26:06.601051	2021-05-24 01:26:06.601721	0 days 00:00:00.000670000	7	PRUNED
5	0.07610512000544942	2021-05-24 01:26:06.729446	2021-05-24 01:31:20.485095	0 days 00:05:13.755649000	5	COMPLETE
6		2021-05-24 01:31:20.485817	2021-05-24 01:31:20.486455	0 days 00:00:00.000638000	1	PRUNED
7		2021-05-24 01:31:20.591890	2021-05-24 01:31:20.592573	0 days 00:00:00.000683000	1	PRUNED
8		2021-05-24 01:31:20.698833	2021-05-24 01:31:20.699584	0 days 00:00:00.000751000	7	PRUNED
9		2021-05-24 01:31:20.808161	2021-05-24 01:31:20.808929	0 days 00:00:00.000768000	3	PRUNED
10	0.0916556078493508	2021-05-24 01:31:20.913693	2021-05-24 01:35:50.746322	0 days 00:04:29.832629000	9	COMPLETE
