number	value	datetime_start	datetime_complete	duration	params_init_lr_idx	state
0	0.4875021906196752	2020-07-18 10:22:54.780059	2020-07-19 18:23:54.707257	1 days 08:00:59.927198000	1	COMPLETE
1		2020-07-19 18:23:54.749337	2020-07-19 18:23:54.928463	0 days 00:00:00.179126000	1	PRUNED
2	0.6088371961292656	2020-07-19 18:24:08.024790	2020-07-20 08:11:41.911644	0 days 13:47:33.886854000	2	COMPLETE
3		2020-07-20 08:11:41.931566	2020-07-20 08:11:41.988672	0 days 00:00:00.057106000	2	PRUNED
4		2020-07-20 08:11:42.059484	2020-07-20 08:11:42.060003	0 days 00:00:00.000519000	2	PRUNED
5		2020-07-20 08:11:42.115067	2020-07-20 08:11:42.115655	0 days 00:00:00.000588000	2	PRUNED
6	0.6088418418868793	2020-07-20 08:11:42.168953	2020-07-21 02:51:09.304899	0 days 18:39:27.135946000	3	COMPLETE
7		2020-07-21 02:51:09.314767	2020-07-21 02:51:09.437294	0 days 00:00:00.122527000	1	PRUNED
8		2020-07-21 02:51:22.293548	2020-07-21 02:51:22.294311	0 days 00:00:00.000763000	2	PRUNED
9	0.48774289620798456	2020-07-21 02:51:22.366596	2020-07-22 07:11:09.534636	1 days 04:19:47.168040000	0	COMPLETE
