number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	8.282594132941206	2020-07-28 08:23:02.248297	2020-07-28 08:33:25.209994	0 days 00:10:22.961697000	0.05	0.0237924087605813	6	2				pyramid_2	COMPLETE
1	8.308541039703744	2020-07-28 08:33:25.210548	2020-07-28 08:41:15.587074	0 days 00:07:50.376526000	0.15000000000000002	0.013038737224378058	7	2				flat	COMPLETE
2	9.210727063266525	2020-07-28 08:41:15.587638	2020-07-28 08:48:29.553469	0 days 00:07:13.965831000	0.25	0.019101656451946756	8	3	pyramid_2				COMPLETE
3	8.449633670523736	2020-07-28 08:48:29.554018	2020-07-28 08:54:14.943407	0 days 00:05:45.389389000	0.05	0.00016462918289080592	8	2				pyramid_2	COMPLETE
4	8.381505699527814	2020-07-28 08:54:14.943928	2020-07-28 09:00:54.932502	0 days 00:06:39.988574000		0.00226281196694554	7	1					COMPLETE
5	8.352691095330993	2020-07-28 09:00:54.933038	2020-07-28 09:08:27.384443	0 days 00:07:32.451405000	0.1	2.4802239753862905e-05	7	3	flat				COMPLETE
6	8.37584121670213	2020-07-28 09:08:27.385011	2020-07-28 09:15:23.887432	0 days 00:06:56.502421000	0.2	8.799483094508184e-05	6	2				pyramid_4	COMPLETE
7	8.446833952091648	2020-07-28 09:15:23.887986	2020-07-28 09:22:22.377162	0 days 00:06:58.489176000	0.30000000000000004	1.1759071078228652e-05	9	2			flat		COMPLETE
8	8.354611029512906	2020-07-28 09:22:22.377725	2020-07-28 09:29:13.785669	0 days 00:06:51.407944000	0.5	0.012877698710454235	6	2				pyramid_4	COMPLETE
9	8.709693111702826	2020-07-28 09:29:13.786240	2020-07-28 09:36:39.772778	0 days 00:07:25.986538000	0.05	0.003518985031681249	9	2			pyramid_2		COMPLETE
10	8.3728952128033	2020-07-28 09:36:39.773636	2020-07-28 09:43:27.178726	0 days 00:06:47.405090000		0.0008450374412311269	10	1					COMPLETE
11	8.792250432275877	2020-07-28 09:43:27.179284	2020-07-28 09:49:38.005407	0 days 00:06:10.826123000		0.02849136371483786	7	1					COMPLETE
12	8.315319243136239	2020-07-28 09:49:38.005943	2020-07-28 09:56:44.089400	0 days 00:07:06.083457000	0.15000000000000002	0.0061834944332631115	6	3		pyramid_4			COMPLETE
13	14.783174737195674	2020-07-28 09:56:44.089972	2020-07-28 11:50:19.903789	0 days 01:53:35.813817000	0.0	0.026665781207247656	7	2				flat	COMPLETE
14	8.366285151933662	2020-07-28 11:50:19.904320	2020-07-28 11:57:12.593462	0 days 00:06:52.689142000	0.30000000000000004	0.0010165378622940039	6	3		pyramid_2			COMPLETE
15	8.3769315996733	2020-07-28 11:57:12.593979	2020-07-28 12:04:06.752377	0 days 00:06:54.158398000		0.008080263742092652	7	1					COMPLETE
16	8.508006253231903	2020-07-28 12:04:06.770522	2020-07-28 12:11:22.840927	0 days 00:07:16.070405000	0.0	0.0024888890053255362	6	2				flat	COMPLETE
17	8.40695397695946	2020-07-28 12:11:22.841471	2020-07-28 12:17:23.324462	0 days 00:06:00.482991000	0.4	0.00020699264039446556	8	2				pyramid_2	COMPLETE
18	8.375183129012411	2020-07-28 12:17:23.324993	2020-07-28 12:23:57.280124	0 days 00:06:33.955131000		0.009931042100539094	7	1					COMPLETE
19	14.783174737195674	2020-07-28 12:23:57.280638	2020-07-28 14:23:44.698781	0 days 01:59:47.418143000	0.15000000000000002	0.025973256007658783	9	3					COMPLETE
20	8.508204938325598	2020-07-28 14:23:44.699310	2020-07-28 14:30:57.918985	0 days 00:07:13.219675000	0.1	0.004186877443997574	6	2				pyramid_2	COMPLETE
21	8.271499818749486	2020-07-28 14:30:57.919495	2020-07-28 14:38:06.513494	0 days 00:07:08.593999000	0.15000000000000002	0.007031423658043786	6	3		pyramid_4			COMPLETE
22	8.363396601522547	2020-07-28 14:38:06.514019	2020-07-28 14:46:30.802295	0 days 00:08:24.288276000	0.2	0.011494669242083123	6	3		flat			COMPLETE
23	8.372129723375544	2020-07-28 14:46:30.815607	2020-07-28 14:53:28.953182	0 days 00:06:58.137575000	0.1	0.0016703797055663036	7	3	pyramid_2				COMPLETE
24	8.420916815074962	2020-07-28 14:53:28.953698	2020-07-28 15:01:12.665262	0 days 00:07:43.711564000	0.2	0.005309388534916296	6	2				flat	COMPLETE
