number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	7.619357206147293	2020-07-27 22:22:16.014728	2020-07-27 22:29:22.922837	0 days 00:07:06.908109000	0.2	0.004837623273370809	7	3	pyramid_2			COMPLETE
1	7.791514088808257	2020-07-27 22:29:22.923399	2020-07-27 22:36:52.591070	0 days 00:07:29.667671000		0.00023786330134245728	9	1				COMPLETE
2	7.618158792640423	2020-07-27 22:36:52.591592	2020-07-27 22:55:37.308098	0 days 00:18:44.716506000	0.35000000000000003	2.8829314506588512e-05	6	2			flat	COMPLETE
3	7.791007965929754	2020-07-27 22:55:37.308661	2020-07-27 23:03:23.021520	0 days 00:07:45.712859000		0.0001746253118304163	10	1				COMPLETE
4	7.569516884218413	2020-07-27 23:03:23.022052	2020-07-27 23:10:23.191457	0 days 00:07:00.169405000	0.15000000000000002	0.0005154885381016427	10	3				COMPLETE
5	7.603252128758924	2020-07-27 23:10:23.191961	2020-07-27 23:19:49.454059	0 days 00:09:26.262098000	0.30000000000000004	2.121476886888671e-05	10	3				COMPLETE
6	7.568795339439655	2020-07-27 23:19:49.454561	2020-07-27 23:25:56.355870	0 days 00:06:06.901309000	0.05	0.0001680161208735968	7	2			pyramid_4	COMPLETE
7	7.643011917009025	2020-07-27 23:25:56.356380	2020-07-27 23:55:03.606765	0 days 00:29:07.250385000	0.2	1.8284222051052143e-05	6	2			flat	COMPLETE
8	7.795455189040611	2020-07-27 23:55:03.607325	2020-07-28 00:01:28.668613	0 days 00:06:25.061288000		2.6122996542146094e-05	6	1				COMPLETE
9	7.881693738634833	2020-07-28 00:01:28.669157	2020-07-28 00:07:22.253521	0 days 00:05:53.584364000	0.4	0.01789211110883947	7	3	flat			COMPLETE
10	7.58952818477236	2020-07-28 00:07:22.254066	2020-07-28 00:14:16.740278	0 days 00:06:54.486212000	0.0	0.0016902824098797792	8	2			pyramid_4	COMPLETE
11	7.571249337031923	2020-07-28 00:14:16.740819	2020-07-28 00:20:51.958781	0 days 00:06:35.217962000	0.0	0.0006402340990589781	8	3	flat			COMPLETE
12	7.568107675486598	2020-07-28 00:20:51.959323	2020-07-28 00:27:03.388032	0 days 00:06:11.428709000	0.1	0.00011450530889501237	9	2		flat		COMPLETE
13	7.565817089001886	2020-07-28 00:27:03.388589	2020-07-28 00:33:12.536695	0 days 00:06:09.148106000	0.1	0.00011105383106205711	9	2		flat		COMPLETE
14	7.566940335609173	2020-07-28 00:33:12.537217	2020-07-28 00:39:18.755312	0 days 00:06:06.218095000	0.1	0.00011765678309822152	9	2		flat		COMPLETE
15	7.5709613237052125	2020-07-28 00:39:18.755860	2020-07-28 00:45:34.075862	0 days 00:06:15.320002000	0.1	7.181659291078177e-05	9	2		flat		COMPLETE
16	7.796640053584658	2020-07-28 00:45:34.076393	2020-07-28 00:53:36.929656	0 days 00:08:02.853263000		5.787466149655924e-05	9	1				COMPLETE
17	7.610562647852404	2020-07-28 00:53:36.930177	2020-07-28 00:59:34.027812	0 days 00:05:57.097635000	0.5	0.0005008796463127374	8	2			pyramid_2	COMPLETE
18	7.638445990832099	2020-07-28 00:59:34.028326	2020-07-28 01:08:25.906944	0 days 00:08:51.878618000	0.1	1.0224060742932969e-05	9	2		pyramid_2		COMPLETE
19	7.8291784120757	2020-07-28 01:08:25.907481	2020-07-28 01:14:14.054586	0 days 00:05:48.147105000		0.001572628206370182	10	1				COMPLETE
20	7.583740570699757	2020-07-28 01:14:14.055102	2020-07-28 01:20:13.635205	0 days 00:05:59.580103000	0.25	5.648709208669772e-05	9	2		flat		COMPLETE
21	7.567087894413389	2020-07-28 01:20:13.635733	2020-07-28 01:26:28.067733	0 days 00:06:14.432000000	0.1	0.0001078854715180855	9	2		flat		COMPLETE
22	7.576423776771282	2020-07-28 01:26:28.068235	2020-07-28 01:32:33.258849	0 days 00:06:05.190614000	0.05	0.00029007969476173203	9	2		flat		COMPLETE
23	7.576236632037985	2020-07-28 01:32:33.280738	2020-07-28 01:38:43.114713	0 days 00:06:09.833975000	0.15000000000000002	8.380865548165213e-05	8	2			pyramid_2	COMPLETE
24	7.589358773277546	2020-07-28 01:38:43.115241	2020-07-28 01:45:10.380684	0 days 00:06:27.265443000	0.05	4.157701328937605e-05	10	2				COMPLETE
