number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	8.832463891004343	2020-07-28 14:13:43.605483	2020-07-28 14:21:21.279953	0 days 00:07:37.674470000		0.000588494694549966	9	1				COMPLETE
1	9.251042029657654	2020-07-28 14:21:21.280445	2020-07-28 14:28:47.756317	0 days 00:07:26.475872000	0.0	0.00029146483053095365	10	2				COMPLETE
2	9.082061977072799	2020-07-28 14:28:47.756823	2020-07-28 14:34:45.088313	0 days 00:05:57.331490000	0.1	7.581838855808345e-05	6	3		pyramid_4		COMPLETE
3	8.916428378473086	2020-07-28 14:34:45.088825	2020-07-28 14:42:08.189105	0 days 00:07:23.100280000	0.30000000000000004	0.002004329547259413	7	3	pyramid_2			COMPLETE
4	9.045963322853922	2020-07-28 14:42:08.189640	2020-07-28 14:47:42.994550	0 days 00:05:34.804910000		4.2841501345668205e-05	8	1				COMPLETE
5	8.816402916397559	2020-07-28 14:47:42.995050	2020-07-28 14:53:34.432131	0 days 00:05:51.437081000	0.0	1.595098685048396e-05	7	2			flat	COMPLETE
6	9.196449831260189	2020-07-28 14:53:34.432682	2020-07-28 14:59:32.765142	0 days 00:05:58.332460000	0.1	8.696982888655535e-05	10	2				COMPLETE
7	8.829978192622564	2020-07-28 14:59:32.765689	2020-07-28 15:06:37.266404	0 days 00:07:04.500715000		0.001992708889207115	8	1				COMPLETE
8	9.16101333847518	2020-07-28 15:06:37.266945	2020-07-28 15:14:05.898131	0 days 00:07:28.631186000	0.15000000000000002	0.00047436132345473855	10	2				COMPLETE
9	8.856239410067602	2020-07-28 15:14:05.898660	2020-07-28 15:20:57.364755	0 days 00:06:51.466095000		0.005261046296775791	7	1				COMPLETE
10	8.72777550427667	2020-07-28 15:20:57.365285	2020-07-28 15:26:39.862204	0 days 00:05:42.496919000	0.5	1.038186910627212e-05	6	3		pyramid_2		COMPLETE
11	8.72796830805726	2020-07-28 15:26:39.862750	2020-07-28 15:32:18.793386	0 days 00:05:38.930636000	0.5	1.0856535639067623e-05	6	3		pyramid_2		COMPLETE
12	8.728196469127903	2020-07-28 15:32:18.793922	2020-07-28 15:37:58.875026	0 days 00:05:40.081104000	0.5	1.091167715570271e-05	6	3		pyramid_2		COMPLETE
13	8.728772571531117	2020-07-28 15:37:58.875577	2020-07-28 15:43:40.254498	0 days 00:05:41.378921000	0.5	1.1052001590312756e-05	6	3		pyramid_2		COMPLETE
14	8.82276848848963	2020-07-28 15:43:40.255081	2020-07-28 15:49:36.058165	0 days 00:05:55.803084000	0.4	3.0892046557129146e-05	6	3		flat		COMPLETE
15	8.92251982277247	2020-07-28 15:49:36.058731	2020-07-28 15:55:26.631952	0 days 00:05:50.573221000	0.4	0.00014926488430256436	7	3	flat			COMPLETE
16	8.726238683509996	2020-07-28 15:55:26.632475	2020-07-28 16:01:20.979572	0 days 00:05:54.347097000	0.45	1.0057569803525757e-05	6	3		pyramid_2		COMPLETE
17	15.325109308082588	2020-07-28 16:01:20.980132	2020-07-28 17:57:38.111870	0 days 01:56:17.131738000	0.4	0.02579023727052906	7	2			pyramid_2	COMPLETE
18	8.991531348073584	2020-07-28 17:57:38.126722	2020-07-28 18:03:33.827484	0 days 00:05:55.700762000	0.30000000000000004	2.6003521679288064e-05	9	3				COMPLETE
19	9.486469281237913	2020-07-28 18:03:33.828051	2020-07-28 18:11:45.529490	0 days 00:08:11.701439000	0.45	0.026151503585642152	6	3		pyramid_2		COMPLETE
20	9.056292964001022	2020-07-28 18:11:45.530049	2020-07-28 18:17:33.620392	0 days 00:05:48.090343000	0.30000000000000004	5.659601988231113e-05	8	2			pyramid_4	COMPLETE
21	8.728575959825951	2020-07-28 18:17:33.620952	2020-07-28 18:23:15.329545	0 days 00:05:41.708593000	0.5	1.1022160758242807e-05	6	3		pyramid_2		COMPLETE
22	8.812266042118539	2020-07-28 18:23:15.330091	2020-07-28 18:29:19.515126	0 days 00:06:04.185035000	0.45	1.5278346893002684e-05	6	3		pyramid_2		COMPLETE
23	8.967526315776219	2020-07-28 18:29:19.515682	2020-07-28 18:36:50.087470	0 days 00:07:30.571788000	0.45	2.1555175606790478e-05	7	3	pyramid_2			COMPLETE
24	8.950473824282644	2020-07-28 18:36:50.088038	2020-07-28 18:42:39.316089	0 days 00:05:49.228051000	0.5	0.0001422458459723461	6	3		pyramid_2		COMPLETE
