number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	10.143640539032711	2020-07-27 16:57:11.055216	2020-07-27 17:03:39.858967	0 days 00:06:28.803751000	0.5	0.0006758217120791483	7	2		pyramid_4	COMPLETE
1	9.668458223729088	2020-07-27 17:03:39.859556	2020-07-27 17:09:26.880737	0 days 00:05:47.021181000		2.3098867295719337e-05	6	1			COMPLETE
2	9.9912604753813	2020-07-27 17:09:26.881227	2020-07-27 17:15:25.911751	0 days 00:05:59.030524000		2.1333918845263053e-05	8	1			COMPLETE
3	9.942735446164294	2020-07-27 17:15:25.912261	2020-07-27 17:21:10.566087	0 days 00:05:44.653826000		0.00071295943684048	8	1			COMPLETE
4	10.740787737859023	2020-07-27 17:21:10.566577	2020-07-27 17:29:24.794581	0 days 00:08:14.228004000	0.4	0.012324655082597951	9	3			COMPLETE
5	9.653728896784424	2020-07-27 17:29:24.795085	2020-07-27 17:35:36.462213	0 days 00:06:11.667128000		1.0075953710310753e-05	6	1			COMPLETE
6	10.132476909984856	2020-07-27 17:35:36.462721	2020-07-27 17:42:06.703108	0 days 00:06:30.240387000	0.1	0.0006215997572289524	10	3			COMPLETE
7	10.060680326345429	2020-07-27 17:42:06.703613	2020-07-27 17:48:04.014439	0 days 00:05:57.310826000	0.05	5.2971474577050284e-05	8	3	flat		COMPLETE
8	10.093973774202517	2020-07-27 17:48:04.014916	2020-07-27 17:54:12.552461	0 days 00:06:08.537545000	0.15000000000000002	0.00012923263116587235	6	2		pyramid_2	COMPLETE
9	10.741468536080141	2020-07-27 17:54:12.552956	2020-07-27 18:03:40.876834	0 days 00:09:28.323878000	0.35000000000000003	0.00890317972973174	10	2			COMPLETE
10	9.655731184766315	2020-07-27 18:03:40.877321	2020-07-27 18:09:35.877791	0 days 00:05:55.000470000		1.0465747900470695e-05	6	1			COMPLETE
11	9.655590482433531	2020-07-27 18:09:35.878312	2020-07-27 18:15:34.532189	0 days 00:05:58.653877000		1.0446841077918332e-05	6	1			COMPLETE
12	10.290170841827527	2020-07-27 18:15:34.532679	2020-07-27 18:21:34.725726	0 days 00:06:00.193047000		0.00012088187597165221	7	1			COMPLETE
13	9.649952029874955	2020-07-27 18:21:34.726224	2020-07-27 18:27:12.690377	0 days 00:05:37.964153000		1.281439821520152e-05	7	1			COMPLETE
14	10.077963645280725	2020-07-27 18:27:12.690894	2020-07-27 18:32:55.566215	0 days 00:05:42.875321000	0.25	0.0020558962115984542	7	2		flat	COMPLETE
15	10.312177468162423	2020-07-27 18:32:55.566726	2020-07-27 18:39:00.602229	0 days 00:06:05.035503000		7.004042737594693e-05	7	1			COMPLETE
16	10.083588384896437	2020-07-27 18:39:00.602729	2020-07-27 18:47:15.239871	0 days 00:08:14.637142000	0.5	2.6244505149809736e-05	7	2		pyramid_2	COMPLETE
17	9.674877086689998	2020-07-27 18:47:15.240399	2020-07-27 18:53:12.259362	0 days 00:05:57.018963000		1.1781785044206277e-05	6	1			COMPLETE
18	10.094856615142417	2020-07-27 18:53:12.259854	2020-07-27 18:59:15.687672	0 days 00:06:03.427818000		0.0002066217539742248	9	1			COMPLETE
19	10.13486272807505	2020-07-27 18:59:15.688143	2020-07-27 19:05:03.850403	0 days 00:05:48.162260000	0.0	0.002516770662763793	7	2		pyramid_4	COMPLETE
20	10.311073887346911	2020-07-27 19:05:03.850873	2020-07-27 19:11:17.066295	0 days 00:06:13.215422000		4.275718180575984e-05	9	1			COMPLETE
21	9.658731128426172	2020-07-27 19:11:17.081699	2020-07-27 19:17:23.848838	0 days 00:06:06.767139000		1.078448122086165e-05	6	1			COMPLETE
22	9.655450097904492	2020-07-27 19:17:23.849315	2020-07-27 19:23:19.221063	0 days 00:05:55.371748000		1.0427370263799493e-05	6	1			COMPLETE
23	9.683330232466774	2020-07-27 19:23:19.221553	2020-07-27 19:28:47.603101	0 days 00:05:28.381548000		2.4498512973791318e-05	6	1			COMPLETE
24	9.697872624215988	2020-07-27 19:28:47.603581	2020-07-27 19:34:12.111135	0 days 00:05:24.507554000		1.0335149826368673e-05	7	1			COMPLETE
