number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_two_layers_architecture_3	state
0	7.532803383042178	2020-07-28 23:36:50.910872	2020-07-28 23:42:40.885191	0 days 00:05:49.974319000	0.05	2.0251355448496997e-05	9	3		COMPLETE
1	7.708658947419319	2020-07-28 23:42:40.885702	2020-07-28 23:48:55.226595	0 days 00:06:14.340893000	0.1	0.0001360983449569511	10	3		COMPLETE
2	7.496737433287657	2020-07-28 23:48:55.227118	2020-07-28 23:54:30.781351	0 days 00:05:35.554233000	0.5	6.0812284259022414e-05	6	2	flat	COMPLETE
3	7.676581541133918	2020-07-28 23:54:30.781901	2020-07-29 00:01:12.088073	0 days 00:06:41.306172000	0.1	0.0011298930477151988	9	3		COMPLETE
4	13.185376494632791	2020-07-29 00:01:12.088646	2020-07-29 02:20:44.347205	0 days 02:19:32.258559000		0.010020606906801621	10	1		COMPLETE
5	7.488582761459283	2020-07-29 02:20:44.371499	2020-07-29 02:27:14.210587	0 days 00:06:29.839088000		0.001093428659847638	9	1		COMPLETE
6	7.5339873513677915	2020-07-29 02:27:14.211071	2020-07-29 02:39:38.053752	0 days 00:12:23.842681000	0.35000000000000003	0.0042052491535375025	10	2		COMPLETE
7	7.51206939891542	2020-07-29 02:39:38.054225	2020-07-29 02:49:39.794050	0 days 00:10:01.739825000		6.525052617917346e-05	7	1		COMPLETE
8	7.688582222342386	2020-07-29 02:49:39.794526	2020-07-29 02:57:03.407894	0 days 00:07:23.613368000	0.15000000000000002	0.0010065974488813387	10	3		COMPLETE
9	7.643942815994816	2020-07-29 02:57:03.408373	2020-07-29 03:03:59.485433	0 days 00:06:56.077060000	0.15000000000000002	0.0012982383508064795	7	2	flat	COMPLETE
10	7.476454594214968	2020-07-29 03:03:59.485908	2020-07-29 03:10:38.028814	0 days 00:06:38.542906000		0.0002947002656114208	8	1		COMPLETE
11	7.474488166195223	2020-07-29 03:10:38.029294	2020-07-29 03:17:23.663941	0 days 00:06:45.634647000		0.0003052792312507084	8	1		COMPLETE
12	7.492695287513902	2020-07-29 03:17:23.664421	2020-07-29 03:24:19.208137	0 days 00:06:55.543716000		0.00023355691388762917	8	1		COMPLETE
13	7.477664176745292	2020-07-29 03:24:19.208608	2020-07-29 03:30:56.069237	0 days 00:06:36.860629000		0.0002889783348594706	8	1		COMPLETE
14	7.454450608257695	2020-07-29 03:30:56.096215	2020-07-29 03:36:17.471975	0 days 00:05:21.375760000		1.4107734477151886e-05	7	1		COMPLETE
15	7.457663589760859	2020-07-29 03:36:17.472438	2020-07-29 03:41:57.940400	0 days 00:05:40.467962000	0.5	1.1292284188562754e-05	6	2	pyramid_4	COMPLETE
16	7.455881313172196	2020-07-29 03:41:57.940878	2020-07-29 03:47:28.382088	0 days 00:05:30.441210000	0.5	1.0959982480123058e-05	6	2	pyramid_4	COMPLETE
17	7.488744197936526	2020-07-29 03:47:28.382586	2020-07-29 03:53:01.946444	0 days 00:05:33.563858000	0.35000000000000003	1.0205882225479607e-05	7	2	pyramid_4	COMPLETE
18	7.48324017636192	2020-07-29 03:53:01.946919	2020-07-29 03:58:31.940672	0 days 00:05:29.993753000	0.35000000000000003	2.4953249697960167e-05	6	2	pyramid_2	COMPLETE
19	7.526976964112407	2020-07-29 03:58:31.941167	2020-07-29 04:04:08.857385	0 days 00:05:36.916218000	0.45	3.708389070719669e-05	7	2	pyramid_4	COMPLETE
20	7.452391552399788	2020-07-29 04:04:08.857880	2020-07-29 04:09:56.883558	0 days 00:05:48.025678000	0.25	1.0945551539828097e-05	6	2	pyramid_2	COMPLETE
21	7.464854709992885	2020-07-29 04:09:56.884096	2020-07-29 04:15:39.718734	0 days 00:05:42.834638000	0.25	1.3306192118909576e-05	6	2	pyramid_2	COMPLETE
22	7.506450318138332	2020-07-29 04:15:39.719270	2020-07-29 04:21:18.085169	0 days 00:05:38.365899000	0.25	4.5709312587040384e-05	6	2	pyramid_2	COMPLETE
23	7.502848932483785	2020-07-29 04:21:18.085720	2020-07-29 04:26:51.621922	0 days 00:05:33.536202000	0.0	1.1506935264531163e-05	7	2	pyramid_2	COMPLETE
24	7.494858299734316	2020-07-29 04:26:51.622459	2020-07-29 04:32:26.305519	0 days 00:05:34.683060000	0.4	2.2704256541847083e-05	6	2	pyramid_4	COMPLETE
