number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	7.880445173785198	2020-07-26 18:21:50.032723	2020-07-26 18:30:20.877722	0 days 00:08:30.844999000	0.45	0.00023071864376846785	10	2				COMPLETE
1	7.946169628728898	2020-07-26 18:30:20.878254	2020-07-26 18:40:24.410086	0 days 00:10:03.531832000	0.2	0.0031565331470766113	10	3				COMPLETE
2	7.904672412913159	2020-07-26 18:40:24.410611	2020-07-26 18:48:46.270491	0 days 00:08:21.859880000	0.25	0.0006260348736398331	10	3				COMPLETE
3	14.512886390300924	2020-07-26 18:48:46.271006	2020-07-26 21:06:13.539688	0 days 02:17:27.268682000		0.022871396962837957	7	1				COMPLETE
4	7.900148746395412	2020-07-26 21:06:13.540400	2020-07-26 21:13:36.916354	0 days 00:07:23.375954000	0.05	0.0012920774121787325	9	2		pyramid_2		COMPLETE
5	8.032575365874754	2020-07-26 21:13:36.916872	2020-07-26 21:21:40.298428	0 days 00:08:03.381556000	0.25	0.007736020436439691	9	2		pyramid_2		COMPLETE
6	7.856151524855007	2020-07-26 21:21:40.298927	2020-07-26 21:50:42.934308	0 days 00:29:02.635381000	0.35000000000000003	1.0967477967997641e-05	8	2			flat	COMPLETE
7	8.12453405531113	2020-07-26 21:50:42.934883	2020-07-26 21:57:50.117414	0 days 00:07:07.182531000		0.0009863555148108944	10	1				COMPLETE
8	8.119794601673588	2020-07-26 21:57:50.117942	2020-07-26 22:04:35.090186	0 days 00:06:44.972244000		0.002983553320154745	6	1				COMPLETE
9	7.873355309545554	2020-07-26 22:04:35.090733	2020-07-26 22:16:34.074510	0 days 00:11:58.983777000	0.4	7.374204870147233e-05	7	3	flat			COMPLETE
10	7.852391885466245	2020-07-26 22:16:34.075062	2020-07-26 22:51:58.800917	0 days 00:35:24.725855000	0.5	1.0247414210100003e-05	8	2			flat	COMPLETE
11	7.8524867547620385	2020-07-26 22:51:58.801472	2020-07-26 23:26:19.404896	0 days 00:34:20.603424000	0.5	1.0623275425115039e-05	8	2			flat	COMPLETE
12	7.851787644963755	2020-07-26 23:26:19.405451	2020-07-26 23:59:06.742622	0 days 00:32:47.337171000	0.5	1.101762136200949e-05	8	2			flat	COMPLETE
13	7.859648846507137	2020-07-26 23:59:06.743171	2020-07-27 00:17:24.187321	0 days 00:18:17.444150000	0.5	3.805879922302905e-05	7	2			flat	COMPLETE
14	7.870015412555291	2020-07-27 00:17:24.187885	2020-07-27 00:27:35.524985	0 days 00:10:11.337100000	0.35000000000000003	3.6669449019063905e-05	9	3				COMPLETE
15	8.10226087521908	2020-07-27 00:27:35.525519	2020-07-27 00:41:45.920972	0 days 00:14:10.395453000		1.0671017227722563e-05	8	1				COMPLETE
16	7.865531920806589	2020-07-27 00:41:45.921513	2020-07-27 00:52:51.057981	0 days 00:11:05.136468000	0.5	0.00015687600391052722	6	2			pyramid_4	COMPLETE
17	7.880458122497518	2020-07-27 00:52:51.059946	2020-07-27 01:03:45.293361	0 days 00:10:54.233415000	0.0	2.4074774735486793e-05	7	2			pyramid_2	COMPLETE
18	8.103594963007636	2020-07-27 01:03:45.293907	2020-07-27 01:20:26.773140	0 days 00:16:41.479233000		0.0001433344873710195	9	1				COMPLETE
19	7.865634498111244	2020-07-27 01:20:26.800073	2020-07-27 01:30:12.080841	0 days 00:09:45.280768000	0.4	2.3437737426619595e-05	8	3	pyramid_2			COMPLETE
20	7.8645484263224805	2020-07-27 01:30:12.081377	2020-07-27 01:37:44.816970	0 days 00:07:32.735593000	0.15000000000000002	6.0761992411562525e-05	8	2			flat	COMPLETE
21	7.8520721602462356	2020-07-27 01:37:44.817488	2020-07-27 02:11:05.421075	0 days 00:33:20.603587000	0.5	1.1086673564767842e-05	8	2			flat	COMPLETE
22	7.863202255860912	2020-07-27 02:11:05.421604	2020-07-27 02:37:49.552495	0 days 00:26:44.130891000	0.5	1.7674127191349142e-05	7	2			flat	COMPLETE
23	7.85486048776812	2020-07-27 02:37:49.570404	2020-07-27 02:59:04.894932	0 days 00:21:15.324528000	0.45	1.0768958304503842e-05	9	2		flat		COMPLETE
24	7.862982448954487	2020-07-27 02:59:04.895449	2020-07-27 03:10:00.836803	0 days 00:10:55.941354000	0.4	6.762814043115809e-05	8	2			flat	COMPLETE
