number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	8.13479868300686	2020-07-27 09:46:18.338397	2020-07-27 09:54:33.522544	0 days 00:08:15.184147000		0.0021570940762346605	8	1					COMPLETE
1	14.55489795532247	2020-07-27 09:54:33.523057	2020-07-27 12:42:25.756575	0 days 02:47:52.233518000	0.30000000000000004	0.009605482498604505	10	2					COMPLETE
2	7.85557248044074	2020-07-27 12:42:25.757048	2020-07-27 12:49:21.755240	0 days 00:06:55.998192000	0.05	0.00012540919803187553	9	3					COMPLETE
3	7.8517039648871645	2020-07-27 12:49:21.755748	2020-07-27 13:04:17.396736	0 days 00:14:55.640988000	0.35000000000000003	3.45759166863425e-05	7	3	flat				COMPLETE
4	7.8635378804141975	2020-07-27 13:04:17.397268	2020-07-27 13:15:31.034356	0 days 00:11:13.637088000	0.35000000000000003	0.00016295797414648158	8	3	flat				COMPLETE
5	14.55489795532247	2020-07-27 13:15:31.034896	2020-07-27 15:59:55.884304	0 days 02:44:24.849408000	0.35000000000000003	0.0197615707917709	9	2			pyramid_2		COMPLETE
6	7.862504669618318	2020-07-27 15:59:55.886250	2020-07-27 16:07:06.488332	0 days 00:07:10.602082000	0.30000000000000004	0.00043698051999549226	6	3		pyramid_4			COMPLETE
7	7.88758500257819	2020-07-27 16:07:06.488861	2020-07-27 16:14:17.178999	0 days 00:07:10.690138000	0.45	0.0007272693771997567	7	3	pyramid_2				COMPLETE
8	7.86441335808107	2020-07-27 16:14:17.201183	2020-07-27 16:21:27.161050	0 days 00:07:09.959867000	0.0	0.0004489663818476414	9	3					COMPLETE
9	7.914746240190944	2020-07-27 16:21:27.161577	2020-07-27 16:30:18.620103	0 days 00:08:51.458526000	0.35000000000000003	0.0019306885370656314	10	2					COMPLETE
10	8.101356421500304	2020-07-27 16:30:18.620627	2020-07-27 16:48:56.536028	0 days 00:18:37.915401000		1.9115238149608092e-05	6	1					COMPLETE
11	7.837899727478931	2020-07-27 16:48:56.536589	2020-07-27 17:03:52.478530	0 days 00:14:55.941941000	0.1	2.672812690254384e-05	7	3	flat				COMPLETE
12	7.838310982174159	2020-07-27 17:03:52.479060	2020-07-27 17:27:34.587934	0 days 00:23:42.108874000	0.15000000000000002	1.0091030199382537e-05	7	3	flat				COMPLETE
13	7.850429319947047	2020-07-27 17:27:34.588461	2020-07-27 17:52:22.290391	0 days 00:24:47.701930000	0.15000000000000002	1.1648649737252612e-05	7	2				flat	COMPLETE
14	7.837977711598598	2020-07-27 17:52:22.304075	2020-07-27 18:03:38.786344	0 days 00:11:16.482269000	0.15000000000000002	4.925040269828164e-05	7	3	flat				COMPLETE
15	7.850470240520131	2020-07-27 18:03:38.786870	2020-07-27 18:14:01.427190	0 days 00:10:22.640320000	0.15000000000000002	5.2813515984805146e-05	6	2				pyramid_2	COMPLETE
16	7.849213019116567	2020-07-27 18:14:01.427721	2020-07-27 18:22:28.344504	0 days 00:08:26.916783000	0.05	7.534661700134462e-05	8	3	flat				COMPLETE
17	7.837325018873613	2020-07-27 18:22:28.345047	2020-07-27 18:37:28.892628	0 days 00:15:00.547581000	0.1	2.4207806357118606e-05	7	3	flat				COMPLETE
18	7.856974035540636	2020-07-27 18:37:28.893185	2020-07-27 18:56:04.333908	0 days 00:18:35.440723000	0.05	1.7526252584798137e-05	6	2				pyramid_4	COMPLETE
19	8.10174611544329	2020-07-27 18:56:04.334442	2020-07-27 19:10:19.414754	0 days 00:14:15.080312000		2.746914859187398e-05	7	1					COMPLETE
20	7.86280663930565	2020-07-27 19:10:19.415285	2020-07-27 19:17:29.548233	0 days 00:07:10.132948000	0.2	0.00018258841377575798	8	3	flat				COMPLETE
21	7.839043631999684	2020-07-27 19:17:29.548760	2020-07-27 19:27:47.718772	0 days 00:10:18.170012000	0.1	6.202100192974278e-05	7	3	flat				COMPLETE
22	7.843413187125083	2020-07-27 19:27:47.719302	2020-07-27 19:50:26.864862	0 days 00:22:39.145560000	0.2	1.0084002182875127e-05	7	3	flat				COMPLETE
23	7.836190835061244	2020-07-27 19:50:26.865401	2020-07-27 20:09:25.441071	0 days 00:18:58.575670000	0.0	3.9628559633741476e-05	6	3		flat			COMPLETE
24	7.839169514223477	2020-07-27 20:09:25.456896	2020-07-27 20:30:06.532386	0 days 00:20:41.075490000	0.0	2.4105506371730575e-05	6	3		flat			COMPLETE
