number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	7.883357368241004	2020-07-27 20:31:11.013239	2020-07-27 20:37:37.743928	0 days 00:06:26.730689000	0.0	0.00035105372203529645	9	3				COMPLETE
1	8.11894244489966	2020-07-27 20:37:37.744478	2020-07-27 20:49:11.175956	0 days 00:11:33.431478000		0.00028920144178850844	6	1				COMPLETE
2	7.864614063769615	2020-07-27 20:49:11.176470	2020-07-27 21:04:36.836486	0 days 00:15:25.660016000	0.2	2.438384388188598e-05	6	2			pyramid_4	COMPLETE
3	7.926505484651967	2020-07-27 21:04:36.837050	2020-07-27 21:13:46.784496	0 days 00:09:09.947446000	0.1	0.0025023067704894627	10	2				COMPLETE
4	8.219827680144189	2020-07-27 21:13:46.785021	2020-07-27 21:19:49.283296	0 days 00:06:02.498275000		0.009359658823987921	7	1				COMPLETE
5	8.127489841851103	2020-07-27 21:19:49.283829	2020-07-27 21:31:00.581958	0 days 00:11:11.298129000		0.0014026030659368804	7	1				COMPLETE
6	8.101946750760748	2020-07-27 21:31:00.582464	2020-07-27 21:38:12.346608	0 days 00:07:11.764144000	0.5	0.0026452426620500475	9	3				COMPLETE
7	8.117708668293966	2020-07-27 21:38:12.362976	2020-07-27 21:53:08.590869	0 days 00:14:56.227893000		2.4301593966615767e-05	8	1				COMPLETE
8	7.8846130686792275	2020-07-27 21:53:08.591387	2020-07-27 22:01:44.852999	0 days 00:08:36.261612000	0.35000000000000003	0.0001536483530744319	7	2			pyramid_4	COMPLETE
9	7.908293365345922	2020-07-27 22:01:44.853524	2020-07-27 22:12:03.523459	0 days 00:10:18.669935000	0.0	1.2952760557257287e-05	10	2				COMPLETE
10	7.872197408301306	2020-07-27 22:12:03.523969	2020-07-27 22:25:41.137649	0 days 00:13:37.613680000	0.25	6.503215373489025e-05	6	3		flat		COMPLETE
11	7.870594774934638	2020-07-27 22:25:41.138212	2020-07-27 22:41:33.893631	0 days 00:15:52.755419000	0.25	5.446930657040818e-05	6	3		flat		COMPLETE
12	7.867535515261716	2020-07-27 22:41:33.894154	2020-07-27 22:57:17.750513	0 days 00:15:43.856359000	0.2	3.9860594774352695e-05	6	3		flat		COMPLETE
13	7.870767848097859	2020-07-27 22:57:17.751058	2020-07-27 23:28:44.951280	0 days 00:31:27.200222000	0.1	1.106085777696502e-05	6	2			pyramid_2	COMPLETE
14	7.865557163736917	2020-07-27 23:28:44.951829	2020-07-27 23:38:42.754359	0 days 00:09:57.802530000	0.15000000000000002	4.8345681274830826e-05	7	3	flat			COMPLETE
15	7.883245174273564	2020-07-27 23:38:42.754889	2020-07-27 23:45:08.928115	0 days 00:06:26.173226000	0.15000000000000002	0.00010908972230249766	8	2			flat	COMPLETE
16	7.87397519013077	2020-07-27 23:45:08.928630	2020-07-28 00:02:53.147446	0 days 00:17:44.218816000	0.35000000000000003	1.2095922779100765e-05	7	3	flat			COMPLETE
17	7.870043085015129	2020-07-28 00:02:53.147982	2020-07-28 00:13:21.823403	0 days 00:10:28.675421000	0.30000000000000004	2.38046355963519e-05	7	2			pyramid_4	COMPLETE
18	7.8867051208899	2020-07-28 00:13:21.823923	2020-07-28 00:19:45.927938	0 days 00:06:24.104015000	0.1	0.00015546635643167662	8	3	pyramid_2			COMPLETE
19	7.896920512999065	2020-07-28 00:19:45.928461	2020-07-28 00:28:01.752661	0 days 00:08:15.824200000	0.45	0.001032737032785702	7	2			pyramid_4	COMPLETE
20	14.570148114860208	2020-07-28 00:28:01.768879	2020-07-28 02:37:26.122788	0 days 02:09:24.353909000		0.029792350253650162	9	1				COMPLETE
21	7.879202068045221	2020-07-28 02:37:26.160816	2020-07-28 02:46:39.899115	0 days 00:09:13.738299000	0.2	3.3116766683674933e-05	6	3		pyramid_4		COMPLETE
22	7.864452662709427	2020-07-28 02:46:39.899671	2020-07-28 02:56:43.773283	0 days 00:10:03.873612000	0.2	5.295458194721938e-05	6	3		pyramid_2		COMPLETE
23	7.874600132037924	2020-07-28 02:56:43.773807	2020-07-28 03:05:18.827654	0 days 00:08:35.053847000	0.15000000000000002	8.835654357463239e-05	6	3		pyramid_2		COMPLETE
24	7.860550134606167	2020-07-28 03:05:18.828188	2020-07-28 03:20:09.468228	0 days 00:14:50.640040000	0.2	1.7484976986549107e-05	7	3	flat			COMPLETE
