number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_two_layers_architecture_3	state
0	0.5084657105987102	2020-07-28 18:40:00.304675	2020-07-28 18:45:58.426091	0 days 00:05:58.121416000	0.2	3.1418853286521684e-05	9	3		COMPLETE
1	0.5154054623753621	2020-07-28 18:45:58.426608	2020-07-28 18:53:05.491737	0 days 00:07:07.065129000		0.00012002248180925376	6	1		COMPLETE
2	0.5176315527038399	2020-07-28 18:53:05.492247	2020-07-28 18:59:56.843895	0 days 00:06:51.351648000	0.15000000000000002	0.002448747744233864	7	2	flat	COMPLETE
3	0.5100691192975607	2020-07-28 18:59:56.844432	2020-07-28 19:05:59.935557	0 days 00:06:03.091125000	0.35000000000000003	2.0556752125201046e-05	8	2	flat	COMPLETE
4	0.5150137472105447	2020-07-28 19:05:59.936082	2020-07-28 19:11:37.113233	0 days 00:05:37.177151000		6.955392976501956e-05	6	1		COMPLETE
5	0.5095541180762845	2020-07-28 19:11:37.113754	2020-07-28 19:17:10.851233	0 days 00:05:33.737479000	0.1	5.432703288128528e-05	6	2	flat	COMPLETE
6	0.5215169185527185	2020-07-28 19:17:10.851751	2020-07-28 19:23:19.438358	0 days 00:06:08.586607000	0.5	0.011781265741585846	6	2	pyramid_4	COMPLETE
7	inf	2020-07-28 19:23:19.438889	2020-07-28 19:25:43.096318	0 days 00:02:23.657429000		0.028909603782537534	9	1		COMPLETE
8	0.5105082884366675	2020-07-28 19:25:43.096815	2020-07-28 19:31:45.299133	0 days 00:06:02.202318000	0.25	0.0003006696509854004	9	3		COMPLETE
9	0.5098293383288529	2020-07-28 19:31:45.299708	2020-07-28 19:37:35.078006	0 days 00:05:49.778298000	0.05	6.241172938634346e-05	8	2	pyramid_2	COMPLETE
10	0.5084636559636388	2020-07-28 19:37:35.078541	2020-07-28 19:43:42.021305	0 days 00:06:06.942764000	0.35000000000000003	1.133442198777881e-05	10	3		COMPLETE
11	0.5084647179893674	2020-07-28 19:43:42.021834	2020-07-28 19:50:00.044974	0 days 00:06:18.023140000	0.35000000000000003	1.178254802312703e-05	10	3		COMPLETE
12	0.5088698807093041	2020-07-28 19:50:00.065020	2020-07-28 19:56:08.213031	0 days 00:06:08.148011000	0.4	1.1772925194195175e-05	10	3		COMPLETE
13	0.5084785803114716	2020-07-28 19:56:08.213552	2020-07-28 20:02:59.780478	0 days 00:06:51.566926000	0.35000000000000003	1.0700747493958555e-05	10	3		COMPLETE
14	0.5093249382247101	2020-07-28 20:02:59.781016	2020-07-28 20:09:30.137835	0 days 00:06:30.356819000	0.5	0.0005648458248949292	10	3		COMPLETE
15	0.5080917094718858	2020-07-28 20:09:30.138368	2020-07-28 20:16:23.977647	0 days 00:06:53.839279000	0.30000000000000004	1.0624136782663695e-05	10	3		COMPLETE
16	0.5105638100290107	2020-07-28 20:16:23.978187	2020-07-28 20:22:46.474961	0 days 00:06:22.496774000	0.25	0.00022258776764462688	9	3		COMPLETE
17	0.5104156688925209	2020-07-28 20:22:46.475503	2020-07-28 20:28:47.551674	0 days 00:06:01.076171000	0.45	2.3775858464600403e-05	10	3		COMPLETE
18	0.5098688427379193	2020-07-28 20:28:47.552217	2020-07-28 20:34:28.248274	0 days 00:05:40.696057000	0.30000000000000004	0.0009584456357986513	9	3		COMPLETE
19	0.5133043550456209	2020-07-28 20:34:28.248801	2020-07-28 20:40:20.524572	0 days 00:05:52.275771000	0.4	0.0024340315459200246	7	2	pyramid_2	COMPLETE
20	0.5076640427922896	2020-07-28 20:40:20.525137	2020-07-28 20:46:42.763302	0 days 00:06:22.238165000	0.2	1.0898538176871772e-05	10	3		COMPLETE
21	0.5076141968760495	2020-07-28 20:46:42.763864	2020-07-28 20:53:15.629099	0 days 00:06:32.865235000	0.2	1.0835995301853532e-05	10	3		COMPLETE
22	0.5074791651579551	2020-07-28 20:53:15.629629	2020-07-28 20:59:29.069204	0 days 00:06:13.439575000	0.15000000000000002	2.865769496084901e-05	10	3		COMPLETE
23	0.5082943067959114	2020-07-28 20:59:29.077519	2020-07-28 21:05:22.033243	0 days 00:05:52.955724000	0.15000000000000002	2.8367455115533105e-05	9	3		COMPLETE
24	0.5112516304452727	2020-07-28 21:05:22.033787	2020-07-28 21:13:26.989198	0 days 00:08:04.955411000	0.15000000000000002	0.0001104518484198962	10	3		COMPLETE
