number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5182445462848316	2020-07-27 16:57:11.055008	2020-07-27 17:04:27.454471	0 days 00:07:16.399463000		0.003110089139983862	9	1					COMPLETE
1	0.5696090956535306	2020-07-27 17:04:27.454950	2020-07-27 17:10:19.981780	0 days 00:05:52.526830000	0.5	0.011430936991342597	8	2				pyramid_2	COMPLETE
2	0.5772993256984613	2020-07-27 17:10:19.982240	2020-07-27 17:16:24.722514	0 days 00:06:04.740274000	0.35000000000000003	0.0030631316515081666	9	2			pyramid_2		COMPLETE
3	0.5664386569966688	2020-07-27 17:16:24.723004	2020-07-27 17:22:15.343704	0 days 00:05:50.620700000	0.0	0.00041022949560995517	9	2			flat		COMPLETE
4	0.51341666622145	2020-07-27 17:22:15.344191	2020-07-27 17:28:40.715712	0 days 00:06:25.371521000	0.35000000000000003	1.8682362303497386e-05	10	2					COMPLETE
5	0.514646016971713	2020-07-27 17:28:40.716203	2020-07-27 17:34:34.793221	0 days 00:05:54.077018000	0.5	2.7025530502680196e-05	9	2			flat		COMPLETE
6	0.5535505390184101	2020-07-27 17:34:34.793732	2020-07-27 17:41:05.780422	0 days 00:06:30.986690000	0.45	0.00019152554520898701	8	3	pyramid_2				COMPLETE
7	0.5127986069265242	2020-07-27 17:41:05.780934	2020-07-27 17:48:13.231880	0 days 00:07:07.450946000		1.0985737363866943e-05	6	1					COMPLETE
8	0.514602608226233	2020-07-27 17:48:13.232349	2020-07-27 17:54:32.356462	0 days 00:06:19.124113000		0.0011425806906705076	6	1					COMPLETE
9	0.5593936793043168	2020-07-27 17:54:32.356920	2020-07-27 18:01:26.214552	0 days 00:06:53.857632000	0.0	0.004264647225091346	10	3					COMPLETE
10	0.5130211155264911	2020-07-27 18:01:26.227141	2020-07-27 18:07:14.478099	0 days 00:05:48.250958000		6.073858125996697e-05	6	1					COMPLETE
11	0.5131965343296581	2020-07-27 18:07:14.478592	2020-07-27 18:13:11.893035	0 days 00:05:57.414443000		7.431525443834688e-05	6	1					COMPLETE
12	0.5129167977897179	2020-07-27 18:13:11.893504	2020-07-27 18:20:05.310281	0 days 00:06:53.416777000		1.4108878866115323e-05	7	1					COMPLETE
13	0.5129581017532147	2020-07-27 18:20:05.310759	2020-07-27 18:26:39.712232	0 days 00:06:34.401473000		1.0094399865854018e-05	7	1					COMPLETE
14	0.5126383511031444	2020-07-27 18:26:39.712683	2020-07-27 18:32:42.468019	0 days 00:06:02.755336000		1.863913298931881e-05	7	1					COMPLETE
15	0.5133095044744004	2020-07-27 18:32:42.468466	2020-07-27 18:38:32.263559	0 days 00:05:49.795093000		5.293647763911485e-05	7	1					COMPLETE
16	0.5149235021656957	2020-07-27 18:38:32.264005	2020-07-27 18:46:09.759312	0 days 00:07:37.495307000		0.00016690360601002166	7	1					COMPLETE
17	0.5125674254993334	2020-07-27 18:46:09.759791	2020-07-27 18:52:47.429417	0 days 00:06:37.669626000		2.639018383488807e-05	6	1					COMPLETE
18	0.5130402588173945	2020-07-27 18:52:47.429903	2020-07-27 18:59:17.194263	0 days 00:06:29.764360000	0.15000000000000002	3.1627794858305186e-05	7	2				flat	COMPLETE
19	0.5565799769259048	2020-07-27 18:59:17.194769	2020-07-27 19:05:57.188713	0 days 00:06:39.993944000	0.15000000000000002	0.00014966073661825747	6	3		pyramid_2			COMPLETE
20	0.5145328650369146	2020-07-27 19:05:57.189222	2020-07-27 19:12:07.946028	0 days 00:06:10.756806000		0.0005407232429268899	8	1					COMPLETE
21	0.5128149351597254	2020-07-27 19:12:07.946488	2020-07-27 19:19:04.224652	0 days 00:06:56.278164000		1.0691460397662995e-05	6	1					COMPLETE
22	0.512799857695265	2020-07-27 19:19:04.225122	2020-07-27 19:25:56.932175	0 days 00:06:52.707053000		1.1011669922037054e-05	6	1					COMPLETE
23	0.5133222895587681	2020-07-27 19:25:56.932648	2020-07-27 19:31:53.521462	0 days 00:05:56.588814000		3.4109881002595456e-05	7	1					COMPLETE
24	0.5133275142504408	2020-07-27 19:31:53.521933	2020-07-27 19:37:23.728058	0 days 00:05:30.206125000		9.232358156578541e-05	6	1					COMPLETE
