number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	0.4771741234857777	2020-07-27 22:12:43.424628	2020-07-27 22:20:03.279821	0 days 00:07:19.855193000	0.5	1.808420435848414e-05	6	3		flat		COMPLETE
1	0.4753422447359741	2020-07-27 22:20:03.280365	2020-07-27 22:26:24.301178	0 days 00:06:21.020813000		0.00015617512870367238	9	1				COMPLETE
2	0.4750428829176251	2020-07-27 22:26:24.301665	2020-07-27 22:34:05.340588	0 days 00:07:41.038923000		0.0007062185270631274	10	1				COMPLETE
3	0.5332973675715196	2020-07-27 22:34:05.341210	2020-07-27 22:40:07.750152	0 days 00:06:02.408942000	0.25	0.001482100011382504	6	2			pyramid_2	COMPLETE
4	0.5028514097434666	2020-07-27 22:40:07.750626	2020-07-27 22:46:03.152693	0 days 00:05:55.402067000	0.4	0.00010300297184325057	6	2			flat	COMPLETE
5	0.5114117935882218	2020-07-27 22:46:03.153154	2020-07-27 22:52:47.709883	0 days 00:06:44.556729000	0.5	0.0004780498304682083	10	3				COMPLETE
6	0.4760682062069786	2020-07-27 22:52:47.710336	2020-07-27 22:58:55.443967	0 days 00:06:07.733631000		4.1578959513515483e-05	9	1				COMPLETE
7	0.5051351375967712	2020-07-27 22:58:55.444431	2020-07-27 23:05:40.618556	0 days 00:06:45.174125000	0.45	0.0012405992589241577	10	2				COMPLETE
8	0.4754252943178914	2020-07-27 23:05:40.619061	2020-07-27 23:12:27.363642	0 days 00:06:46.744581000		1.5740127278654567e-05	9	1				COMPLETE
9	0.4911625022652084	2020-07-27 23:12:27.364122	2020-07-27 23:19:11.569872	0 days 00:06:44.205750000	0.25	0.011176937706662443	8	3	pyramid_2			COMPLETE
10	0.49338792625852224	2020-07-27 23:19:11.577613	2020-07-27 23:25:56.514290	0 days 00:06:44.936677000		0.01518255422804948	7	1				COMPLETE
11	0.47538615532157485	2020-07-27 23:25:56.514728	2020-07-27 23:32:12.308776	0 days 00:06:15.794048000		0.00018358873135909	9	1				COMPLETE
12	0.480055810957014	2020-07-27 23:32:12.322781	2020-07-27 23:39:17.612728	0 days 00:07:05.289947000		0.0026341272295011763	10	1				COMPLETE
13	0.47503784965562357	2020-07-27 23:39:17.613190	2020-07-27 23:45:49.793407	0 days 00:06:32.180217000		0.00031195652022727197	8	1				COMPLETE
14	0.5318141178094002	2020-07-27 23:45:49.793858	2020-07-27 23:52:27.590179	0 days 00:06:37.796321000	0.0	0.0005163254784856172	8	2			pyramid_4	COMPLETE
15	0.4780585528372875	2020-07-27 23:52:27.590632	2020-07-27 23:59:04.920023	0 days 00:06:37.329391000		0.006106277291927216	7	1				COMPLETE
16	0.5281549610842866	2020-07-27 23:59:04.920498	2020-07-28 00:05:02.800943	0 days 00:05:57.880445000	0.0	0.0003369747436722003	7	2			pyramid_4	COMPLETE
17	0.47564440874796227	2020-07-28 00:05:02.801429	2020-07-28 00:11:16.585756	0 days 00:06:13.784327000		6.33971721528141e-05	8	1				COMPLETE
18	0.4746821461482769	2020-07-28 00:11:16.586208	2020-07-28 00:18:42.057665	0 days 00:07:25.471457000		0.00118733780544446	10	1				COMPLETE
19	0.5320655111823853	2020-07-28 00:18:42.058142	2020-07-28 00:24:39.280348	0 days 00:05:57.222206000	0.1	0.003634624449744993	7	2			pyramid_2	COMPLETE
20	0.47438829946475786	2020-07-28 00:24:39.281545	2020-07-28 00:31:31.422497	0 days 00:06:52.140952000		0.0013895307809490144	9	1				COMPLETE
21	0.4750403257010786	2020-07-28 00:31:31.422952	2020-07-28 00:38:11.141975	0 days 00:06:39.719023000		0.001320245445212239	9	1				COMPLETE
22	0.4747736920559965	2020-07-28 00:38:11.156312	2020-07-28 00:44:18.126972	0 days 00:06:06.970660000		0.0002795155194806313	8	1				COMPLETE
23	0.4781627522745984	2020-07-28 00:44:18.127424	2020-07-28 00:51:03.395889	0 days 00:06:45.268465000		0.0030415749867333626	9	1				COMPLETE
24	0.47494598980270375	2020-07-28 00:51:03.396341	2020-07-28 00:58:00.709348	0 days 00:06:57.313007000		0.0010166088982719885	10	1				COMPLETE
