number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.47133015136314005	2020-07-28 04:01:34.009200	2020-07-28 04:08:55.594033	0 days 00:07:21.584833000		0.0013978025030827587	9	1				COMPLETE
1	0.5640344965670827	2020-07-28 04:08:55.594516	2020-07-28 04:15:05.385434	0 days 00:06:09.790918000	0.1	0.012785303479388338	9	2		flat		COMPLETE
2	0.47132041241741096	2020-07-28 04:15:05.385936	2020-07-28 04:21:06.591665	0 days 00:06:01.205729000	0.45	4.843320756007145e-05	6	3	flat			COMPLETE
3	0.48872429061336503	2020-07-28 04:21:06.592215	2020-07-28 04:27:33.288705	0 days 00:06:26.696490000	0.5	0.00035681773764009603	9	3				COMPLETE
4	0.46959566295431526	2020-07-28 04:27:33.289275	2020-07-28 04:34:20.358683	0 days 00:06:47.069408000	0.1	1.0327923099153912e-05	8	2			pyramid_4	COMPLETE
5	inf	2020-07-28 04:34:20.359252	2020-07-28 04:36:41.682630	0 days 00:02:21.323378000	0.05	0.01888642741057841	9	3				COMPLETE
6	0.46992770487602364	2020-07-28 04:36:41.683166	2020-07-28 04:44:54.462845	0 days 00:08:12.779679000		1.892298831380817e-05	9	1				COMPLETE
7	0.469936678157034	2020-07-28 04:44:54.463388	2020-07-28 04:51:34.290700	0 days 00:06:39.827312000	0.0	1.6050869934860314e-05	8	2			pyramid_4	COMPLETE
8	0.4708011147577503	2020-07-28 04:51:34.291235	2020-07-28 04:57:39.003786	0 days 00:06:04.712551000	0.5	4.334185668161148e-05	6	3	pyramid_2			COMPLETE
9	0.5093102188447637	2020-07-28 04:57:39.004337	2020-07-28 05:03:49.856475	0 days 00:06:10.852138000	0.0	0.00036667200073493996	9	3				COMPLETE
10	0.48922515644508585	2020-07-28 05:03:49.857031	2020-07-28 05:09:55.609062	0 days 00:06:05.752031000	0.25	0.002340310241024223	7	2			pyramid_4	COMPLETE
11	0.4705077508240016	2020-07-28 05:09:55.621483	2020-07-28 05:18:08.789522	0 days 00:08:13.168039000		1.039214444785733e-05	10	1				COMPLETE
12	0.46976029899455507	2020-07-28 05:18:08.790059	2020-07-28 05:25:15.954369	0 days 00:07:07.164310000		8.582602346409152e-05	8	1				COMPLETE
13	0.49562529952287887	2020-07-28 05:25:15.954900	2020-07-28 05:31:02.195690	0 days 00:05:46.240790000	0.2	0.00011962088617826592	7	2			flat	COMPLETE
14	0.46969849700657906	2020-07-28 05:31:02.196226	2020-07-28 05:38:19.457332	0 days 00:07:17.261106000		0.00011366906360275463	8	1				COMPLETE
15	0.4977143517113912	2020-07-28 05:38:19.457863	2020-07-28 05:44:09.099614	0 days 00:05:49.641751000	0.35000000000000003	0.00015908782010812933	7	2			pyramid_2	COMPLETE
16	0.47054115566587573	2020-07-28 05:44:09.100140	2020-07-28 05:52:13.157615	0 days 00:08:04.057475000		0.001093061955928488	8	1				COMPLETE
17	0.5336678123103107	2020-07-28 05:52:13.158152	2020-07-28 05:59:26.650814	0 days 00:07:13.492662000	0.15000000000000002	0.0049056524687000145	10	2				COMPLETE
18	0.4698022560031935	2020-07-28 05:59:26.651345	2020-07-28 06:07:11.402391	0 days 00:07:44.751046000		3.141644256522396e-05	7	1				COMPLETE
19	0.46981502134287706	2020-07-28 06:07:11.402906	2020-07-28 06:14:06.758566	0 days 00:06:55.355660000	0.30000000000000004	1.0031153085747135e-05	8	2			pyramid_4	COMPLETE
20	0.4696420078631737	2020-07-28 06:14:06.759108	2020-07-28 06:21:27.355401	0 days 00:07:20.596293000		0.000209911957915716	7	1				COMPLETE
21	0.4696300898314998	2020-07-28 06:21:27.355926	2020-07-28 06:28:40.659250	0 days 00:07:13.303324000		0.00019095236135920011	7	1				COMPLETE
22	0.46964715255750794	2020-07-28 06:28:40.659781	2020-07-28 06:36:04.902393	0 days 00:07:24.242612000		0.0002471500631713633	7	1				COMPLETE
23	0.5016355098046422	2020-07-28 06:36:04.912023	2020-07-28 06:42:25.408278	0 days 00:06:20.496255000	0.1	0.0007616853014211539	6	2			pyramid_4	COMPLETE
24	0.46968184166055776	2020-07-28 06:42:25.408806	2020-07-28 06:49:35.733423	0 days 00:07:10.324617000		0.000552520978791924	7	1				COMPLETE
