number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	0.4897276246711978	2020-07-27 04:32:09.254019	2020-07-27 04:42:05.655951	0 days 00:09:56.401932000	0.45	0.00013894596699478236	10	3				COMPLETE
1	0.49288401069549304	2020-07-27 04:42:05.656460	2020-07-27 04:50:50.995492	0 days 00:08:45.339032000	0.0	0.01255677188621098	6	2			pyramid_2	COMPLETE
2	0.4906082163438855	2020-07-27 04:50:50.996004	2020-07-27 05:02:20.594749	0 days 00:11:29.598745000	0.35000000000000003	0.0011137569133210566	9	3				COMPLETE
3	0.48980611412436903	2020-07-27 05:02:20.595329	2020-07-27 05:11:24.453252	0 days 00:09:03.857923000	0.05	5.39228826349695e-05	9	3				COMPLETE
4	0.4958832660892739	2020-07-27 05:11:24.453761	2020-07-27 05:24:15.003234	0 days 00:12:50.549473000	0.4	0.004182635467091677	10	2				COMPLETE
5	0.49635479843967834	2020-07-27 05:24:15.003735	2020-07-27 05:31:15.070297	0 days 00:07:00.066562000	0.30000000000000004	0.004248965001238374	10	2				COMPLETE
6	0.5010750872339461	2020-07-27 05:31:15.070801	2020-07-27 05:38:24.075334	0 days 00:07:09.004533000		0.0024809888896080144	7	1				COMPLETE
7	0.48911108374466	2020-07-27 05:38:24.097849	2020-07-27 05:58:08.720615	0 days 00:19:44.622766000	0.5	1.6360929171057095e-05	8	3	flat			COMPLETE
8	0.498772470488001	2020-07-27 05:58:08.721175	2020-07-27 06:27:00.504998	0 days 00:28:51.783823000		1.3498552726969276e-05	7	1				COMPLETE
9	0.49558599241751244	2020-07-27 06:27:00.506655	2020-07-27 06:33:59.446988	0 days 00:06:58.940333000	0.15000000000000002	0.010292932982180793	8	2			pyramid_2	COMPLETE
10	0.4894905531567941	2020-07-27 06:33:59.447511	2020-07-27 06:50:13.295901	0 days 00:16:13.848390000	0.2	1.3302927412236075e-05	8	3	flat			COMPLETE
11	0.48951614567602014	2020-07-27 06:50:13.318411	2020-07-27 07:06:34.563927	0 days 00:16:21.245516000	0.2	1.0954015390635859e-05	8	3	flat			COMPLETE
12	0.48910150987656353	2020-07-27 07:06:34.564475	2020-07-27 07:26:33.315626	0 days 00:19:58.751151000	0.5	4.795893985535855e-05	7	3	flat			COMPLETE
13	0.4893591509982427	2020-07-27 07:26:33.316186	2020-07-27 07:38:13.946612	0 days 00:11:40.630426000	0.5	7.768281554262861e-05	6	3		pyramid_4		COMPLETE
14	0.4894898243114326	2020-07-27 07:38:13.947182	2020-07-27 07:54:29.045565	0 days 00:16:15.098383000	0.5	0.00023453176166150696	7	3	flat			COMPLETE
15	0.4896480019817414	2020-07-27 07:54:29.058647	2020-07-27 08:11:37.119698	0 days 00:17:08.061051000	0.5	2.921221097902391e-05	7	2			pyramid_4	COMPLETE
16	0.4893337559120178	2020-07-27 08:11:37.120253	2020-07-27 08:22:26.305085	0 days 00:10:49.184832000	0.4	3.689783625186691e-05	9	3				COMPLETE
17	0.48964410176930034	2020-07-27 08:22:26.305624	2020-07-27 08:38:20.571174	0 days 00:15:54.265550000	0.4	0.00039680068212977177	6	3		flat		COMPLETE
18	0.48992613978973315	2020-07-27 08:38:20.571696	2020-07-27 09:01:25.319735	0 days 00:23:04.748039000	0.30000000000000004	2.6147822706826644e-05	7	2			flat	COMPLETE
19	0.49900636376820756	2020-07-27 09:01:25.320633	2020-07-27 09:23:04.791142	0 days 00:21:39.470509000		0.00017766182477527704	8	1				COMPLETE
20	0.48928604559454925	2020-07-27 09:23:04.801764	2020-07-27 09:35:08.074721	0 days 00:12:03.272957000	0.5	9.205307908863646e-05	9	3				COMPLETE
21	0.489371213353223	2020-07-27 09:35:08.075265	2020-07-27 09:46:41.147477	0 days 00:11:33.072212000	0.5	8.871077598908792e-05	9	3				COMPLETE
22	0.4894311589852915	2020-07-27 09:46:41.148051	2020-07-27 10:00:47.416089	0 days 00:14:06.268038000	0.45	2.300755222462405e-05	9	3				COMPLETE
23	0.49130245427982067	2020-07-27 10:00:47.416640	2020-07-27 10:11:32.078906	0 days 00:10:44.662266000	0.45	0.0006257769256797193	8	3	pyramid_2			COMPLETE
24	0.48906969982327736	2020-07-27 10:11:32.079417	2020-07-27 10:34:15.027064	0 days 00:22:42.947647000	0.5	6.121318450126179e-05	7	3	flat			COMPLETE
