number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.504289873815854	2020-07-27 16:40:10.157050	2020-07-27 16:46:29.804460	0 days 00:06:19.647410000		0.003417105959801677	9	1					COMPLETE
1	0.4893770677935042	2020-07-27 16:46:29.804984	2020-07-27 16:55:26.626067	0 days 00:08:56.821083000	0.0	5.853214447923698e-05	9	2			flat		COMPLETE
2	0.4899394633333412	2020-07-27 16:55:26.626628	2020-07-27 17:07:03.076643	0 days 00:11:36.450015000	0.25	0.0013680299181832623	9	2			pyramid_2		COMPLETE
3	0.4897246919668071	2020-07-27 17:07:03.077175	2020-07-27 17:16:57.052458	0 days 00:09:53.975283000	0.0	0.001981411975637519	10	3					COMPLETE
4	0.5068045349271658	2020-07-27 17:16:57.053361	2020-07-27 17:33:22.958872	0 days 00:16:25.905511000	0.30000000000000004	0.0017531697732183823	6	2				flat	COMPLETE
5	0.48816879506860344	2020-07-27 17:33:22.959421	2020-07-27 17:47:37.403288	0 days 00:14:14.443867000	0.35000000000000003	1.8494640974856206e-05	8	3	flat				COMPLETE
6	0.5182951912042659	2020-07-27 17:47:37.405905	2020-07-27 17:54:59.358497	0 days 00:07:21.952592000	0.15000000000000002	0.010168585777885694	6	3		pyramid_4			COMPLETE
7	0.491025571616314	2020-07-27 17:54:59.359097	2020-07-27 18:07:26.595063	0 days 00:12:27.235966000	0.2	0.002872961257993905	10	3					COMPLETE
8	0.49886359886419523	2020-07-27 18:07:26.595628	2020-07-27 18:16:20.121037	0 days 00:08:53.525409000		0.0024310704579336598	6	1					COMPLETE
9	0.4892261508115296	2020-07-27 18:16:20.121581	2020-07-27 18:26:35.821500	0 days 00:10:15.699919000	0.15000000000000002	0.0001116941412438259	10	3					COMPLETE
10	0.48816857215036663	2020-07-27 18:26:35.822080	2020-07-27 19:00:01.708407	0 days 00:33:25.886327000	0.5	1.551365082059796e-05	7	3	flat				COMPLETE
11	0.4881532229420084	2020-07-27 19:00:01.721760	2020-07-27 19:38:17.580311	0 days 00:38:15.858551000	0.5	1.3104963050399805e-05	7	3	flat				COMPLETE
12	0.48814894627931243	2020-07-27 19:38:17.580876	2020-07-27 20:21:07.747964	0 days 00:42:50.167088000	0.5	1.033836203808459e-05	7	3	flat				COMPLETE
13	0.4889568822568093	2020-07-27 20:21:07.748551	2020-07-27 20:33:22.404888	0 days 00:12:14.656337000	0.5	0.00018185089765597129	7	2				pyramid_4	COMPLETE
14	0.48810677892640447	2020-07-27 20:33:22.405458	2020-07-27 20:54:12.580021	0 days 00:20:50.174563000	0.4	3.13649289522675e-05	7	3	flat				COMPLETE
15	0.48870048769909114	2020-07-27 20:54:12.580574	2020-07-27 21:07:57.415584	0 days 00:13:44.835010000	0.4	2.682983383385041e-05	8	2				pyramid_2	COMPLETE
16	0.48923512219462323	2020-07-27 21:07:57.416151	2020-07-27 21:18:05.242559	0 days 00:10:07.826408000	0.4	0.0003552462567515566	7	3	pyramid_2				COMPLETE
17	0.48806170734943005	2020-07-27 21:18:05.243140	2020-07-27 21:31:28.928977	0 days 00:13:23.685837000	0.45	4.885872290190083e-05	8	3	flat				COMPLETE
18	0.48850561667244924	2020-07-27 21:31:28.929504	2020-07-27 21:42:12.976445	0 days 00:10:44.046941000	0.4	5.1106261408922925e-05	8	2				pyramid_4	COMPLETE
19	0.4980613773403171	2020-07-27 21:42:12.976964	2020-07-27 21:57:38.407131	0 days 00:15:25.430167000		0.0005412803187237573	8	1					COMPLETE
20	0.4885419011047517	2020-07-27 21:57:38.407647	2020-07-27 22:07:55.872549	0 days 00:10:17.464902000	0.45	4.319186906204899e-05	9	3					COMPLETE
21	0.48813225110243175	2020-07-27 22:07:55.873087	2020-07-27 22:42:32.918741	0 days 00:34:37.045654000	0.45	1.099189092007641e-05	7	3	flat				COMPLETE
22	0.4882282105160281	2020-07-27 22:42:32.919293	2020-07-27 22:57:11.924891	0 days 00:14:39.005598000	0.35000000000000003	8.582942623445719e-05	7	3	flat				COMPLETE
23	0.4881340325865145	2020-07-27 22:57:11.933285	2020-07-27 23:11:12.546399	0 days 00:14:00.613114000	0.45	3.0469946260085627e-05	8	3	flat				COMPLETE
24	0.4883342316194002	2020-07-27 23:11:12.546928	2020-07-27 23:22:00.345029	0 days 00:10:47.798101000	0.45	0.00014467477842100256	6	3		pyramid_2			COMPLETE
