number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	7.689971564730367	2020-07-29 03:58:02.687652	2020-07-29 04:11:04.506207	0 days 00:13:01.818555000	0.35000000000000003	3.742978483098027e-05	9	3					COMPLETE
1	7.680000006973081	2020-07-29 04:11:04.506724	2020-07-29 04:22:32.612771	0 days 00:11:28.106047000	0.5	0.00018053310240120945	6	3		pyramid_4			COMPLETE
2	7.687942434419669	2020-07-29 04:22:32.613285	2020-07-29 04:35:22.611063	0 days 00:12:49.997778000	0.35000000000000003	4.715712004304979e-05	9	3					COMPLETE
3	7.779368626954093	2020-07-29 04:35:22.611570	2020-07-29 04:47:13.829128	0 days 00:11:51.217558000	0.05	3.251956540185514e-05	8	3	flat				COMPLETE
4	7.903087991056473	2020-07-29 04:47:13.829634	2020-07-29 04:57:39.788204	0 days 00:10:25.958570000		0.023455514119468703	9	1					COMPLETE
5	7.691854975157746	2020-07-29 04:57:39.788722	2020-07-29 05:08:38.829355	0 days 00:10:59.040633000	0.30000000000000004	0.00026985991872440526	6	3		pyramid_4			COMPLETE
6	7.774785759469278	2020-07-29 05:08:38.829861	2020-07-29 05:20:33.984778	0 days 00:11:55.154917000		0.0008899896561778844	10	1					COMPLETE
7	7.696057313199371	2020-07-29 05:20:33.985358	2020-07-29 05:31:23.949790	0 days 00:10:49.964432000	0.5	0.0033254157587037925	7	3	pyramid_2				COMPLETE
8	8.094313041945318	2020-07-29 05:31:23.950308	2020-07-29 05:41:57.354716	0 days 00:10:33.404408000		4.6610084915020696e-05	6	1					COMPLETE
9	7.712243397667086	2020-07-29 05:41:57.355216	2020-07-29 05:57:01.262037	0 days 00:15:03.906821000	0.4	2.138120103690238e-05	9	2			flat		COMPLETE
10	7.830757129730284	2020-07-29 05:57:01.262539	2020-07-29 06:07:39.262470	0 days 00:10:37.999931000	0.1	0.00020526095803105284	7	2				pyramid_2	COMPLETE
11	7.700832544621606	2020-07-29 06:07:39.262999	2020-07-29 06:18:45.069744	0 days 00:11:05.806745000	0.5	0.00014992164915026869	10	2					COMPLETE
12	7.701086359298175	2020-07-29 06:18:45.070238	2020-07-29 06:33:21.545444	0 days 00:14:36.475206000	0.2	1.0342964907749754e-05	8	3	pyramid_2				COMPLETE
13	7.69274106597383	2020-07-29 06:33:21.545986	2020-07-29 06:43:50.732869	0 days 00:10:29.186883000	0.45	0.001233756893052549	7	3	flat				COMPLETE
14	7.708002995517844	2020-07-29 06:43:50.733358	2020-07-29 06:54:51.804083	0 days 00:11:01.070725000	0.2	0.00012125089185009832	9	2			pyramid_2		COMPLETE
15	7.662037502561254	2020-07-29 06:54:51.804659	2020-07-29 07:11:37.483522	0 days 00:16:45.678863000	0.4	1.1491269216852506e-05	10	3					COMPLETE
16	7.709291631147468	2020-07-29 07:11:37.483993	2020-07-29 07:22:32.278541	0 days 00:10:54.794548000	0.5	0.006454214803477194	6	2				pyramid_4	COMPLETE
17	7.661781380272439	2020-07-29 07:22:32.279010	2020-07-29 07:38:59.615056	0 days 00:16:27.336046000	0.4	1.04931549432956e-05	10	3					COMPLETE
18	7.658800962301753	2020-07-29 07:38:59.615558	2020-07-29 07:53:54.837799	0 days 00:14:55.222241000	0.4	1.4905062594908105e-05	10	3					COMPLETE
19	7.723573291712296	2020-07-29 07:53:54.838278	2020-07-29 08:06:33.565352	0 days 00:12:38.727074000	0.25	1.5346484100115858e-05	10	2					COMPLETE
20	7.655260278372531	2020-07-29 08:06:33.565900	2020-07-29 08:17:49.427847	0 days 00:11:15.861947000	0.4	7.45926524230127e-05	10	3					COMPLETE
21	7.655865888717471	2020-07-29 08:17:49.428305	2020-07-29 08:28:56.509888	0 days 00:11:07.081583000	0.4	7.412593277859637e-05	10	3					COMPLETE
22	7.655690356349154	2020-07-29 08:28:56.510394	2020-07-29 08:40:15.479106	0 days 00:11:18.968712000	0.30000000000000004	8.362351084450145e-05	10	3					COMPLETE
23	7.656652872245869	2020-07-29 08:40:15.479616	2020-07-29 08:51:41.632160	0 days 00:11:26.152544000	0.30000000000000004	8.109500755946456e-05	10	3					COMPLETE
24	7.678329940064362	2020-07-29 08:51:41.632688	2020-07-29 09:02:25.763788	0 days 00:10:44.131100000	0.30000000000000004	0.00047718862868637653	9	3					COMPLETE
