number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	7.747676608651428	2020-07-28 10:03:08.787549	2020-07-28 10:13:57.058077	0 days 00:10:48.270528000	0.30000000000000004	8.805497555302892e-05	8	2			flat	COMPLETE
1	7.763242867359327	2020-07-28 10:13:57.058598	2020-07-28 10:24:35.955996	0 days 00:10:38.897398000	0.4	8.433127467357631e-05	10	3				COMPLETE
2	7.849223945921232	2020-07-28 10:24:35.956495	2020-07-28 10:35:02.288853	0 days 00:10:26.332358000	0.0	0.016793471316662693	8	3	pyramid_2			COMPLETE
3	7.791711615164723	2020-07-28 10:35:02.289320	2020-07-28 10:45:25.863798	0 days 00:10:23.574478000	0.05	0.0006232848912185012	8	3	pyramid_2			COMPLETE
4	7.810604514745144	2020-07-28 10:45:25.864281	2020-07-28 10:55:53.316115	0 days 00:10:27.451834000		0.0042292400580253965	10	1				COMPLETE
5	7.858476522889209	2020-07-28 10:55:53.316607	2020-07-28 11:06:03.126238	0 days 00:10:09.809631000	0.45	0.003610542789175588	6	2			pyramid_4	COMPLETE
6	7.778995286675635	2020-07-28 11:06:03.126808	2020-07-28 11:18:55.843945	0 days 00:12:52.717137000		0.0003994644838084463	10	1				COMPLETE
7	7.807066753105255	2020-07-28 11:18:55.844435	2020-07-28 11:29:00.331468	0 days 00:10:04.487033000		0.0053408577599816116	8	1				COMPLETE
8	7.796591991367222	2020-07-28 11:29:00.331995	2020-07-28 11:39:13.190260	0 days 00:10:12.858265000	0.25	0.023850216595622677	6	2			pyramid_2	COMPLETE
9	7.871977605620142	2020-07-28 11:39:13.190762	2020-07-28 11:49:24.352480	0 days 00:10:11.161718000	0.0	0.0009048320800500608	8	2			flat	COMPLETE
10	7.747191697052928	2020-07-28 11:49:24.352971	2020-07-28 12:10:13.891121	0 days 00:20:49.538150000	0.25	1.1125001302220968e-05	7	2			flat	COMPLETE
11	7.747166450696114	2020-07-28 12:10:13.891670	2020-07-28 12:31:13.869468	0 days 00:20:59.977798000	0.25	1.114361452557183e-05	7	2			flat	COMPLETE
12	7.764348496351346	2020-07-28 12:31:13.870025	2020-07-28 12:51:46.259744	0 days 00:20:32.389719000	0.15000000000000002	1.1125817133604573e-05	7	2			flat	COMPLETE
13	7.7572566599015325	2020-07-28 12:51:46.260325	2020-07-28 13:10:28.819796	0 days 00:18:42.559471000	0.2	1.1487494316558686e-05	7	2			flat	COMPLETE
14	7.744133631950489	2020-07-28 13:10:28.820331	2020-07-28 13:23:54.033514	0 days 00:13:25.213183000	0.35000000000000003	2.684102986801902e-05	7	3	flat			COMPLETE
15	7.741346659972047	2020-07-28 13:23:54.034009	2020-07-28 13:35:57.657336	0 days 00:12:03.623327000	0.35000000000000003	4.758728191455001e-05	7	3	flat			COMPLETE
16	7.747056627889106	2020-07-28 13:35:57.657817	2020-07-28 13:46:56.158946	0 days 00:10:58.501129000	0.35000000000000003	5.043923064793354e-05	9	3				COMPLETE
17	7.771021318844347	2020-07-28 13:46:56.159433	2020-07-28 13:58:03.567130	0 days 00:11:07.407697000	0.5	4.014717374085343e-05	6	3		pyramid_4		COMPLETE
18	7.740887668149787	2020-07-28 13:58:03.567684	2020-07-28 14:09:19.115385	0 days 00:11:15.547701000	0.4	3.0499842346761042e-05	9	3				COMPLETE
19	7.752796063428497	2020-07-28 14:09:19.115892	2020-07-28 14:19:41.877129	0 days 00:10:22.761237000	0.5	0.00020540598658564662	9	3				COMPLETE
20	7.754121998322316	2020-07-28 14:19:41.877619	2020-07-28 14:30:00.712420	0 days 00:10:18.834801000	0.4	0.00019219335713105057	9	3				COMPLETE
21	7.745014127309155	2020-07-28 14:30:00.712881	2020-07-28 14:43:22.461196	0 days 00:13:21.748315000	0.35000000000000003	2.496576444386897e-05	7	3	flat			COMPLETE
22	7.742691493206659	2020-07-28 14:43:22.461691	2020-07-28 14:54:34.162415	0 days 00:11:11.700724000	0.35000000000000003	2.3082820366965823e-05	9	3				COMPLETE
23	7.740616616435434	2020-07-28 14:54:34.162899	2020-07-28 15:05:48.376124	0 days 00:11:14.213225000	0.45	2.647514835538301e-05	9	3				COMPLETE
24	7.747874630479169	2020-07-28 15:05:48.376574	2020-07-28 15:16:04.526922	0 days 00:10:16.150348000	0.45	9.553925039005641e-05	9	3				COMPLETE
