number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	7.383514086816924	2020-07-28 13:14:00.302062	2020-07-28 13:26:27.778445	0 days 00:12:27.476383000		0.0015015952501263666	9	1				COMPLETE
1	7.38081711686975	2020-07-28 13:26:27.778925	2020-07-28 13:38:54.896686	0 days 00:12:27.117761000		0.0018105509389686407	6	1				COMPLETE
2	7.422313555136494	2020-07-28 13:38:54.897131	2020-07-28 13:49:30.619825	0 days 00:10:35.722694000	0.15000000000000002	0.024452853823209064	6	2			flat	COMPLETE
3	7.390180325859737	2020-07-28 13:49:30.620264	2020-07-28 14:01:11.540280	0 days 00:11:40.920016000	0.15000000000000002	0.00047981290828971523	7	3	flat			COMPLETE
4	7.374248549619046	2020-07-28 14:01:11.540721	2020-07-28 14:18:12.669242	0 days 00:17:01.128521000		0.00029454194510686283	9	1				COMPLETE
5	7.443745010011709	2020-07-28 14:18:12.669772	2020-07-28 14:28:15.668415	0 days 00:10:02.998643000		0.008682342921412345	9	1				COMPLETE
6	7.575425108298277	2020-07-28 14:28:15.668861	2020-07-28 14:38:28.956375	0 days 00:10:13.287514000		0.025125516394460586	8	1				COMPLETE
7	7.522890975021241	2020-07-28 14:38:28.956843	2020-07-28 14:49:17.047726	0 days 00:10:48.090883000	0.05	0.006574730583318638	9	3				COMPLETE
8	7.366927671720874	2020-07-28 14:49:17.048186	2020-07-28 15:00:48.887332	0 days 00:11:31.839146000	0.25	0.00024297818498178385	8	3	flat			COMPLETE
9	7.410776611058297	2020-07-28 15:00:48.887885	2020-07-28 15:12:04.540837	0 days 00:11:15.652952000	0.45	0.00010538261504795205	9	2		flat		COMPLETE
10	7.3826504661769174	2020-07-28 15:12:04.541328	2020-07-28 15:28:12.857768	0 days 00:16:08.316440000	0.4	1.2000744492751836e-05	7	3	flat			COMPLETE
11	7.419316798418418	2020-07-28 15:28:12.858277	2020-07-28 15:39:45.538673	0 days 00:11:32.680396000	0.30000000000000004	9.053346214988892e-05	10	2				COMPLETE
12	7.41455130617393	2020-07-28 15:39:45.539229	2020-07-28 15:50:41.983074	0 days 00:10:56.443845000	0.30000000000000004	0.0001494310653264954	8	3	pyramid_2			COMPLETE
13	7.391176331537788	2020-07-28 15:50:41.983603	2020-07-28 16:02:07.744446	0 days 00:11:25.760843000	0.0	1.842371675190092e-05	10	2				COMPLETE
14	7.4136928774077315	2020-07-28 16:02:07.745085	2020-07-28 16:12:29.652454	0 days 00:10:21.907369000	0.15000000000000002	0.00036480141961100896	7	2			pyramid_2	COMPLETE
15	7.374287759715113	2020-07-28 16:12:29.652961	2020-07-28 16:24:14.252214	0 days 00:11:44.599253000	0.5	2.922091988407788e-05	8	3	flat			COMPLETE
16	7.377076022983757	2020-07-28 16:24:14.252729	2020-07-28 16:36:48.815062	0 days 00:12:34.562333000		0.0009706357063272207	10	1				COMPLETE
17	7.390443934379058	2020-07-28 16:36:48.815636	2020-07-28 16:48:17.615022	0 days 00:11:28.799386000	0.35000000000000003	4.9702160158304004e-05	9	2		pyramid_2		COMPLETE
18	7.387804148598965	2020-07-28 16:48:17.615510	2020-07-28 17:09:41.077299	0 days 00:21:23.461789000		0.0001951303800680621	8	1				COMPLETE
19	7.383678922159075	2020-07-28 17:09:41.077853	2020-07-28 17:21:22.384541	0 days 00:11:41.306688000	0.2	0.0003257327196189948	7	3	flat			COMPLETE
20	7.570992758078875	2020-07-28 17:21:22.385039	2020-07-28 17:32:10.280643	0 days 00:10:47.895604000	0.05	0.003003665374934895	9	2		flat		COMPLETE
21	7.36971409276394	2020-07-28 17:32:10.281176	2020-07-28 17:43:57.550546	0 days 00:11:47.269370000	0.5	3.832950287364808e-05	8	3	flat			COMPLETE
22	7.3692700510471925	2020-07-28 17:43:57.551090	2020-07-28 17:55:45.581236	0 days 00:11:48.030146000	0.5	5.512721471826257e-05	8	3	flat			COMPLETE
23	7.3691815567623715	2020-07-28 17:55:45.581775	2020-07-28 18:07:31.219052	0 days 00:11:45.637277000	0.5	4.7133703310866744e-05	8	3	flat			COMPLETE
24	7.377856703268333	2020-07-28 18:07:31.219547	2020-07-28 18:19:07.135875	0 days 00:11:35.916328000	0.45	6.365921610993361e-05	7	3	flat			COMPLETE
