number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	7.08979797714058	2020-07-27 22:56:08.131874	2020-07-27 23:08:45.476622	0 days 00:12:37.344748000	0.30000000000000004	1.0819500112724155e-05	10	3			COMPLETE
1	7.134066540462585	2020-07-27 23:08:45.477122	2020-07-27 23:19:18.196600	0 days 00:10:32.719478000	0.25	0.005974565509718073	7	2		pyramid_4	COMPLETE
2	7.172254701379966	2020-07-27 23:19:18.197095	2020-07-27 23:29:48.886022	0 days 00:10:30.688927000	0.05	8.256197688645145e-05	8	2		pyramid_4	COMPLETE
3	7.1345721553192005	2020-07-27 23:29:48.886518	2020-07-27 23:40:49.112956	0 days 00:11:00.226438000	0.45	0.0024826968330455054	10	3			COMPLETE
4	7.4433240882070795	2020-07-27 23:40:49.113458	2020-07-27 23:51:04.467747	0 days 00:10:15.354289000		0.0232138445196529	9	1			COMPLETE
5	7.153984978282062	2020-07-27 23:51:04.468205	2020-07-28 00:01:17.608493	0 days 00:10:13.140288000		0.0041596162144818104	7	1			COMPLETE
6	7.104214970461359	2020-07-28 00:01:17.608974	2020-07-28 00:12:26.815053	0 days 00:11:09.206079000	0.5	6.926892937708006e-05	7	2		pyramid_2	COMPLETE
7	7.104278130299427	2020-07-28 00:12:26.815581	2020-07-28 00:23:51.820707	0 days 00:11:25.005126000	0.35000000000000003	6.676494688917122e-05	7	3	pyramid_2		COMPLETE
8	7.180261662409856	2020-07-28 00:23:51.821240	2020-07-28 00:34:08.402348	0 days 00:10:16.581108000		0.005615917995945418	8	1			COMPLETE
9	7.136764606290323	2020-07-28 00:34:08.402842	2020-07-28 00:44:46.644568	0 days 00:10:38.241726000	0.35000000000000003	0.012258950924243886	7	3	flat		COMPLETE
10	7.109624972369584	2020-07-28 00:44:46.645076	2020-07-28 00:56:27.696664	0 days 00:11:41.051588000	0.0	1.0200987926974105e-05	10	3			COMPLETE
11	7.09176735082166	2020-07-28 00:56:27.697185	2020-07-28 01:17:28.483047	0 days 00:21:00.785862000	0.5	1.0925631672141283e-05	6	2		pyramid_2	COMPLETE
12	7.107013864100664	2020-07-28 01:17:28.483567	2020-07-28 01:41:37.536622	0 days 00:24:09.053055000	0.15000000000000002	1.2143778165265574e-05	6	2		pyramid_2	COMPLETE
13	7.082175186332615	2020-07-28 01:41:37.537153	2020-07-28 01:53:48.839039	0 days 00:12:11.301886000	0.4	2.3332011705953877e-05	9	3			COMPLETE
14	7.080320703481173	2020-07-28 01:53:48.839655	2020-07-28 02:05:15.405459	0 days 00:11:26.565804000	0.35000000000000003	2.8333774513906973e-05	9	3			COMPLETE
15	7.149396479679988	2020-07-28 02:05:15.405970	2020-07-28 02:15:52.786008	0 days 00:10:37.380038000	0.4	0.0002688515092729747	9	3			COMPLETE
16	7.081441344405359	2020-07-28 02:15:52.786517	2020-07-28 02:27:14.876678	0 days 00:11:22.090161000	0.2	3.224731628473479e-05	9	3			COMPLETE
17	7.135446302661845	2020-07-28 02:27:14.877192	2020-07-28 02:37:46.365525	0 days 00:10:31.488333000	0.15000000000000002	0.0006283095901509929	9	3			COMPLETE
18	7.082522791800933	2020-07-28 02:37:46.365982	2020-07-28 02:49:11.456531	0 days 00:11:25.090549000	0.15000000000000002	3.456180864188815e-05	9	3			COMPLETE
19	7.104249544475903	2020-07-28 02:49:11.457033	2020-07-28 03:00:17.374825	0 days 00:11:05.917792000	0.2	0.00020099872378900042	8	2		flat	COMPLETE
20	7.167800915138791	2020-07-28 03:00:17.375338	2020-07-28 03:11:08.855716	0 days 00:10:51.480378000	0.25	0.0007067031084695716	10	3			COMPLETE
21	7.080958712819822	2020-07-28 03:11:08.856194	2020-07-28 03:22:27.613635	0 days 00:11:18.757441000	0.4	2.7430876889024334e-05	9	3			COMPLETE
22	7.082405111432602	2020-07-28 03:22:27.614137	2020-07-28 03:33:56.511717	0 days 00:11:28.897580000	0.30000000000000004	2.7132118890756774e-05	9	3			COMPLETE
23	7.143511922578281	2020-07-28 03:33:56.512288	2020-07-28 03:44:43.605824	0 days 00:10:47.093536000	0.4	0.0001873639379499158	9	3			COMPLETE
24	7.10859597727053	2020-07-28 03:44:43.606361	2020-07-28 03:56:17.056550	0 days 00:11:33.450189000	0.30000000000000004	3.288545769172349e-05	8	3	pyramid_2		COMPLETE
