number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	7.915819301746648	2020-07-24 12:14:35.648465	2020-07-24 12:30:12.372248	0 days 00:15:36.723783000		0.0005147361937645901	6	1					COMPLETE
1	7.910083342528489	2020-07-24 12:30:12.372803	2020-07-24 12:46:56.654530	0 days 00:16:44.281727000		4.830350087205865e-05	6	1					COMPLETE
2	7.914266774754819	2020-07-24 12:46:56.655054	2020-07-24 12:58:47.622858	0 days 00:11:50.967804000		8.811054334718346e-05	9	1					COMPLETE
3	7.577909458531434	2020-07-24 12:58:47.623394	2020-07-24 13:12:53.783876	0 days 00:14:06.160482000	0.5	0.00013749959460768846	9	2			pyramid_2		COMPLETE
4	7.593448558311706	2020-07-24 13:12:53.784498	2020-07-24 13:24:38.786964	0 days 00:11:45.002466000	0.0	0.0065380393623404014	6	3		pyramid_4			COMPLETE
5	7.575298581858996	2020-07-24 13:24:38.787534	2020-07-24 13:46:59.021131	0 days 00:22:20.233597000	0.5	2.5622512546130856e-05	10	2					COMPLETE
6	7.5910150439851956	2020-07-24 13:46:59.021752	2020-07-24 13:59:18.992483	0 days 00:12:19.970731000	0.4	0.005314111961492772	7	2				pyramid_2	COMPLETE
7	7.590987178760376	2020-07-24 13:59:18.993051	2020-07-24 14:10:46.864560	0 days 00:11:27.871509000	0.0	0.00196346770479186	9	2			pyramid_2		COMPLETE
8	7.562654511600941	2020-07-24 14:10:46.865127	2020-07-24 14:26:49.290169	0 days 00:16:02.425042000	0.4	0.00028364065845632244	6	3		pyramid_2			COMPLETE
9	7.91111677307213	2020-07-24 14:26:49.290783	2020-07-24 14:40:07.711678	0 days 00:13:18.420895000		4.498289136997826e-05	8	1					COMPLETE
10	7.567910382836276	2020-07-24 14:40:07.712257	2020-07-24 14:54:32.668259	0 days 00:14:24.956002000	0.25	0.0005829987901717181	7	3	flat				COMPLETE
11	7.566500604680214	2020-07-24 14:54:32.668842	2020-07-24 15:08:49.959057	0 days 00:14:17.290215000	0.25	0.0004621442853998348	7	3	flat				COMPLETE
12	7.565487308471133	2020-07-24 15:08:49.959670	2020-07-24 15:24:28.281648	0 days 00:15:38.321978000	0.25	0.000425454211716598	7	3	flat				COMPLETE
13	7.568220762084748	2020-07-24 15:24:28.282307	2020-07-24 15:38:59.860946	0 days 00:14:31.578639000	0.35000000000000003	0.00018131080602012042	7	3	pyramid_2				COMPLETE
14	7.8293678648377165	2020-07-24 15:38:59.861553	2020-07-24 15:50:45.290169	0 days 00:11:45.428616000	0.15000000000000002	0.0285153328011012	8	3	flat				COMPLETE
15	7.580409491670605	2020-07-24 15:50:45.290789	2020-07-24 16:37:33.964463	0 days 00:46:48.673674000	0.15000000000000002	1.0035800286764549e-05	6	3		pyramid_2			COMPLETE
16	7.5859603291587625	2020-07-24 16:37:33.965057	2020-07-24 16:52:06.030465	0 days 00:14:32.065408000	0.4	0.0014773073768118688	7	3	flat				COMPLETE
17	7.585131930614678	2020-07-24 16:52:06.031041	2020-07-24 17:10:45.601831	0 days 00:18:39.570790000	0.35000000000000003	0.00025416668101836904	6	2				flat	COMPLETE
18	7.5779004765036335	2020-07-24 17:10:45.602413	2020-07-24 17:22:38.113926	0 days 00:11:52.511513000	0.15000000000000002	0.001327601670266185	8	3	pyramid_2				COMPLETE
19	7.61886152203146	2020-07-24 17:22:38.114625	2020-07-24 17:36:52.545588	0 days 00:14:14.430963000	0.35000000000000003	0.005106051835048006	7	3	flat				COMPLETE
20	7.589225767059735	2020-07-24 17:36:52.546206	2020-07-24 17:50:49.354662	0 days 00:13:56.808456000	0.45	0.0007683487629133558	6	2				pyramid_4	COMPLETE
21	7.566322084017507	2020-07-24 17:50:49.355260	2020-07-24 18:05:55.149894	0 days 00:15:05.794634000	0.25	0.00034521342814562413	7	3	flat				COMPLETE
22	7.568140062418103	2020-07-24 18:05:55.150486	2020-07-24 18:21:10.288880	0 days 00:15:15.138394000	0.2	0.0002565444246691818	7	3	flat				COMPLETE
23	7.567496840864754	2020-07-24 18:21:10.289516	2020-07-24 18:36:50.749766	0 days 00:15:40.460250000	0.30000000000000004	8.758289758955988e-05	8	3	flat				COMPLETE
24	7.569328065004113	2020-07-24 18:36:50.750352	2020-07-24 18:50:03.361651	0 days 00:13:12.611299000	0.1	0.00029774383633367527	7	3	flat				COMPLETE
