number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	7.755062570053341	2020-07-25 01:27:28.278996	2020-07-25 01:40:24.039169	0 days 00:12:55.760173000	0.2	0.024001332551401154	8	3	flat			COMPLETE
1	7.590378568774428	2020-07-25 01:40:24.039740	2020-07-25 01:53:20.662025	0 days 00:12:56.622285000	0.30000000000000004	0.0006109010663551702	9	3				COMPLETE
2	7.599076215126885	2020-07-25 01:53:20.662586	2020-07-25 02:10:57.921838	0 days 00:17:37.259252000	0.35000000000000003	0.0002506784151509122	7	2			flat	COMPLETE
3	8.03719265594731	2020-07-25 02:10:57.922398	2020-07-25 02:22:56.381288	0 days 00:11:58.458890000		0.02042087283113204	7	1				COMPLETE
4	7.613058293663495	2020-07-25 02:22:56.381830	2020-07-25 02:34:52.304210	0 days 00:11:55.922380000	0.35000000000000003	0.002450117843082103	7	3	pyramid_2			COMPLETE
5	7.582481934955409	2020-07-25 02:34:52.304722	2020-07-25 02:46:53.746733	0 days 00:12:01.442011000	0.05	0.00011984977205894896	9	3				COMPLETE
6	7.5951740302445865	2020-07-25 02:46:53.747259	2020-07-25 03:09:15.731481	0 days 00:22:21.984222000	0.5	1.2751591008273491e-05	9	3				COMPLETE
7	7.919759726193013	2020-07-25 03:09:15.732035	2020-07-25 03:26:47.382448	0 days 00:17:31.650413000		0.0007034497176542917	6	1				COMPLETE
8	7.603524369147612	2020-07-25 03:26:47.383011	2020-07-25 03:40:16.791508	0 days 00:13:29.408497000	0.05	6.477506455497045e-05	7	2			pyramid_4	COMPLETE
9	7.589733096857228	2020-07-25 03:40:16.792026	2020-07-25 03:51:20.317237	0 days 00:11:03.525211000	0.0	0.00048475657507850595	9	3				COMPLETE
10	7.633301367100119	2020-07-25 03:51:20.317753	2020-07-25 04:09:49.865843	0 days 00:18:29.548090000	0.15000000000000002	1.4135724512528562e-05	10	2				COMPLETE
11	7.590225991515019	2020-07-25 04:09:49.866366	2020-07-25 04:22:09.148807	0 days 00:12:19.282441000	0.0	0.00011219094087393155	10	3				COMPLETE
12	7.625349841024541	2020-07-25 04:22:09.149393	2020-07-25 04:33:52.088092	0 days 00:11:42.938699000	0.05	0.002954144363370524	9	3				COMPLETE
13	7.628031802427737	2020-07-25 04:33:52.088643	2020-07-25 04:47:18.614528	0 days 00:13:26.525885000	0.1	4.3136075099616076e-05	9	2		pyramid_2		COMPLETE
14	7.592425063043517	2020-07-25 04:47:18.615034	2020-07-25 04:59:18.133682	0 days 00:11:59.518648000	0.0	0.0016410712838852072	8	3	pyramid_2			COMPLETE
15	7.6003751816972915	2020-07-25 04:59:18.134259	2020-07-25 05:11:05.523950	0 days 00:11:47.389691000	0.0	0.0002090156446832071	10	2				COMPLETE
16	7.64500121361205	2020-07-25 05:11:05.524540	2020-07-25 05:22:35.739881	0 days 00:11:30.215341000	0.15000000000000002	0.005119830659941821	9	3				COMPLETE
17	7.568824493799939	2020-07-25 05:22:35.740441	2020-07-25 05:42:33.936797	0 days 00:19:58.196356000	0.1	2.676222242811915e-05	8	3	flat			COMPLETE
18	7.593196129440145	2020-07-25 05:42:33.937360	2020-07-25 06:01:51.886132	0 days 00:19:17.948772000	0.25	2.665413483801323e-05	8	2			pyramid_2	COMPLETE
19	7.915399858964938	2020-07-25 06:01:51.886736	2020-07-25 06:15:04.723299	0 days 00:13:12.836563000		8.742300658211982e-05	6	1				COMPLETE
20	7.568946010425794	2020-07-25 06:15:04.723903	2020-07-25 06:34:51.238115	0 days 00:19:46.514212000	0.1	2.760732474125538e-05	8	3	flat			COMPLETE
21	7.57004791376709	2020-07-25 06:34:51.238742	2020-07-25 06:54:35.405608	0 days 00:19:44.166866000	0.1	2.8958272765436665e-05	8	3	flat			COMPLETE
22	7.566764727672758	2020-07-25 06:54:35.406233	2020-07-25 07:14:52.704478	0 days 00:20:17.298245000	0.15000000000000002	2.7004662972334933e-05	8	3	flat			COMPLETE
23	7.568172852324062	2020-07-25 07:14:52.705109	2020-07-25 07:47:14.270647	0 days 00:32:21.565538000	0.2	1.1589887492074741e-05	8	3	flat			COMPLETE
24	7.574836601696024	2020-07-25 07:47:14.271235	2020-07-25 08:33:14.745107	0 days 00:46:00.473872000	0.2	1.0668214222578726e-05	7	3	flat			COMPLETE
