number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	7.526473926628639	2020-07-25 08:33:18.937383	2020-07-25 08:51:45.492087	0 days 00:18:26.554704000	0.5	2.7449684242149645e-05	9	3				COMPLETE
1	7.522267884559582	2020-07-25 08:51:45.492691	2020-07-25 09:14:24.706007	0 days 00:22:39.213316000	0.4	2.0536376221729007e-05	9	3				COMPLETE
2	7.547546484828138	2020-07-25 09:14:24.706577	2020-07-25 09:32:49.800692	0 days 00:18:25.094115000	0.30000000000000004	7.844751892220198e-05	6	3		flat		COMPLETE
3	7.866065835765819	2020-07-25 09:32:49.801286	2020-07-25 09:45:43.605369	0 days 00:12:53.804083000		0.0008818376372808597	9	1				COMPLETE
4	7.556882298751323	2020-07-25 09:45:43.605930	2020-07-25 09:57:57.485230	0 days 00:12:13.879300000	0.45	0.004973966060578894	7	2			pyramid_4	COMPLETE
5	7.915432569001867	2020-07-25 09:57:57.485843	2020-07-25 10:10:05.711219	0 days 00:12:08.225376000		0.0059221165985230565	9	1				COMPLETE
6	7.728898212758051	2020-07-25 10:10:05.711755	2020-07-25 10:21:41.003696	0 days 00:11:35.291941000	0.30000000000000004	0.01771003951509336	8	3	flat			COMPLETE
7	7.5465039980000865	2020-07-25 10:21:41.004266	2020-07-25 10:34:57.955884	0 days 00:13:16.951618000	0.05	0.0003990495638056661	6	2			pyramid_2	COMPLETE
8	7.512377326697919	2020-07-25 10:34:57.956448	2020-07-25 10:48:44.442125	0 days 00:13:46.485677000	0.4	0.0002373896083296097	7	3	pyramid_2			COMPLETE
9	7.504960320859291	2020-07-25 10:48:44.442775	2020-07-25 11:07:40.480520	0 days 00:18:56.037745000	0.5	7.003125855036494e-05	7	3	pyramid_2			COMPLETE
10	7.540243948576682	2020-07-25 11:07:40.481126	2020-07-25 11:24:02.178320	0 days 00:16:21.697194000	0.1	7.86500142811568e-05	7	2			flat	COMPLETE
11	7.511234421619336	2020-07-25 11:24:02.178925	2020-07-25 11:38:07.908850	0 days 00:14:05.729925000	0.5	0.000332275649545735	7	3	pyramid_2			COMPLETE
12	7.52335248524718	2020-07-25 11:38:07.909464	2020-07-25 11:51:04.122638	0 days 00:12:56.213174000	0.5	0.0007939387129260733	8	3	pyramid_2			COMPLETE
13	7.5451908173329105	2020-07-25 11:51:04.123226	2020-07-25 12:05:36.673346	0 days 00:14:32.550120000	0.2	0.00010372952879840773	7	2			pyramid_2	COMPLETE
14	7.51875000828911	2020-07-25 12:05:36.673995	2020-07-25 12:50:58.450861	0 days 00:45:21.776866000	0.5	1.3191475949626287e-05	6	3		pyramid_2		COMPLETE
15	7.546652208150522	2020-07-25 12:50:58.451465	2020-07-25 13:03:24.926270	0 days 00:12:26.474805000	0.4	0.001942880918021132	8	2			pyramid_4	COMPLETE
16	7.517853725387837	2020-07-25 13:03:24.926869	2020-07-25 13:17:02.578584	0 days 00:13:37.651715000	0.2	0.00014530096145733997	7	3	pyramid_2			COMPLETE
17	7.525624987065535	2020-07-25 13:17:02.579148	2020-07-25 13:33:48.801884	0 days 00:16:46.222736000	0.35000000000000003	3.662391755960797e-05	10	3				COMPLETE
18	7.536521847199706	2020-07-25 13:33:48.802478	2020-07-25 13:53:52.787502	0 days 00:20:03.985024000	0.5	0.00025910345202113217	6	2			flat	COMPLETE
19	7.866066677196829	2020-07-25 13:53:52.788094	2020-07-25 14:06:06.109861	0 days 00:12:13.321767000		0.001644905795280476	7	1				COMPLETE
20	7.514909624766081	2020-07-25 14:06:06.110542	2020-07-25 14:20:32.181888	0 days 00:14:26.071346000	0.45	5.78354350073217e-05	8	3	pyramid_2			COMPLETE
21	7.51266423308643	2020-07-25 14:20:32.182500	2020-07-25 14:34:12.726424	0 days 00:13:40.543924000	0.4	0.00023085765764420358	7	3	pyramid_2			COMPLETE
22	7.520093145454484	2020-07-25 14:34:12.727024	2020-07-25 14:46:50.277465	0 days 00:12:37.550441000	0.45	0.0004536229669057747	7	3	pyramid_2			COMPLETE
23	7.514461607004508	2020-07-25 14:46:50.278167	2020-07-25 14:59:09.142210	0 days 00:12:18.864043000	0.35000000000000003	0.00018663194127703265	6	3		pyramid_4		COMPLETE
24	7.506825656844964	2020-07-25 14:59:09.142804	2020-07-25 15:21:13.122777	0 days 00:22:03.979973000	0.45	4.849227973457823e-05	7	3	pyramid_2			COMPLETE
