number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5243060723934029	2020-07-27 08:37:45.599611	2020-07-27 08:50:10.247574	0 days 00:12:24.647963000	0.05	7.75349213833475e-05	9	2			pyramid_2		COMPLETE
1	0.5273872473140964	2020-07-27 08:50:10.248115	2020-07-27 09:01:07.254982	0 days 00:10:57.006867000		0.006731006585112005	9	1					COMPLETE
2	0.4931142822212117	2020-07-27 09:01:07.255442	2020-07-27 09:19:24.884195	0 days 00:18:17.628753000	0.45	1.3847339103394102e-05	8	3	pyramid_2				COMPLETE
3	0.4952023628208109	2020-07-27 09:19:24.884706	2020-07-27 09:32:53.435874	0 days 00:13:28.551168000	0.05	5.620079225268233e-05	8	3	pyramid_2				COMPLETE
4	0.4969702540029217	2020-07-27 09:32:53.436382	2020-07-27 09:44:03.449722	0 days 00:11:10.013340000	0.1	0.0015107278320234659	8	3	pyramid_2				COMPLETE
5	0.49798566691378	2020-07-27 09:44:03.450275	2020-07-27 09:55:32.921390	0 days 00:11:29.471115000	0.4	0.0003353218544889313	8	2				pyramid_4	COMPLETE
6	0.49791789314274476	2020-07-27 09:55:32.921928	2020-07-27 10:06:33.081787	0 days 00:11:00.159859000	0.4	0.01161583967403403	8	2				pyramid_4	COMPLETE
7	0.536183984842306	2020-07-27 10:06:33.082271	2020-07-27 10:21:51.733010	0 days 00:15:18.650739000		0.0003682806308525013	10	1					COMPLETE
8	0.4926992960338492	2020-07-27 10:21:51.733492	2020-07-27 10:39:31.514409	0 days 00:17:39.780917000	0.25	1.6450353442952965e-05	10	3					COMPLETE
9	0.5122803653424974	2020-07-27 10:39:31.514917	2020-07-27 10:50:26.342787	0 days 00:10:54.827870000	0.35000000000000003	0.0011153341574356025	7	2				flat	COMPLETE
10	0.49291897004895013	2020-07-27 10:50:26.343253	2020-07-27 11:08:11.604383	0 days 00:17:45.261130000	0.2	1.2464611920347053e-05	10	3					COMPLETE
11	0.4930205946431252	2020-07-27 11:08:11.604860	2020-07-27 11:26:47.853241	0 days 00:18:36.248381000	0.2	1.1016373782448279e-05	10	3					COMPLETE
12	0.4925962881760455	2020-07-27 11:26:47.853738	2020-07-27 11:40:46.995457	0 days 00:13:59.141719000	0.25	3.5021933395483154e-05	10	3					COMPLETE
13	0.49566673317156223	2020-07-27 11:40:46.995975	2020-07-27 11:56:29.480524	0 days 00:15:42.484549000	0.30000000000000004	5.658426891017601e-05	6	3		pyramid_2			COMPLETE
14	0.4933258471017968	2020-07-27 11:56:29.481015	2020-07-27 12:11:18.119329	0 days 00:14:48.638314000	0.25	3.175716319875206e-05	9	3					COMPLETE
15	0.5048210153362335	2020-07-27 12:11:18.119812	2020-07-27 12:24:05.823938	0 days 00:12:47.704126000	0.15000000000000002	0.00012133663968071037	10	2					COMPLETE
16	0.49337125716663677	2020-07-27 12:24:05.824474	2020-07-27 12:39:01.084798	0 days 00:14:55.260324000	0.25	2.5748058350707433e-05	9	3					COMPLETE
17	0.49265505263096127	2020-07-27 12:39:01.085260	2020-07-27 12:50:59.348373	0 days 00:11:58.263113000	0.5	0.00013984504852799	10	3					COMPLETE
18	0.5005351942096935	2020-07-27 12:50:59.348859	2020-07-27 13:02:21.933155	0 days 00:11:22.584296000	0.5	0.00018112979353670264	9	2			flat		COMPLETE
19	0.5252830800737016	2020-07-27 13:02:21.933706	2020-07-27 13:24:52.069191	0 days 00:22:30.135485000		0.0016352445215185077	7	1					COMPLETE
20	0.49267369356495394	2020-07-27 13:24:52.069683	2020-07-27 13:36:55.143179	0 days 00:12:03.073496000	0.5	0.00014504719481784814	10	3					COMPLETE
21	0.493690344560223	2020-07-27 13:36:55.143695	2020-07-27 13:48:31.783783	0 days 00:11:36.640088000	0.5	0.00021155460379824643	10	3					COMPLETE
22	0.4922891191586216	2020-07-27 13:48:31.784239	2020-07-27 14:02:29.107842	0 days 00:13:57.323603000	0.5	0.00010330690990493917	10	3					COMPLETE
23	0.49303814557698095	2020-07-27 14:02:29.108294	2020-07-27 14:20:40.553417	0 days 00:18:11.445123000	0.45	2.934434689248506e-05	9	3					COMPLETE
24	0.49486152592519095	2020-07-27 14:20:40.553948	2020-07-27 14:31:59.383811	0 days 00:11:18.829863000	0.35000000000000003	0.0005652895134678923	10	3					COMPLETE
