number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	0.46565308224975693	2020-07-27 09:54:07.229094	2020-07-27 10:05:40.589640	0 days 00:11:33.360546000	0.25	0.014963878875509635	6	2		pyramid_4	COMPLETE
1	0.4665226777849948	2020-07-27 10:05:40.590151	2020-07-27 10:24:55.480501	0 days 00:19:14.890350000		0.0028599340477094607	6	1			COMPLETE
2	0.4699692946281399	2020-07-27 10:24:55.480990	2020-07-27 10:36:12.023677	0 days 00:11:16.542687000		0.004385642171494432	10	1			COMPLETE
3	0.46520562347493055	2020-07-27 10:36:12.024154	2020-07-27 10:47:24.624362	0 days 00:11:12.600208000	0.15000000000000002	0.00018241211272685648	7	3	flat		COMPLETE
4	0.46452507365097734	2020-07-27 10:47:24.624865	2020-07-27 10:59:23.580919	0 days 00:11:58.956054000	0.1	0.0018073804469264582	8	2		pyramid_2	COMPLETE
5	0.4645402557413521	2020-07-27 10:59:23.581496	2020-07-27 11:14:19.978628	0 days 00:14:56.397132000	0.30000000000000004	1.7678087093388846e-05	10	3			COMPLETE
6	0.46539032530847846	2020-07-27 11:14:19.979162	2020-07-27 11:26:13.219390	0 days 00:11:53.240228000	0.05	4.830436479845526e-05	10	3			COMPLETE
7	inf	2020-07-27 11:26:13.219871	2020-07-27 11:34:18.993085	0 days 00:08:05.773214000	0.05	0.017549398273767527	10	3			COMPLETE
8	0.46476572404046906	2020-07-27 11:34:18.993615	2020-07-27 11:45:13.339158	0 days 00:10:54.345543000	0.05	0.000696352058628843	10	2			COMPLETE
9	0.4755313851300011	2020-07-27 11:45:13.339747	2020-07-27 12:22:08.303530	0 days 00:36:54.963783000		0.00019604520711646555	7	1			COMPLETE
10	0.4671324176265538	2020-07-27 12:22:08.304109	2020-07-27 12:33:27.589992	0 days 00:11:19.285883000	0.4	0.0015500000646979676	8	2		pyramid_2	COMPLETE
11	0.46429657830357235	2020-07-27 12:33:27.590542	2020-07-27 12:53:52.462739	0 days 00:20:24.872197000	0.35000000000000003	1.7200939554768406e-05	9	3			COMPLETE
12	0.4651430897868702	2020-07-27 12:53:52.463225	2020-07-27 13:05:52.597386	0 days 00:12:00.134161000	0.5	0.0003382621062102403	8	2		pyramid_2	COMPLETE
13	0.4642891133693759	2020-07-27 13:05:52.597856	2020-07-27 13:28:48.800097	0 days 00:22:56.202241000	0.35000000000000003	1.0375377329967908e-05	9	3			COMPLETE
14	0.46423742057199924	2020-07-27 13:28:48.800566	2020-07-27 13:51:34.936922	0 days 00:22:46.136356000	0.4	1.0337244285321761e-05	9	3			COMPLETE
15	0.46415753144147015	2020-07-27 13:51:34.937369	2020-07-27 14:04:26.028417	0 days 00:12:51.091048000	0.5	5.383448220537644e-05	9	3			COMPLETE
16	0.4640967562107993	2020-07-27 14:04:26.028912	2020-07-27 14:16:46.844063	0 days 00:12:20.815151000	0.5	5.872672130918871e-05	9	3			COMPLETE
17	0.46407688133448866	2020-07-27 14:16:46.844551	2020-07-27 14:29:17.112278	0 days 00:12:30.267727000	0.5	6.107660829130576e-05	9	3			COMPLETE
18	0.46413737135667066	2020-07-27 14:29:17.112857	2020-07-27 14:41:33.759827	0 days 00:12:16.646970000	0.5	6.371392088846625e-05	9	3			COMPLETE
19	0.46714909843087304	2020-07-27 14:41:33.760302	2020-07-27 14:53:06.632659	0 days 00:11:32.872357000	0.45	0.00011780007834909108	7	2		flat	COMPLETE
20	0.46457365629295666	2020-07-27 14:53:06.633104	2020-07-27 15:07:08.549624	0 days 00:14:01.916520000	0.2	3.451758856663763e-05	9	3			COMPLETE
21	0.4642572724589408	2020-07-27 15:07:08.550131	2020-07-27 15:18:32.938115	0 days 00:11:24.387984000	0.5	9.649292667493912e-05	9	3			COMPLETE
22	0.4641665044728894	2020-07-27 15:18:32.938690	2020-07-27 15:34:58.144158	0 days 00:16:25.205468000	0.45	2.2334968452085765e-05	9	3			COMPLETE
23	0.46416711936431265	2020-07-27 15:34:58.144684	2020-07-27 15:47:22.654162	0 days 00:12:24.509478000	0.45	8.075501878004454e-05	8	3	pyramid_2		COMPLETE
24	0.4654004971397123	2020-07-27 15:47:22.654661	2020-07-27 15:57:54.262033	0 days 00:10:31.607372000	0.5	0.00048506871831243873	9	3			COMPLETE
