number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.47257121702509575	2020-07-27 15:57:57.127091	2020-07-27 16:10:58.761252	0 days 00:13:01.634161000		0.002563251922307338	8	1				COMPLETE
1	0.4702932860747994	2020-07-27 16:10:58.761701	2020-07-27 16:22:40.929944	0 days 00:11:42.168243000	0.0	0.005436757320879455	10	3				COMPLETE
2	0.4879232576945311	2020-07-27 16:22:40.930477	2020-07-27 16:54:11.710174	0 days 00:31:30.779697000		9.650944909413302e-05	6	1				COMPLETE
3	0.48317560146341904	2020-07-27 16:54:11.710631	2020-07-27 17:05:29.908557	0 days 00:11:18.197926000	0.2	0.0009166134232455989	6	2			pyramid_4	COMPLETE
4	0.4735348422643255	2020-07-27 17:05:29.909019	2020-07-27 17:16:09.049571	0 days 00:10:39.140552000		0.008515624027663288	6	1				COMPLETE
5	0.4956815082674844	2020-07-27 17:16:09.050002	2020-07-27 17:27:28.330684	0 days 00:11:19.280682000		0.021170615329909867	9	1				COMPLETE
6	0.4708472646212388	2020-07-27 17:27:28.331162	2020-07-27 17:38:47.716417	0 days 00:11:19.385255000	0.0	0.005201731426622304	9	2		flat		COMPLETE
7	0.49299298403981934	2020-07-27 17:38:47.716921	2020-07-27 17:48:41.378614	0 days 00:09:53.661693000		0.013900442143002645	10	1				COMPLETE
8	0.4787818486949809	2020-07-27 17:48:41.379073	2020-07-27 18:24:15.360602	0 days 00:35:33.981529000		5.0546503151929104e-05	10	1				COMPLETE
9	0.4706705123604556	2020-07-27 18:24:15.361038	2020-07-27 18:35:26.591861	0 days 00:11:11.230823000	0.4	0.00411524058495694	9	2		flat		COMPLETE
10	0.4711439431862532	2020-07-27 18:35:26.592334	2020-07-27 18:49:27.403355	0 days 00:14:00.811021000	0.0	0.00023731935199387594	7	3	flat			COMPLETE
11	0.47084416019969233	2020-07-27 18:49:27.403837	2020-07-27 19:01:35.288541	0 days 00:12:07.884704000	0.5	0.0011630054526649471	9	3				COMPLETE
12	0.47106168993503833	2020-07-27 19:01:35.289033	2020-07-27 19:17:42.421416	0 days 00:16:07.132383000	0.45	0.0027607855714545083	10	3				COMPLETE
13	0.4747781751044127	2020-07-27 19:17:42.421918	2020-07-27 19:46:57.380290	0 days 00:29:14.958372000	0.30000000000000004	1.3409070851026814e-05	8	2			pyramid_2	COMPLETE
14	inf	2020-07-27 19:46:57.380770	2020-07-27 19:54:19.935319	0 days 00:07:22.554549000	0.35000000000000003	0.02474635664035667	9	3				COMPLETE
15	0.4711602430267739	2020-07-27 19:54:19.935791	2020-07-27 20:04:43.552975	0 days 00:10:23.617184000	0.15000000000000002	0.004170422311248085	10	2				COMPLETE
16	0.47017222058256575	2020-07-27 20:04:43.553483	2020-07-27 20:16:23.258256	0 days 00:11:39.704773000	0.4	0.0003701825949124604	9	3				COMPLETE
17	0.4699507530677856	2020-07-27 20:16:23.258742	2020-07-27 20:27:38.223873	0 days 00:11:14.965131000	0.1	0.0003562724568859132	8	3	pyramid_2			COMPLETE
18	0.4702624149137003	2020-07-27 20:27:38.224379	2020-07-27 20:38:53.892002	0 days 00:11:15.667623000	0.1	0.00037497946029768013	7	3	pyramid_2			COMPLETE
19	0.4699156853484433	2020-07-27 20:38:53.892591	2020-07-27 20:50:24.498527	0 days 00:11:30.605936000	0.1	0.0001624667198122555	7	3	pyramid_2			COMPLETE
20	0.47107936258088373	2020-07-27 20:50:24.499041	2020-07-27 21:04:50.158286	0 days 00:14:25.659245000	0.1	3.681358353009267e-05	7	3	pyramid_2			COMPLETE
21	0.4699121206673134	2020-07-27 21:04:50.158848	2020-07-27 21:16:13.749297	0 days 00:11:23.590449000	0.25	0.00013730835111368098	8	3	pyramid_2			COMPLETE
22	0.4700122759453919	2020-07-27 21:16:13.749761	2020-07-27 21:27:55.476231	0 days 00:11:41.726470000	0.25	0.0001310988246316533	8	3	pyramid_2			COMPLETE
23	0.46988831718572993	2020-07-27 21:27:55.476797	2020-07-27 21:39:11.680041	0 days 00:11:16.203244000	0.1	0.00015804604142566562	7	3	pyramid_2			COMPLETE
24	0.47064637086498956	2020-07-27 21:39:11.680549	2020-07-27 21:56:00.289207	0 days 00:16:48.608658000	0.2	1.7450961362326413e-05	7	3	pyramid_2			COMPLETE
