number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	0.5234911955910168	2020-07-27 09:42:26.146281	2020-07-27 09:59:37.167936	0 days 00:17:11.021655000	0.2	1.6323034781056185e-05	7	3	pyramid_2			COMPLETE
1	0.5547361633273798	2020-07-27 09:59:37.168535	2020-07-27 11:07:26.296096	0 days 01:07:49.127561000		4.079558162019836e-05	8	1				COMPLETE
2	0.5395158820451623	2020-07-27 11:07:26.296676	2020-07-27 11:28:43.757315	0 days 00:21:17.460639000		0.0006438509318186359	9	1				COMPLETE
3	0.5329569058203254	2020-07-27 11:28:43.757848	2020-07-27 11:42:30.896060	0 days 00:13:47.138212000		0.013365141573453317	7	1				COMPLETE
4	inf	2020-07-27 11:42:30.896593	2020-07-27 11:50:15.517166	0 days 00:07:44.620573000	0.5	0.02819954491727354	9	3				COMPLETE
5	0.5347952596730199	2020-07-27 11:50:15.517730	2020-07-27 12:09:49.346077	0 days 00:19:33.828347000		0.0036841766045344194	9	1				COMPLETE
6	0.5232464071218151	2020-07-27 12:09:49.346605	2020-07-27 12:21:39.176599	0 days 00:11:49.829994000	0.05	0.00032434280575376507	7	2			pyramid_4	COMPLETE
7	0.523255896800182	2020-07-27 12:21:39.177145	2020-07-27 12:34:08.463551	0 days 00:12:29.286406000	0.0	0.0009196865765195926	7	2			pyramid_2	COMPLETE
8	inf	2020-07-27 12:34:08.464138	2020-07-27 12:41:53.101759	0 days 00:07:44.637621000	0.4	0.025104130479169904	8	3	pyramid_2			COMPLETE
9	0.5423651131411552	2020-07-27 12:41:53.102356	2020-07-27 13:03:10.527692	0 days 00:21:17.425336000		0.0002953602498236341	9	1				COMPLETE
10	0.5631492534067439	2020-07-27 13:03:10.528202	2020-07-27 13:18:10.787200	0 days 00:15:00.258998000	0.0	0.00011575030426034235	6	2			pyramid_4	COMPLETE
11	0.5254127953931571	2020-07-27 13:18:10.787748	2020-07-27 13:30:39.136537	0 days 00:12:28.348789000	0.0	0.0013619750222364786	6	2			pyramid_2	COMPLETE
12	0.5252793933183719	2020-07-27 13:30:39.137103	2020-07-27 13:41:17.495086	0 days 00:10:38.357983000	0.15000000000000002	0.0035858196781917593	7	2			flat	COMPLETE
13	0.5223311550568733	2020-07-27 13:41:17.495625	2020-07-27 13:54:48.722589	0 days 00:13:31.226964000	0.05	0.00021622521037061016	7	2			pyramid_4	COMPLETE
14	0.5272816032153331	2020-07-27 13:54:48.723082	2020-07-27 14:09:45.415255	0 days 00:14:56.692173000	0.1	0.00011019070629184005	6	2			pyramid_4	COMPLETE
15	0.5241498985256798	2020-07-27 14:09:45.415812	2020-07-27 14:21:08.295987	0 days 00:11:22.880175000	0.30000000000000004	0.00022324748308949228	8	2			pyramid_4	COMPLETE
16	0.5209747696799794	2020-07-27 14:21:08.296517	2020-07-27 15:02:24.557436	0 days 00:41:16.260919000	0.1	2.7642038009970446e-05	7	3	flat			COMPLETE
17	0.5231831960298654	2020-07-27 15:02:24.557964	2020-07-27 15:18:37.271481	0 days 00:16:12.713517000	0.25	1.0386398322728934e-05	10	3				COMPLETE
18	0.5246420548267854	2020-07-27 15:18:37.272068	2020-07-27 15:32:55.269047	0 days 00:14:17.996979000	0.1	3.788015536283934e-05	6	3		flat		COMPLETE
19	0.5226386487776995	2020-07-27 15:32:55.269562	2020-07-27 16:05:27.863588	0 days 00:32:32.594026000	0.1	2.7506615128693645e-05	7	3	flat			COMPLETE
20	0.522656395491407	2020-07-27 16:05:27.864147	2020-07-27 16:24:10.272617	0 days 00:18:42.408470000	0.2	8.29015390589091e-05	8	3	flat			COMPLETE
21	0.5234703261377956	2020-07-27 16:24:10.273172	2020-07-27 17:00:39.411574	0 days 00:36:29.138402000	0.1	1.864152939535793e-05	7	3	flat			COMPLETE
22	0.5222151780908452	2020-07-27 17:00:39.412110	2020-07-27 17:21:37.473818	0 days 00:20:58.061708000	0.05	3.9322211197284806e-05	7	3	flat			COMPLETE
23	0.5233638374402816	2020-07-27 17:21:37.474386	2020-07-27 17:39:02.365798	0 days 00:17:24.891412000	0.05	7.385619780683713e-05	6	3		pyramid_2		COMPLETE
24	0.5233667352576893	2020-07-27 17:39:02.366356	2020-07-27 17:54:53.744391	0 days 00:15:51.378035000	0.05	5.879267577840368e-05	7	3	flat			COMPLETE
