number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	0.4793691470621199	2020-07-24 13:55:35.282623	2020-07-24 14:06:54.782888	0 days 00:11:19.500265000	0.25	0.0006714265363266346	6	2			pyramid_4	COMPLETE
1	0.4773680195346356	2020-07-24 14:06:54.783465	2020-07-24 14:19:32.350258	0 days 00:12:37.566793000	0.4	0.00024988225997072126	10	2				COMPLETE
2	0.47919089150522665	2020-07-24 14:19:32.350717	2020-07-24 14:31:12.841135	0 days 00:11:40.490418000	0.35000000000000003	0.002305359081024178	7	2			pyramid_4	COMPLETE
3	0.47735827603929276	2020-07-24 14:31:12.841569	2020-07-24 14:43:22.929630	0 days 00:12:10.088061000	0.35000000000000003	0.0001695145686888708	8	3	pyramid_2			COMPLETE
4	0.48119673376084	2020-07-24 14:43:22.930112	2020-07-24 14:55:05.376416	0 days 00:11:42.446304000	0.35000000000000003	0.00013592954469007936	6	2			pyramid_2	COMPLETE
5	inf	2020-07-24 14:55:05.376972	2020-07-24 15:03:17.938668	0 days 00:08:12.561696000	0.5	0.01879324353452346	10	2				COMPLETE
6	0.47734629984032895	2020-07-24 15:03:17.939136	2020-07-24 15:16:51.583262	0 days 00:13:33.644126000	0.1	0.0005212300488977941	6	2			flat	COMPLETE
7	0.4859790721019885	2020-07-24 15:16:51.583750	2020-07-24 15:30:04.196827	0 days 00:13:12.613077000		1.9971971380862183e-05	9	1				COMPLETE
8	0.4805401564194605	2020-07-24 15:30:04.197312	2020-07-24 15:43:11.663190	0 days 00:13:07.465878000	0.1	0.024090557661887255	7	2			pyramid_4	COMPLETE
9	0.4873025932585145	2020-07-24 15:43:11.663729	2020-07-24 15:57:36.563486	0 days 00:14:24.899757000		0.0018011402242315946	9	1				COMPLETE
10	0.47719202220707313	2020-07-24 15:57:36.564013	2020-07-24 16:37:46.935390	0 days 00:40:10.371377000	0.0	1.751059117441475e-05	7	3	flat			COMPLETE
11	0.4773265423607654	2020-07-24 16:37:46.935955	2020-07-24 17:25:27.215439	0 days 00:47:40.279484000	0.0	1.13869455910461e-05	7	3	flat			COMPLETE
12	0.47724574264197206	2020-07-24 17:25:27.215980	2020-07-24 18:20:37.783656	0 days 00:55:10.567676000	0.0	1.0898709964283174e-05	7	3	flat			COMPLETE
13	0.47741818582473805	2020-07-24 18:20:37.784173	2020-07-24 18:39:23.815339	0 days 00:18:46.031166000	0.0	3.060779511546226e-05	8	3	flat			COMPLETE
14	0.4769328494213797	2020-07-24 18:39:23.815875	2020-07-24 18:57:18.695747	0 days 00:17:54.879872000	0.1	4.676725100193374e-05	7	3	flat			COMPLETE
15	0.47740114387866045	2020-07-24 18:57:18.696229	2020-07-24 19:12:59.419296	0 days 00:15:40.723067000	0.1	5.046043137336024e-05	8	3	flat			COMPLETE
16	0.4767613276465845	2020-07-24 19:12:59.419839	2020-07-24 19:30:36.688559	0 days 00:17:37.268720000	0.2	6.393227655169383e-05	7	3	flat			COMPLETE
17	0.47654663216911913	2020-07-24 19:30:36.689053	2020-07-24 19:54:04.601763	0 days 00:23:27.912710000	0.2	6.806516219355239e-05	6	3		flat		COMPLETE
18	0.4766248234355888	2020-07-24 19:54:04.602248	2020-07-24 20:15:07.147082	0 days 00:21:02.544834000	0.2	8.995576861654598e-05	6	3		flat		COMPLETE
19	0.4766446260573433	2020-07-24 20:15:07.147650	2020-07-24 20:32:15.847535	0 days 00:17:08.699885000	0.2	9.19312466189642e-05	6	3		flat		COMPLETE
20	0.486160357973479	2020-07-24 20:32:15.848095	2020-07-24 20:56:22.520762	0 days 00:24:06.672667000		0.00030184256257809736	6	1				COMPLETE
21	0.4766913004654142	2020-07-24 20:56:22.521300	2020-07-24 21:16:05.495158	0 days 00:19:42.973858000	0.2	8.143161437039202e-05	6	3		flat		COMPLETE
22	0.47675110231973955	2020-07-24 21:16:05.495698	2020-07-24 21:36:02.504383	0 days 00:19:57.008685000	0.25	0.0001072239741946301	6	3		flat		COMPLETE
23	0.47742848538121074	2020-07-24 21:36:02.505086	2020-07-24 22:06:05.790527	0 days 00:30:03.285441000	0.2	3.0377602543404227e-05	6	3		flat		COMPLETE
24	0.4769612491345953	2020-07-24 22:06:05.791130	2020-07-24 22:22:09.527459	0 days 00:16:03.736329000	0.15000000000000002	0.000748272920362355	6	3		flat		COMPLETE
